ledger,date,clustering,entropy=1,entropy_percentage=1,gini,hhi,nakamoto_coefficient,theil_index,concentration_ratio=1,concentration_ratio=3,tau_index=0.33,tau_index=0.66,total_entities
bitcoin,2018-01-15,True,2.930681596570763,0.6310879314100665,0.7908129774723817,2167.8575371463176,2,1.3359021442045311,0.41028756581611986,0.6593762656946132,1,4,25
bitcoin,2018-02-14,True,2.921025976868696,0.6214367489056726,0.8118616964093743,2178.728900104066,2,1.441034982590829,0.4130294560309611,0.6566329821543754,1,4,26
bitcoin,2018-03-16,True,3.033014183613034,0.6452617979350487,0.8033475062428291,2037.2607278733738,2,1.394182331496782,0.3986636971046771,0.6171492204899778,1,4,26
bitcoin,2018-04-15,True,3.011794830237592,0.6334103233498641,0.8203422511448542,2097.8086871415057,2,1.4959018434519047,0.4067245119305857,0.6227765726681128,1,4,27
bitcoin,2018-05-15,True,3.0574800419492303,0.6171495537104523,0.8325214427094788,2078.1753645150566,2,1.5695957834185255,0.40752144270947877,0.6217286122718276,1,4,31
bitcoin,2018-06-14,True,2.9523082509619836,0.6141232130408966,0.8588297099314598,2170.9748637285834,2,1.7378054936200997,0.4143443508317131,0.6377187297472456,1,4,28
bitcoin,2018-07-14,True,3.27003414144513,0.6482511207631436,0.8117740032260509,1717.1807614998324,3,1.446957121226854,0.34664891256102975,0.5830004438526409,1,4,33
bitcoin,2018-08-13,True,3.436855974459752,0.6700460791704894,0.8055141579731744,1526.416475778337,3,1.4019426052308825,0.3201035375323555,0.5575927523727351,2,4,35
bitcoin,2018-09-12,True,3.495272305343175,0.6760779516855779,0.8267037601761942,1425.5518600480075,3,1.5090874889864456,0.29536152796725784,0.5363801728058208,2,5,36
bitcoin,2018-10-12,True,3.4762301704809984,0.6672926939737184,0.8360912949752206,1450.9719048669463,3,1.560752771905798,0.30859835100117783,0.5187279151943462,2,5,37
bitcoin,2018-11-11,True,3.4831750257564424,0.6637239208875525,0.8429974206977692,1421.5448104237744,3,1.5929802367325772,0.30139372822299654,0.5181682429069189,2,5,38
bitcoin,2018-12-11,True,3.5284732534019936,0.6630065627515158,0.8257048092868988,1385.282542511323,3,1.4860743454475545,0.3009950248756219,0.5094527363184079,2,5,40
bitcoin,2019-01-10,True,3.5648449368585085,0.7129689873717017,0.8320727803486424,1240.2590383349223,4,1.5180218294474026,0.2691446484549933,0.4657411553963278,2,6,32
bitcoin,2019-02-09,True,3.4531800034518225,0.6679361891107611,0.856342742472819,1383.2821022323114,3,1.6668810271878054,0.2891566265060241,0.525801318481473,2,5,36
bitcoin,2019-03-11,True,3.51665541646802,0.6480803232869689,0.8513951929522168,1351.6550161192504,3,1.6399776569800475,0.2894915254237288,0.5057627118644068,2,5,43
bitcoin,2019-04-10,True,3.5109889267923156,0.6844989670473447,0.8349144280002806,1373.2297957463275,3,1.5366598379688383,0.29437732342007433,0.5106877323420075,2,5,35
bitcoin,2019-05-10,True,3.4995289017665603,0.6822647317774452,0.8183708775029447,1411.4805091835328,3,1.4455124193603586,0.3052120141342756,0.5156802120141343,2,5,35
bitcoin,2019-06-09,True,3.315464986895472,0.6463798109682366,0.8161656351311524,1564.077938586308,3,1.439564410371555,0.32471264367816094,0.5400088417329797,2,5,35
bitcoin,2019-07-09,True,3.0115261842774923,0.6199131259051806,0.8287638232459964,2154.8993659970397,2,1.5501552759119925,0.4195727986050567,0.6196599825632084,1,4,29
bitcoin,2019-08-08,True,2.7789211692165976,0.5720321203404838,0.8524196579326748,2592.767478536104,2,1.737360272688815,0.47188798949901556,0.6679063662218333,1,3,29
bitcoin,2019-09-07,True,2.9223343314156502,0.6015532655122933,0.8222431210751449,2359.6032790731033,2,1.5297402590151228,0.4448927585474623,0.6470588235294118,1,4,29
bitcoin,2019-10-07,True,2.8854666236454927,0.6213514169536479,0.827993839045052,2385.583995078986,2,1.5552950067097158,0.44519317160826594,0.6671159029649596,1,3,25
bitcoin,2019-11-06,True,2.905959950256915,0.5981826510172678,0.829113424830415,2321.084248703571,2,1.5692609921154106,0.432560340747752,0.6663511594888784,1,3,29
bitcoin,2019-12-06,True,2.8461789835745543,0.6207638520766281,0.8397603661486176,2377.283599699328,2,1.63809697481055,0.4366681964203763,0.6734740706746214,1,3,24
bitcoin,2020-01-05,True,2.7901492599544437,0.6168035912978834,0.7974419476825952,2425.396312757306,2,1.398220417296363,0.44279151170422226,0.682126449354627,1,3,23
bitcoin,2020-02-04,True,2.6712559721064255,0.6406004835056935,0.8044237977982552,2671.773950368535,2,1.4442633203848443,0.4745259310029701,0.7034498514964588,1,3,18
bitcoin,2020-03-05,True,2.6915883533323455,0.6454764419986849,0.7358674928503337,2636.9455316743624,2,1.1300653952136899,0.4687797902764538,0.7099618684461392,1,3,18
bitcoin,2020-04-04,True,2.3599355628765513,0.5899838907191378,0.8284446450060169,3153.2721901106497,1,1.5422711486369167,0.5205324909747292,0.7554151624548736,1,2,16
bitcoin,2020-05-04,True,2.906760135973922,0.6970773179298233,0.7685795454545454,1930.363202335859,2,1.2040632320538327,0.36482007575757575,0.6605113636363636,1,3,18
bitcoin,2020-06-03,True,3.0245612698753894,0.688602616511702,0.7394897489057821,1628.9679611548993,3,1.0815877137030123,0.29071642478691545,0.636719649850265,2,4,21
bitcoin,2020-07-03,True,3.054454265163497,0.7324962113484076,0.72489694329937,1586.6894707198198,3,1.0183078538817718,0.29203935599284436,0.6147137745974955,2,4,18
bitcoin,2020-08-02,True,3.106130185102606,0.7765325462756515,0.6347123989149999,1512.1888652718287,3,0.7373663776401522,0.2867898699520876,0.5827059091946155,2,4,16
bitcoin,2020-09-01,True,3.1103900200767454,0.7775975050191863,0.6537993310246197,1530.1775275050052,3,0.7884809063084526,0.29440826409162363,0.5753424657534246,2,4,16
bitcoin,2020-10-01,True,3.031286147234091,0.741605799236289,0.7181120617139575,1644.973166373982,3,0.9899150069325866,0.31302189122094337,0.6021214172872941,2,4,17
bitcoin,2020-10-31,True,3.2374471106713436,0.7490747276663605,0.7460622938025471,1319.783416248739,3,1.088177173201421,0.22796126148497642,0.532654581574373,2,5,20
bitcoin,2020-11-30,True,3.416820166849554,0.7553384257895395,0.7217955003540883,1141.3040018160557,4,0.9989365648543436,0.19183028661701648,0.4732566012186865,2,5,23
bitcoin,2020-12-30,True,3.5919472361685667,0.7834191087939322,0.6944395668715247,1018.0990286906632,4,0.911449282191825,0.17866549604916593,0.41659350307287096,3,6,24
bitcoin,2021-01-29,True,3.5108540022825308,0.7761259901793819,0.6988934461584309,1046.1859449004064,4,0.9337572769467374,0.16124630429838527,0.4248351148510348,3,6,23
bitcoin,2021-02-28,True,3.4951598697645294,0.7837680154478015,0.7137136672850959,1075.022330571628,4,0.9785371723286058,0.16883116883116883,0.436456400742115,3,6,22
bitcoin,2021-03-30,True,3.578507122751318,0.8024581221955887,0.7086768320535967,1023.2099757896506,4,0.9535550817363887,0.1573387278040009,0.43695212407282535,3,6,22
bitcoin,2021-04-29,True,3.525357697478246,0.7591444595637369,0.7204203367970571,1084.9039953546373,4,0.9903954560127991,0.16628805088596094,0.45524761472058156,3,5,25
bitcoin,2021-05-29,True,3.536437528280814,0.7615303712607796,0.7172278963157718,1081.3627573977806,4,0.9827155025309182,0.16927899686520376,0.44723092998955066,3,5,25
bitcoin,2021-06-28,True,3.4295779137197093,0.7581587136498776,0.7174713316053293,1141.5698160093439,4,0.990093568580998,0.18367943843229015,0.4609534951740275,2,5,23
bitcoin,2021-07-28,True,3.494872737246492,0.8086374091648497,0.6792571608435631,1055.4201708625053,4,0.873375681766105,0.163216387012421,0.42449335367182395,3,6,20
bitcoin,2021-08-27,True,3.3034823939101483,0.7407855252458431,0.7174804562347815,1201.8029148357898,4,1.0060373586360911,0.17236159169550172,0.4744809688581315,2,5,22
