ledger,date,clustering,entropy=1,entropy_percentage=1,gini,hhi,nakamoto_coefficient,theil_index,concentration_ratio=1,concentration_ratio=3,tau_index=0.33,tau_index=0.66,total_entities
litecoin,2018-01-15,False,2.9746166256043844,0.4790464555333826,0.9595905763952425,1630.556927704287,3,2.948788166811844,0.25085773101555353,0.6054437328453797,2,4,74
litecoin,2018-02-14,False,3.007065181979695,0.4469531413588824,0.9714231678486998,1637.950895830194,3,3.331761649555222,0.24022695035460992,0.6124822695035461,2,4,106
litecoin,2018-03-16,False,2.9450036902924293,0.43862019679556186,0.976947766151802,1733.601746465844,3,3.5571009543335226,0.27079596412556056,0.6298206278026905,2,4,105
litecoin,2018-04-15,False,2.998825523208125,0.43727527465280586,0.9737963399417411,1599.1080282980784,3,3.4547620323246018,0.22866416699311656,0.5856511276512396,2,4,116
litecoin,2018-05-15,False,3.139084988755975,0.4823577205964399,0.9703110694919103,1447.2392530453924,3,3.2794732058634395,0.1991012002958075,0.5649923203822743,2,4,91
litecoin,2018-06-14,False,3.041382242013766,0.47578711144348457,0.967183344996501,1539.485427134472,3,3.1901918404910936,0.20276417074877537,0.5786680662467927,2,4,84
litecoin,2018-07-14,False,3.040809037622613,0.47963422419127477,0.9640812683073523,1525.1497330779926,3,3.0962784760274746,0.208186594307488,0.5717337336181514,2,4,81
litecoin,2018-08-13,False,3.1170285597410157,0.4988900004095986,0.9610917366118926,1464.315311530768,3,3.009924437128852,0.19588603853883438,0.5521338219647712,2,4,76
litecoin,2018-09-12,False,3.0917825536901513,0.48767440117406546,0.9602954755309326,1461.764369582668,3,2.998603196507906,0.19134554278121207,0.5484430065283956,2,4,81
litecoin,2018-10-12,False,3.1355606605644684,0.49886396309766273,0.9611934336737807,1415.9422713208664,3,3.0139807744958045,0.18400607512121034,0.5335007885974649,2,4,78
litecoin,2018-11-11,False,3.23430684767513,0.5087346269956973,0.9640283751648212,1319.063858018159,4,3.0908681207336364,0.17890345649582837,0.4943384982121573,2,5,82
litecoin,2018-12-11,False,3.3204517830817544,0.49254142900643993,0.9648380419847685,1306.1010509928315,3,3.1189732076439225,0.1907639948362868,0.5211242811876541,2,5,107
litecoin,2019-01-10,False,3.6082451059230514,0.5430950042952976,0.9555287379876632,1139.2484162138285,4,2.850813211536284,0.1950354609929078,0.4734042553191489,2,5,100
litecoin,2019-02-09,False,3.47613850887584,0.5580734777494537,0.9534381287911732,1127.3105436941705,4,2.8054601509458585,0.19184042493077924,0.4389444538622365,3,5,75
litecoin,2019-03-11,False,3.4573750227517235,0.564074951865249,0.9457384017023418,1156.0514358814687,4,2.646955367760518,0.18393533435079984,0.45497710700356114,2,5,70
litecoin,2019-04-10,False,3.476181209065029,0.5652559595564335,0.9424418168050714,1199.278596875737,4,2.574101417529459,0.19729328460484238,0.4966879853814527,2,5,71
litecoin,2019-05-10,False,3.450429615542896,0.5668091461949998,0.9374728196048476,1163.3986621157453,4,2.4986935684876608,0.18176612071927614,0.4690184400412324,2,5,68
litecoin,2019-06-09,False,3.41682668730784,0.5993970388694965,0.9290608361700271,1180.7735407089374,4,2.367834663625084,0.19855269109000453,0.4735413839891452,2,5,52
litecoin,2019-07-09,False,3.3962778637581716,0.6048892922432705,0.9291365541365542,1208.0599710537329,4,2.3643784456329704,0.2081889581889582,0.4881612381612382,2,5,49
litecoin,2019-08-08,False,3.31820179616141,0.5551357538260445,0.9314542497083614,1299.97469828715,3,2.400478146254185,0.2292909211398277,0.5202120609675281,2,5,63
litecoin,2019-09-07,False,3.3177852748050123,0.6041285548993219,0.9256625415100277,1277.232332383871,3,2.325259304349871,0.23755721652471173,0.5079668578712556,2,5,45
litecoin,2019-10-07,False,3.235818023233885,0.6080161109922644,0.9219367361205358,1335.5134433875592,3,2.300396642660382,0.2528583463714045,0.5073414369960284,2,5,40
litecoin,2019-11-06,False,3.2773321632293384,0.5694867470471443,0.9218419477778828,1341.7273795492583,3,2.2822033428997006,0.25918611609814485,0.515439856373429,2,5,54
