ledger,date,clustering,entropy=1,entropy_percentage=1,gini,hhi,nakamoto_coefficient,theil_index,concentration_ratio=1,concentration_ratio=3,tau_index=0.33,tau_index=0.66,total_entities
tezos,2018-07-14,True,0.6136903949524882,0.09763741023777704,0.9942019300141072,8521.797461780629,1,5.258202000340648,0.9220554706486609,0.9722145666825345,1,1,78
tezos,2018-08-13,True,3.2911588841911668,0.4033346542312681,0.9549544664061185,2973.139084709353,1,3.634944561255499,0.5258424182358771,0.7045589692765114,1,3,286
tezos,2018-09-12,True,4.15245550511346,0.4981716906365483,0.934083394937825,1954.9613729721866,2,3.154823396028753,0.4188558155128236,0.5840417634521899,1,5,323
tezos,2018-10-12,True,4.457135491111607,0.5294860516063612,0.9262376556079941,1681.15131085669,3,2.9927680113387827,0.3875950513694548,0.5335748849848633,1,8,342
tezos,2018-11-11,True,4.700344802781342,0.5511999386736396,0.9172486613696059,1493.3597681387068,3,2.846762484707546,0.36456596919861667,0.5064812280745403,1,10,369
tezos,2018-12-11,True,4.708456045306036,0.5599045259119046,0.9212092727228219,1479.8592022144664,3,2.865397177466234,0.36277153558052433,0.5093632958801498,1,11,340
tezos,2019-01-10,True,4.909151275773256,0.5772873794718978,0.9044524485233032,1337.4338839129719,4,2.661020842943089,0.34375449532486213,0.4864301126828099,1,14,363
tezos,2019-02-09,True,5.038472630434191,0.5911228963207931,0.9021549217201391,1229.1666973312592,5,2.6034214643183162,0.3288777099053779,0.4641513953766918,2,15,368
tezos,2019-03-11,True,5.095874059831812,0.5959566091400075,0.8988655754938689,1194.63786547447,5,2.561379032984167,0.3242351027438222,0.4558285290529388,2,16,375
tezos,2019-04-10,True,5.172733680426795,0.6049452533513374,0.8996841672648103,1086.8230838084276,6,2.514853185644763,0.3076701959469171,0.4300292243568246,2,17,375
tezos,2019-05-10,True,5.214809512061352,0.6095920683597448,0.8965548333578074,1057.113470019426,6,2.4811940519897417,0.3026880183014012,0.4170241159088743,2,17,376
tezos,2019-06-09,True,5.258302181519371,0.6174832698869503,0.8967603631669816,1019.6652630693532,6,2.453296950513889,0.2976490547746001,0.4040475036354823,2,18,366
