Countries,2025-07-22
United States,3391
Germany,2906
Finland,744
France,674
Canada,588
United Kingdom,455
Singapore,399
Japan,278
The Netherlands,224
Ireland,165
South Korea,163
Russia,127
Hong Kong,96
Australia,85
Poland,84
Switzerland,82
Austria,82
Sweden,72
Netherlands,71
Ukraine,57
Moldova,54
Czechia,50
China,49
Spain,46
Belgium,37
Taiwan,34
Lithuania,33
Portugal,26
Israel,26
Romania,23
India,22
Vietnam,18
Turkey,18
Bulgaria,18
Norway,17
Italy,16
Mexico,14
South Africa,12
Argentina,11
Thailand,10
Latvia,10
Malta,10
Denmark,9
Indonesia,9
Hungary,8
Croatia,7
Türkiye,7
New Zealand,7
Slovenia,7
Brazil,6
Slovakia,6
Greece,5
Serbia,5
Luxembourg,5
Chile,4
Iceland,3
Estonia,3
Andorra,3
Isle of Man,3
United Arab Emirates,3
Malaysia,2
Georgia,2
Paraguay,2
Jersey,2
Cyprus,2
Saudi Arabia,2
Kazakhstan,2
Uzbekistan,2
Philippines,1
Ecuador,1
Kyrgyzstan,1
Gibraltar,1
Costa Rica,1
Bhutan,1
Pakistan,1
Venezuela,1
Oman,1
Qatar,1
Uruguay,1
Puerto Rico,1
