Countries,2026-01-08
Tor,14917
United States,4631
Germany,1337
France,551
Canada,380
Singapore,354
The Netherlands,316
United Kingdom,298
Finland,283
Switzerland,206
Russia,161
Australia,157
Japan,121
Sweden,102
South Korea,97
Spain,95
Czechia,87
Brazil,87
Italy,83
Austria,62
Poland,57
Ireland,52
Hong Kong,49
India,40
Lithuania,30
Romania,29
Norway,27
South Africa,26
Belgium,25
New Zealand,25
Bulgaria,24
Portugal,23
Mexico,21
Ukraine,21
China,21
Thailand,20
Malaysia,20
Taiwan,20
Netherlands,17
Hungary,14
Indonesia,14
Bahrain,12
Denmark,12
Slovakia,11
Slovenia,11
United Arab Emirates,9
Greece,9
Argentina,8
Luxembourg,8
Iceland,7
Israel,7
Turkey,6
Estonia,5
Moldova,5
Chile,4
Serbia,4
Türkiye,4
Kazakhstan,4
Costa Rica,4
Qatar,4
Saudi Arabia,3
Belarus,3
Panama,3
Iran,3
Vietnam,3
Andorra,3
Malta,3
Latvia,3
Liechtenstein,3
Kyrgyzstan,3
Oman,3
Venezuela,2
Uruguay,2
Philippines,2
Colombia,2
Faroe Islands,2
Dominican Republic,2
Georgia,2
Pakistan,2
Kenya,1
Jersey,1
Guadeloupe,1
Bhutan,1
Bolivia,1
Guam,1
Isle of Man,1
Ecuador,1
Kuwait,1
Reunion,1
Cyprus,1
Puerto Rico,1
Cambodia,1
Nigeria,1
Curacao,1
Croatia,1
Albania,1
Trinidad and Tobago,1
