Countries,2026-02-25
United States,117
Germany,104
France,59
Finland,33
Singapore,30
United Kingdom,23
Canada,15
Poland,15
The Netherlands,12
Sweden,11
Russia,11
Japan,11
Ireland,5
South Korea,5
China,5
Turkey,5
Lithuania,4
Australia,3
Indonesia,3
India,3
Hong Kong,3
Denmark,2
South Africa,2
Malaysia,2
Brazil,2
Netherlands,2
Ukraine,2
Switzerland,1
Italy,1
Tor,1
Spain,1
Croatia,1
Norway,1
Austria,1
United Arab Emirates,1
Vietnam,1
Georgia,1
Romania,1
Thailand,1
Belgium,1
Iceland,1
New Zealand,1
Mexico,1
