Countries,2026-06-04
United States,1033
Unresolved,602
Germany,554
France,301
United Kingdom,178
Canada,176
Japan,138
Finland,109
Singapore,86
The Netherlands,82
Australia,64
Switzerland,55
Unknown,44
India,38
Sweden,36
Ireland,35
Netherlands,32
Italy,28
South Korea,28
Austria,27
Belgium,24
Hong Kong,20
South Africa,15
Vietnam,15
Poland,14
Czechia,13
Spain,12
Romania,12
Brazil,11
Norway,10
China,9
Slovenia,8
Chile,8
Taiwan,8
Estonia,7
New Zealand,7
Argentina,7
Greece,6
Indonesia,6
United Arab Emirates,6
Malaysia,5
Cyprus,5
Bulgaria,4
Lithuania,4
Denmark,4
Iran,4
Ukraine,4
Hungary,4
Mexico,3
Peru,3
Latvia,3
Thailand,3
Portugal,2
Israel,2
Russia,2
Philippines,2
Jersey,2
Uruguay,1
Türkiye,1
Albania,1
Luxembourg,1
Kazakhstan,1
Serbia,1
Seychelles,1
New Caledonia,1
Democratic Republic of the Congo,1
Croatia,1
Liechtenstein,1
