Countries,2026-04-23
United States,127
Germany,95
Finland,52
France,39
Canada,21
Singapore,21
The Netherlands,20
Russia,11
United Kingdom,10
Hong Kong,10
Japan,9
Belarus,8
Australia,7
Sweden,7
China,6
Poland,6
South Korea,5
Italy,5
Switzerland,5
Ireland,4
Netherlands,3
India,3
Norway,3
Philippines,3
Spain,2
Georgia,2
Austria,2
Taiwan,2
Indonesia,2
Brazil,2
New Zealand,1
United Arab Emirates,1
South Africa,1
Kyrgyzstan,1
Slovenia,1
Lithuania,1
Czechia,1
Iceland,1
Belgium,1
