Countries,2026-06-27
Germany,156
United States,121
Finland,68
France,55
The Netherlands,44
Canada,24
Russia,22
Singapore,19
Poland,16
Switzerland,15
Lithuania,15
Belarus,14
United Kingdom,12
Netherlands,7
Bulgaria,7
Czechia,7
Hong Kong,7
Tor,6
Brazil,5
Ukraine,4
South Korea,4
China,4
Ireland,4
Austria,4
Australia,4
Slovakia,3
Japan,3
Estonia,3
Iceland,2
Indonesia,2
Malaysia,2
Kyrgyzstan,2
Hungary,1
Vietnam,1
Slovenia,1
Moldova,1
Romania,1
United Arab Emirates,1
India,1
Malta,1
Taiwan,1
Sweden,1
Cambodia,1
Bangladesh,1
Israel,1
Belgium,1
