Countries,2025-03-28
Finland,716
Germany,626
United States,300
Canada,251
France,163
Spain,44
Australia,30
Austria,29
Russia,20
The Netherlands,18
Poland,16
United Kingdom,15
Thailand,13
Denmark,10
Switzerland,9
Singapore,8
Bulgaria,8
Norway,6
Belgium,6
Hong Kong,5
Hungary,5
Serbia,5
Slovenia,4
Estonia,4
Sweden,4
Romania,4
Ukraine,3
Japan,3
Portugal,3
Indonesia,3
Brazil,2
South Korea,2
Israel,2
Czechia,2
Taiwan,2
India,2
Türkiye,1
Kazakhstan,1
Slovakia,1
Bahamas,1
French Polynesia,1
Luxembourg,1
Ireland,1
South Africa,1
Lithuania,1
New Zealand,1
Latvia,1
Trinidad and Tobago,1
Iceland,1
United Arab Emirates,1
Mexico,1
