layer,date,clustering,hhi,nakamoto_coefficient,entropy=1,concentration_ratio=1,concentration_ratio=3
Consensus,2026-03-18,False,1269.922093965882,3,3.95824796320617,0.2717238394113191,0.5461530137431014
Consensus,2026-03-25,False,1285.599408519491,3,3.944108949796411,0.2744397531666125,0.549637328136841
Consensus,2026-04-01,False,1291.747228556185,3,3.931084601225509,0.2754811898512686,0.5501968503937008
Consensus,2026-04-03,False,1295.9468538824,3,3.94250133846641,0.2789616008653326,0.5494862087614927
Consensus,2026-04-09,False,,,,0,0
Consensus,2026-04-09,False,,,,0,0
Consensus,2026-04-09,False,,,,0,0
Consensus,2026-04-09,False,,,,0,0
Consensus,2026-04-10,False,,,,0,0
Consensus,2026-04-10,False,,,,0,0
