chain,measure,date,gini,cr1,shannon_entropy,hhi
ethereum,attendance,2018-01-01,0.17,0.67,0.92,0.56
ethereum,attendance,2018-04-01,0.17,0.67,0.92,0.56
ethereum,attendance,2018-07-01,0.2,0.7,0.88,0.58
ethereum,attendance,2018-10-01,0.25,0.75,0.81,0.62
ethereum,attendance,2019-01-01,0.05,0.55,0.99,0.5
ethereum,attendance,2019-04-01,0.12,0.62,0.95,0.53
ethereum,attendance,2019-07-01,0.17,0.67,0.92,0.56
ethereum,attendance,2019-10-01,0.17,0.67,0.92,0.56
ethereum,attendance,2020-01-01,0.1,0.6,0.97,0.52
ethereum,attendance,2020-04-01,0.3,0.8,0.72,0.68
ethereum,attendance,2020-07-01,0.18,0.27,2.23,0.22
ethereum,attendance,2020-10-01,0.19,0.33,1.89,0.28
ethereum,attendance,2021-01-01,0.29,0.57,1.38,0.43
ethereum,attendance,2021-04-01,0.22,0.28,2.17,0.23
ethereum,attendance,2021-07-01,0.35,0.35,1.98,0.29
ethereum,attendance,2021-10-01,0.15,0.44,1.53,0.36
ethereum,attendance,2022-01-01,0.27,0.33,2.38,0.21
ethereum,attendance,2022-04-01,0.24,0.35,2.19,0.24
ethereum,attendance,2022-07-01,0.41,0.42,2.14,0.27
ethereum,attendance,2022-10-01,0.38,0.32,2.16,0.26
ethereum,attendance,2023-01-01,0.21,0.27,2.47,0.19
ethereum,attendance,2023-04-01,0.37,0.44,1.99,0.3
ethereum,attendance,2023-07-01,0.44,0.43,1.8,0.34
ethereum,attendance,2023-10-01,0.25,0.36,1.82,0.31
ethereum,attendance,2024-01-01,0.38,0.38,1.94,0.3
ethereum,attendance,2024-04-01,0.3,0.3,2.36,0.22
ethereum,attendance,2024-07-01,0.39,0.39,1.93,0.3
ethereum,attendance,2024-10-01,0.4,0.32,2.12,0.26
ethereum,attendance,2025-01-01,0.28,0.29,2.04,0.27
ethereum,attendance,2025-01-01,0.0,1.0,0.0,1.0
ethereum,attendance,2025-04-01,0.42,0.5,1.88,0.34
ethereum,attendance,2025-07-01,0.47,0.57,1.39,0.44
ethereum,attendance,2025-10-01,0.41,0.46,1.48,0.41
ethereum,speaking,2019-04-01,0.0,1.0,0.0,1.0
ethereum,speaking,2019-07-01,0.0,1.0,0.0,1.0
ethereum,speaking,2019-10-01,0.0,1.0,0.0,1.0
ethereum,speaking,2020-01-01,0.25,0.75,0.81,0.62
ethereum,speaking,2020-04-01,0.25,0.75,0.81,0.62
ethereum,speaking,2020-07-01,0.53,0.75,1.19,0.58
ethereum,speaking,2020-10-01,0.38,0.46,1.57,0.36
ethereum,speaking,2021-01-01,0.17,0.5,1.5,0.38
ethereum,speaking,2021-04-01,0.35,0.57,1.66,0.39
ethereum,speaking,2021-07-01,0.59,0.9,0.54,0.82
ethereum,speaking,2021-10-01,0.46,0.76,1.0,0.61
ethereum,speaking,2022-01-01,0.57,0.72,1.38,0.54
ethereum,speaking,2022-04-01,0.52,0.81,0.8,0.68
ethereum,speaking,2022-07-01,0.49,0.68,1.33,0.51
ethereum,speaking,2022-10-01,0.47,0.56,1.4,0.43
ethereum,speaking,2023-01-01,0.27,0.33,2.04,0.25
ethereum,speaking,2023-04-01,0.44,0.75,1.04,0.59
ethereum,speaking,2023-07-01,0.57,0.74,1.12,0.58
ethereum,speaking,2023-10-01,0.33,0.83,0.66,0.72
ethereum,speaking,2024-01-01,0.47,0.8,0.92,0.66
ethereum,speaking,2024-04-01,0.36,0.47,1.58,0.36
ethereum,speaking,2024-07-01,0.62,0.8,0.93,0.66
ethereum,speaking,2024-10-01,0.56,0.71,1.15,0.56
ethereum,speaking,2025-01-01,0.3,0.8,0.72,0.68
ethereum,speaking,2025-01-01,0.0,1.0,0.0,1.0
ethereum,speaking,2025-04-01,0.34,0.37,2.03,0.28
ethereum,speaking,2025-07-01,0.42,0.45,1.41,0.41
ethereum,speaking,2025-10-01,0.14,0.32,1.95,0.27
