Rank,Author,Weighted_Contribution,Percentage
1,Vitalik Buterin,34.7,3.2
2,Alex Beregszaszi,27.7,2.56
3,Nick Johnson,20.0,1.85
4,Zainan Victor Zhou,15.4,1.42
5,Gavin John,14.0,1.29
6,Micah Zoltu,11.8,1.08
7,William Morriss,10.5,0.97
8,Etan Kissling (@etan-status),9.8,0.9
9,Danno Ferrin,9.0,0.83
10,Tim Beiko,8.3,0.77
11,Wei Tang,8.2,0.76
12,Paweł Bylica,8.1,0.75
13,Francisco Giordano,8.0,0.74
14,Qi Zhou,7.7,0.71
15,Martin Holst Swende,7.6,0.7
16,Hadrien Croubois,7.5,0.69
17,William Entriken,7.0,0.65
18,Charles Cooper (@charles-cooper),6.9,0.64
19,lightclient,6.7,0.61
20,Toni Wahrstätter,6.6,0.61
21,James Hancock,6.6,0.61
22,Gajinder Singh,6.3,0.58
23,Ansgar Dietrichs,6.3,0.58
24,Sam Wilson,6.2,0.58
25,Guillaume Ballet,6.1,0.56
26,Danny Ryan,6.1,0.56
27,Felix Lange,5.9,0.55
28,Alexey Akhunov,5.9,0.54
29,Marius van der Wijden,5.5,0.51
30,Erik Marks,5.5,0.5
31,Anders Elowsson,5.4,0.5
32,Nick Mudge,5.2,0.48
33,Alex Stokes,5.2,0.48
34,Alex Forshtat,5.2,0.48
35,Ronan Sandford,5.1,0.47
36,Abdelhamid Bakhta,4.9,0.45
37,Francesco D'Amato,4.8,0.45
38,Mikhail Kalinin,4.7,0.43
39,Christian Reitwiessner,4.6,0.42
40,Afri Schoedon,4.5,0.42
41,Maria Silva,4.5,0.41
42,Andrei Maiboroda,4.5,0.41
43,Ben Adams,4.5,0.41
44,Alex Van de Sande,4.3,0.4
45,Péter Szilágyi,4.2,0.38
46,Gregory Markou,4.1,0.38
47,James Kempton,4.0,0.37
48,Greg Colvin,3.9,0.36
49,Dankrad Feist,3.9,0.36
50,Giulio Rebuffo,3.8,0.35
51,Ernesto García,3.7,0.34
52,Francesco Sullo,3.7,0.34
53,Yoav Weiss,3.7,0.34
54,Dan Finlay,3.5,0.32
55,Jan Turk,3.5,0.32
56,Jim McDonald,3.5,0.32
57,Matt Garnett,3.5,0.32
58,ligi,3.4,0.31
59,Ricardo Guilherme Schmidt,3.3,0.31
