year,posts,comments,users,posts_per_user,comments_per_post,comments_per_user
2010,3,62,3,1.0,20.67,20.67
2011,40,773,36,1.21,19.32,23.42
2012,53,1528,71,1.51,28.83,43.66
2013,86,3838,146,1.15,44.63,51.17
2014,152,2800,275,1.18,18.42,21.71
2015,159,8568,406,1.21,53.89,65.4
2016,96,2245,486,1.2,23.39,28.06
2017,250,7656,676,1.32,30.62,40.29
2018,145,2434,808,1.1,16.79,18.44
2019,57,3134,860,1.1,54.98,60.27
2020,56,2094,911,1.1,37.39,41.06
2021,64,1172,959,1.33,18.31,24.42
2022,58,1425,1009,1.16,24.57,28.5
2023,49,917,1050,1.2,18.71,22.37
2024,74,1511,1106,1.32,20.42,26.98
2025,10,84,1116,1.0,8.4,8.4
