Discussion Source,date,gini,nakamoto,shannon_entropy,hhi
Bitcoin – Forum,2010-01-01,0.4000,1,1.8676,3553.7190
Bitcoin – Forum,2011-01-01,0.3746,23,6.2123,209.1623
Bitcoin – Forum,2012-01-01,0.4875,18,6.1753,215.7298
Bitcoin – Forum,2013-01-01,0.3972,35,6.9516,113.4642
Bitcoin – Forum,2014-01-01,0.3884,77,8.1378,50.5832
Bitcoin – Forum,2015-01-01,0.4894,70,8.1310,88.0281
Bitcoin – Forum,2016-01-01,0.4194,52,7.5061,113.1971
Bitcoin – Forum,2017-01-01,0.4037,147,9.1539,31.3927
Bitcoin – Forum,2018-01-01,0.2984,160,8.9275,39.4776
Bitcoin – Forum,2019-01-01,0.3324,43,7.1470,103.6420
Bitcoin – Forum,2020-01-01,0.3914,40,7.2418,103.8947
Bitcoin – Forum,2021-01-01,0.4578,21,6.4531,197.5341
Bitcoin – Forum,2022-01-01,0.3807,40,7.1529,110.9408
Bitcoin – Forum,2023-01-01,0.4232,34,7.0350,126.8345
Bitcoin – Forum,2024-01-01,0.5078,22,6.5856,187.7583
Bitcoin – Forum,2025-01-01,0.2550,18,5.4854,322.1565
Bitcoin – Mailing List,2011-01-01,0.6973,8,5.0571,479.8562
Bitcoin – Mailing List,2012-01-01,0.7045,7,5.0689,466.4510
Bitcoin – Mailing List,2013-01-01,0.7396,9,5.5893,458.7427
Bitcoin – Mailing List,2014-01-01,0.7549,12,6.1458,335.8106
Bitcoin – Mailing List,2015-01-01,0.7411,21,6.9142,176.4661
Bitcoin – Mailing List,2016-01-01,0.6456,15,6.2159,251.9227
Bitcoin – Mailing List,2017-01-01,0.6622,24,6.8734,145.3594
Bitcoin – Mailing List,2018-01-01,0.6149,20,6.6244,186.5712
Bitcoin – Mailing List,2019-01-01,0.6455,15,6.1091,343.3798
Bitcoin – Mailing List,2020-01-01,0.6411,11,5.6970,550.7743
Bitcoin – Mailing List,2021-01-01,0.6870,14,6.1952,269.0532
Bitcoin – Mailing List,2022-01-01,0.6864,12,5.9591,279.7971
Bitcoin – Mailing List,2023-01-01,0.6294,15,6.1298,262.5469
Bitcoin – Mailing List,2024-01-01,0.4231,6,4.1902,810.8108
Cardano – Forum,2020-01-01,0.4413,11,5.2982,332.2713
Cardano – Forum,2021-01-01,0.5303,13,5.7994,348.8032
Cardano – Forum,2022-01-01,0.6333,10,5.4909,398.2275
Cardano – Forum,2023-01-01,0.5393,4,3.9844,959.3600
Cardano – Forum,2024-01-01,0.2882,3,3.1019,1349.4810
Cardano – Forum,2025-01-01,0.3429,2,2.5282,2000.0000
Cardano – Forum,2026-01-01,0.4242,1,1.0958,5702.4793
Ethereum – Magicians,2018-01-01,0.6111,18,6.3970,217.4304
Ethereum – Magicians,2019-01-01,0.6967,16,6.3209,260.7367
Ethereum – Magicians,2020-01-01,0.6512,15,6.2287,287.6368
Ethereum – Magicians,2021-01-01,0.6362,27,7.0950,149.6075
Ethereum – Magicians,2022-01-01,0.6350,46,7.9417,126.3195
Ethereum – Magicians,2023-01-01,0.6047,51,7.9577,98.0559
Ethereum – Magicians,2024-01-01,0.6363,28,7.2679,152.3097
Ethereum – Magicians,2025-01-01,0.6306,28,7.1822,140.8101
Ethereum – Magicians,2026-01-01,0.4633,7,4.7977,522.8383
