Discussion Source,date,gini,nakamoto,shannon_entropy,hhi
Bitcoin – Forum,2010-01-01,0.0000,2,1.5850,3333.3333
Bitcoin – Forum,2011-01-01,0.1545,14,4.9219,375.0000
Bitcoin – Forum,2012-01-01,0.3073,9,4.6860,615.8775
Bitcoin – Forum,2013-01-01,0.1166,33,6.1441,154.1374
Bitcoin – Forum,2014-01-01,0.1339,54,6.9172,90.8934
Bitcoin – Forum,2015-01-01,0.1589,52,6.8891,100.0752
Bitcoin – Forum,2016-01-01,0.1518,33,6.1853,160.5903
Bitcoin – Forum,2017-01-01,0.2046,66,7.4008,69.4400
Bitcoin – Forum,2018-01-01,0.0831,60,6.9902,83.2342
Bitcoin – Forum,2019-01-01,0.0840,24,5.6224,224.6845
Bitcoin – Forum,2020-01-01,0.0805,24,5.6288,210.4592
Bitcoin – Forum,2021-01-01,0.2090,17,5.4216,268.5547
Bitcoin – Forum,2022-01-01,0.1310,22,5.4871,279.4293
Bitcoin – Forum,2023-01-01,0.1483,17,5.2320,304.0400
Bitcoin – Forum,2024-01-01,0.2095,20,5.6281,237.3996
Bitcoin – Forum,2025-01-01,0.0000,6,3.3219,1000.0000
Bitcoin – Mailing List,2011-01-01,0.5782,5,4.3528,847.5291
Bitcoin – Mailing List,2012-01-01,0.6386,4,4.1497,899.9399
Bitcoin – Mailing List,2013-01-01,0.5244,9,5.5358,400.6336
Bitcoin – Mailing List,2014-01-01,0.4920,15,6.0637,298.0089
Bitcoin – Mailing List,2015-01-01,0.4554,33,7.0215,132.5651
Bitcoin – Mailing List,2016-01-01,0.4384,13,5.6289,327.3810
Bitcoin – Mailing List,2017-01-01,0.3721,27,6.6352,138.2618
Bitcoin – Mailing List,2018-01-01,0.2976,26,6.3878,163.7246
Bitcoin – Mailing List,2019-01-01,0.3604,18,5.8386,224.3211
Bitcoin – Mailing List,2020-01-01,0.2772,21,6.0107,188.1643
Bitcoin – Mailing List,2021-01-01,0.5488,5,4.9880,826.7389
Bitcoin – Mailing List,2022-01-01,0.4873,11,5.4973,365.1259
Bitcoin – Mailing List,2023-01-01,0.3708,16,5.7214,284.3575
Bitcoin – Mailing List,2024-01-01,0.2286,2,2.1281,2653.0612
Cardano – Forum,2020-01-01,0.2341,9,4.3964,677.5510
Cardano – Forum,2021-01-01,0.1045,13,4.8020,376.4922
Cardano – Forum,2022-01-01,0.1963,13,4.9854,359.1682
Cardano – Forum,2023-01-01,0.3516,3,3.0338,2108.8435
Cardano – Forum,2024-01-01,0.1667,2,1.5000,3750.0000
Cardano – Forum,2025-01-01,0.2667,1,1.3710,4400.0000
Cardano – Forum,2026-01-01,0.0000,1,0.0000,10000.0000
Ethereum – Magicians,2018-01-01,0.5442,9,5.3126,370.5655
Ethereum – Magicians,2019-01-01,0.6362,7,4.9011,716.8941
Ethereum – Magicians,2020-01-01,0.5740,9,5.2570,470.5573
Ethereum – Magicians,2021-01-01,0.5572,14,5.7070,294.8804
Ethereum – Magicians,2022-01-01,0.6223,22,6.7140,210.8914
Ethereum – Magicians,2023-01-01,0.5429,31,6.9680,139.4792
Ethereum – Magicians,2024-01-01,0.5499,15,5.9952,243.8581
Ethereum – Magicians,2025-01-01,0.5620,15,5.9376,283.2101
Ethereum – Magicians,2026-01-01,0.5016,2,3.1057,1791.3832
