Chain,date,gini,nakamoto,shannon_entropy,hhi
bitcoin,2013-01-01,0.3036,3,2.7534,1734.6939
bitcoin,2014-01-01,0.6880,8,4.9870,519.5525
bitcoin,2015-01-01,0.6380,10,5.3290,420.2448
bitcoin,2016-01-01,0.6987,7,5.0720,676.1435
bitcoin,2017-01-01,0.6934,9,5.3906,620.6095
bitcoin,2018-01-01,0.6908,8,5.3997,591.9961
bitcoin,2019-01-01,0.6879,7,5.1171,671.3040
bitcoin,2020-01-01,0.7018,11,5.6571,330.0505
bitcoin,2021-01-01,0.6964,10,5.4937,371.6815
bitcoin,2022-01-01,0.6724,10,5.5339,353.5784
bitcoin,2023-01-01,0.7377,8,5.2428,470.0353
bitcoin,2024-01-01,0.7833,5,4.9476,874.7721
bitcoin,2025-01-01,0.8027,2,4.2606,1425.7812
cardano,2020-01-01,0.6303,6,4.3879,676.4407
cardano,2021-01-01,0.7256,8,5.3543,450.3781
cardano,2022-01-01,0.8024,7,5.5336,581.3770
cardano,2023-01-01,0.8000,4,4.7786,1026.3552
cardano,2024-01-01,0.7918,5,4.7653,915.2835
cardano,2025-01-01,0.7628,6,4.9232,799.2172
cardano,2026-01-01,0.6558,2,2.7775,2304.1068
ethereum,2015-01-01,0.5258,3,3.3041,1367.1111
ethereum,2016-01-01,0.6005,3,3.3728,1379.5918
ethereum,2017-01-01,0.7528,11,5.9368,413.5139
ethereum,2018-01-01,0.7578,10,6.4029,398.3412
ethereum,2019-01-01,0.7897,7,5.4110,875.1784
ethereum,2020-01-01,0.8183,4,4.8200,1173.6450
ethereum,2021-01-01,0.8535,3,4.8399,1008.7089
ethereum,2022-01-01,0.8926,4,4.6962,1107.2532
ethereum,2023-01-01,0.8601,4,5.1587,872.9646
ethereum,2024-01-01,0.8240,7,5.4821,633.3564
ethereum,2025-01-01,0.8431,5,5.3532,886.2446
ethereum,2026-01-01,0.7510,2,3.1524,2615.7984
