chain,date,gini,nakamoto,shannon_entropy,hhi
bitcoin,2013-01-01,0.30,3,2.92,1555.56
bitcoin,2014-01-01,0.69,8,5.03,512.02
bitcoin,2015-01-01,0.64,10,5.35,416.57
bitcoin,2016-01-01,0.70,7,5.09,666.10
bitcoin,2017-01-01,0.71,9,5.38,610.06
bitcoin,2018-01-01,0.72,8,5.38,582.53
bitcoin,2019-01-01,0.70,7,5.17,644.40
bitcoin,2020-01-01,0.72,11,5.72,318.19
bitcoin,2021-01-01,0.72,11,5.66,348.90
bitcoin,2022-01-01,0.69,11,5.64,337.39
bitcoin,2023-01-01,0.75,9,5.39,426.20
bitcoin,2024-01-01,0.80,5,5.05,822.30
bitcoin,2025-01-01,0.83,2,4.12,1606.03
cardano,2020-01-01,0.70,4,4.19,858.69
cardano,2021-01-01,0.74,7,5.28,496.02
cardano,2022-01-01,0.81,6,5.47,621.95
cardano,2023-01-01,0.81,4,4.75,1004.65
cardano,2024-01-01,0.80,4,4.72,930.77
cardano,2025-01-01,0.78,5,4.84,824.60
ethereum,2015-01-01,0.54,3,3.57,1190.37
ethereum,2016-01-01,0.61,3,3.35,1403.30
ethereum,2017-01-01,0.76,11,5.92,420.23
ethereum,2018-01-01,0.77,10,6.39,415.55
ethereum,2019-01-01,0.79,8,5.51,866.26
ethereum,2020-01-01,0.82,4,4.95,1103.77
ethereum,2021-01-01,0.85,4,4.98,981.23
ethereum,2022-01-01,0.90,4,4.74,1058.59
ethereum,2023-01-01,0.87,4,5.03,1082.92
ethereum,2024-01-01,0.84,6,5.38,852.20
ethereum,2025-01-01,0.86,4,5.14,1249.12
