chain,date,gini,nakamoto,shannon_entropy,hhi
bitcoin,2013-01-01,0.00,3,2.32,2000.00
bitcoin,2014-01-01,0.33,17,5.72,267.16
bitcoin,2015-01-01,0.41,12,5.34,343.06
bitcoin,2016-01-01,0.52,10,5.26,575.29
bitcoin,2017-01-01,0.39,13,5.65,297.83
bitcoin,2018-01-01,0.25,23,6.11,173.90
bitcoin,2019-01-01,0.31,18,5.81,231.19
bitcoin,2020-01-01,0.45,12,5.45,563.82
bitcoin,2021-01-01,0.37,17,5.94,258.90
bitcoin,2022-01-01,0.30,17,5.77,259.41
bitcoin,2023-01-01,0.19,27,6.04,174.59
bitcoin,2024-01-01,0.40,17,5.87,259.61
bitcoin,2025-01-01,0.40,24,6.37,223.73
cardano,2020-01-01,0.54,2,3.17,1961.55
cardano,2021-01-01,0.58,3,3.91,1537.73
cardano,2022-01-01,0.50,10,5.49,382.50
cardano,2023-01-01,0.60,4,4.56,1323.65
cardano,2024-01-01,0.53,7,4.98,715.65
cardano,2025-01-01,0.46,9,5.05,555.03
ethereum,2015-01-01,0.55,1,2.10,3376.00
ethereum,2016-01-01,0.10,8,3.95,679.01
ethereum,2017-01-01,0.49,9,5.21,466.21
ethereum,2018-01-01,0.57,20,6.60,191.19
ethereum,2019-01-01,0.61,13,6.06,354.37
ethereum,2020-01-01,0.63,9,5.74,455.59
ethereum,2021-01-01,0.77,4,4.93,1101.86
ethereum,2022-01-01,0.68,15,6.37,381.71
ethereum,2023-01-01,0.64,23,6.87,299.18
ethereum,2024-01-01,0.63,16,6.51,260.22
ethereum,2025-01-01,0.61,36,7.37,135.11
