Chain,date,gini,nakamoto,shannon_entropy,hhi
bitcoin,2013-01-01,0.0000,1,0.0000,10000.0000
bitcoin,2014-01-01,0.1333,3,2.2516,2222.2222
bitcoin,2015-01-01,0.0000,3,2.0000,2500.0000
bitcoin,2016-01-01,0.4206,4,3.8031,1026.5283
bitcoin,2017-01-01,0.5860,6,4.6058,713.5734
bitcoin,2018-01-01,0.6236,5,4.5012,730.5315
bitcoin,2019-01-01,0.5511,6,4.6796,646.0938
bitcoin,2020-01-01,0.5847,10,5.2325,402.2893
bitcoin,2021-01-01,0.5743,11,5.5504,388.8528
bitcoin,2022-01-01,0.5738,10,5.4240,365.7830
bitcoin,2023-01-01,0.5257,10,5.3409,338.8398
bitcoin,2024-01-01,0.7212,5,4.9956,760.2795
bitcoin,2025-01-01,0.7811,2,3.5817,2078.7963
cardano,2020-01-01,0.6893,3,2.9613,1810.7298
cardano,2021-01-01,0.6867,4,4.4141,965.3010
cardano,2022-01-01,0.7700,3,4.2010,1230.7639
cardano,2023-01-01,0.7961,3,4.0911,1192.0401
cardano,2024-01-01,0.7785,3,3.9512,1395.0143
cardano,2025-01-01,0.7577,3,3.8310,1329.6399
cardano,2026-01-01,0.5458,2,2.8254,1995.4649
ethereum,2015-01-01,0.1333,3,2.2516,2222.2222
ethereum,2016-01-01,0.1333,3,2.2516,2222.2222
ethereum,2017-01-01,0.6246,6,4.9318,598.5934
ethereum,2018-01-01,0.6613,6,5.3238,765.4761
ethereum,2019-01-01,0.6626,7,5.3672,909.7989
ethereum,2020-01-01,0.6931,4,5.1538,834.0605
ethereum,2021-01-01,0.7335,3,5.0128,1071.5108
ethereum,2022-01-01,0.8460,3,4.5710,1167.8807
ethereum,2023-01-01,0.8467,2,4.2445,2104.4450
ethereum,2024-01-01,0.8103,3,4.7104,1633.1159
ethereum,2025-01-01,0.8467,2,4.2926,2239.9525
ethereum,2026-01-01,0.7411,1,3.0811,3350.1289
