year,posts,comments,users,posts_per_user,comments_per_post,comments_per_user
2010,3,62,3,1.0,20.67,20.67
2011,40,773,33,1.21,19.32,23.42
2012,53,1528,35,1.51,28.83,43.66
2013,86,3838,75,1.15,44.63,51.17
2014,152,2800,129,1.18,18.42,21.71
2015,159,8568,131,1.21,53.89,65.4
2016,96,2245,80,1.2,23.39,28.06
2017,250,7656,190,1.32,30.62,40.29
2018,145,2434,132,1.1,16.79,18.44
2019,57,3134,52,1.1,54.98,60.27
2020,56,2094,51,1.1,37.39,41.06
2021,64,1172,48,1.33,18.31,24.42
2022,58,1425,50,1.16,24.57,28.5
2023,49,917,41,1.2,18.71,22.37
2024,74,1511,56,1.32,20.42,26.98
2025,10,84,10,1.0,8.4,8.4
