approver_scope,chain,stagnant_filter,date,gini,cr1,shannon_entropy,hhi
core_editors,ethereum,exclude,2019-01-01,0.4167,0.9167,0.4138,8472.2
core_editors,ethereum,exclude,2020-01-01,0.2857,0.5714,1.3788,4285.7
core_editors,ethereum,exclude,2021-01-01,0.5109,0.587,1.2221,4820.4
core_editors,ethereum,exclude,2022-01-01,0.5462,0.5474,1.8133,3667.2
core_editors,ethereum,exclude,2023-01-01,0.6162,0.5351,1.8242,3683.6
core_editors,ethereum,exclude,2024-01-01,0.3672,0.4844,1.6358,3588.9
core_editors,ethereum,exclude,2025-01-01,0.5211,0.6747,1.2759,5090.7
core_editors,ethereum,include,2019-01-01,0.4167,0.9167,0.4138,8472.2
core_editors,ethereum,include,2020-01-01,0.2857,0.5714,1.3788,4285.7
core_editors,ethereum,include,2021-01-01,0.5109,0.587,1.2221,4820.4
core_editors,ethereum,include,2022-01-01,0.5303,0.5315,1.8682,3525.4
core_editors,ethereum,include,2023-01-01,0.6173,0.5389,1.8206,3699.2
core_editors,ethereum,include,2024-01-01,0.3659,0.4928,1.6565,3589.6
core_editors,ethereum,include,2025-01-01,0.5849,0.6452,1.4201,4746.2
