chain,metric,date,value
ethereum,editor_approvals,2018-01-01,8
ethereum,editor_approvals,2019-01-01,30
ethereum,editor_approvals,2020-01-01,30
ethereum,editor_approvals,2021-01-01,73
ethereum,editor_approvals,2022-01-01,145
ethereum,editor_approvals,2023-01-01,195
ethereum,editor_approvals,2024-01-01,75
ethereum,editor_approvals,2025-01-01,93
ethereum,editor_count,2017-01-01,6
ethereum,editor_count,2018-01-01,6
ethereum,editor_count,2019-01-01,8
ethereum,editor_count,2020-01-01,9
ethereum,editor_count,2021-01-01,10
ethereum,editor_count,2022-01-01,12
ethereum,editor_count,2023-01-01,7
ethereum,editor_count,2024-01-01,4
ethereum,editor_count,2025-01-01,5
ethereum,editor_count,2026-01-01,5
ethereum,median_attendees,2018-01-01,21
ethereum,median_attendees,2019-01-01,23
ethereum,median_attendees,2020-01-01,19
ethereum,median_attendees,2021-01-01,22
ethereum,median_attendees,2022-01-01,34
ethereum,median_attendees,2023-01-01,39
ethereum,median_attendees,2024-01-01,55
ethereum,median_attendees,2025-01-01,40
ethereum,meeting_count,2018-01-01,28
ethereum,meeting_count,2019-01-01,46
ethereum,meeting_count,2020-01-01,42
ethereum,meeting_count,2021-01-01,38
ethereum,meeting_count,2022-01-01,37
ethereum,meeting_count,2023-01-01,47
ethereum,meeting_count,2024-01-01,45
ethereum,meeting_count,2025-01-01,72
ethereum,ratification_prs_merged,2018-01-01,8
ethereum,ratification_prs_merged,2019-01-01,28
ethereum,ratification_prs_merged,2020-01-01,30
ethereum,ratification_prs_merged,2021-01-01,78
ethereum,ratification_prs_merged,2022-01-01,146
ethereum,ratification_prs_merged,2023-01-01,199
ethereum,ratification_prs_merged,2024-01-01,75
ethereum,ratification_prs_merged,2025-01-01,82
