Chain,date,Top3_Contribution(%)
bitcoin,2011-06-01,100.00
bitcoin,2011-12-01,92.86
bitcoin,2012-06-01,72.73
bitcoin,2012-12-01,60.00
bitcoin,2013-06-01,100.00
bitcoin,2013-12-01,80.00
bitcoin,2014-06-01,57.14
bitcoin,2014-12-01,100.00
bitcoin,2015-06-01,33.33
bitcoin,2015-12-01,32.14
bitcoin,2016-06-01,42.31
bitcoin,2016-12-01,70.00
bitcoin,2017-06-01,37.50
bitcoin,2017-12-01,33.33
bitcoin,2018-06-01,83.33
bitcoin,2018-12-01,100.00
bitcoin,2019-06-01,42.86
bitcoin,2019-12-01,50.00
bitcoin,2020-06-01,37.50
bitcoin,2020-12-01,75.00
bitcoin,2021-06-01,84.62
bitcoin,2022-06-01,66.67
bitcoin,2022-12-01,60.00
bitcoin,2023-06-01,50.00
bitcoin,2023-12-01,100.00
bitcoin,2024-06-01,68.75
bitcoin,2024-12-01,100.00
bitcoin,2025-06-01,100.00
ethereum,2015-12-01,60.00
ethereum,2016-06-01,75.00
ethereum,2016-12-01,73.33
ethereum,2017-06-01,55.36
ethereum,2017-12-01,23.89
ethereum,2018-06-01,15.77
ethereum,2018-12-01,9.26
ethereum,2019-06-01,24.90
ethereum,2019-12-01,26.00
ethereum,2020-06-01,18.42
ethereum,2020-12-01,23.68
ethereum,2021-06-01,15.19
ethereum,2021-12-01,14.91
ethereum,2022-06-01,10.71
ethereum,2022-12-01,18.90
ethereum,2023-06-01,8.52
ethereum,2023-12-01,9.01
ethereum,2024-06-01,13.06
ethereum,2024-12-01,8.74
ethereum,2025-06-01,12.09
ethereum,2025-12-01,16.88
ethereum,2026-06-01,100.00
cardano,2019-06-01,100.00
cardano,2019-12-01,100.00
cardano,2020-06-01,71.67
cardano,2020-12-01,55.56
cardano,2021-06-01,29.63
cardano,2021-12-01,62.96
cardano,2022-06-01,30.95
cardano,2022-12-01,21.11
cardano,2023-06-01,33.33
cardano,2023-12-01,50.00
cardano,2024-06-01,36.67
cardano,2024-12-01,40.00
cardano,2025-06-01,50.00
cardano,2025-12-01,50.00
