Chain,date,3-concentration-ratio
bitcoin,2011-01-01,81.25
bitcoin,2012-01-01,56.25
bitcoin,2013-01-01,78.57
bitcoin,2014-01-01,40.00
bitcoin,2015-01-01,25.00
bitcoin,2016-01-01,44.44
bitcoin,2017-01-01,25.33
bitcoin,2018-01-01,80.00
bitcoin,2019-01-01,30.00
bitcoin,2020-01-01,41.67
bitcoin,2021-01-01,84.62
bitcoin,2022-01-01,37.50
bitcoin,2023-01-01,37.50
bitcoin,2024-01-01,61.11
bitcoin,2025-01-01,100.00
ethereum,2015-01-01,60.00
ethereum,2016-01-01,69.79
ethereum,2017-01-01,39.15
ethereum,2018-01-01,8.79
ethereum,2019-01-01,18.46
ethereum,2020-01-01,16.94
ethereum,2021-01-01,10.86
ethereum,2022-01-01,13.84
ethereum,2023-01-01,6.27
ethereum,2024-01-01,8.95
ethereum,2025-01-01,10.09
cardano,2019-01-01,100.00
cardano,2020-01-01,58.33
cardano,2021-01-01,37.04
cardano,2022-01-01,24.14
cardano,2023-01-01,30.00
cardano,2024-01-01,34.00
cardano,2025-01-01,37.50
