ledger,date,nodes
consensus,2026-02-23,9397
consensus,2026-03-01,9441
consensus,2026-03-07,9330
consensus,2026-03-13,9142
execution,2026-02-23,10622
execution,2026-03-01,10732
execution,2026-03-07,11080
execution,2026-03-13,10870
bitcoin,2026-02-25,25527
bitcoin,2026-03-05,26144
bitcoin,2026-03-08,26011
bitcoin,2026-03-16,25807
bitcoin_cash,2026-02-25,505
bitcoin_cash,2026-03-05,518
bitcoin_cash,2026-03-08,535
bitcoin_cash,2026-03-16,543
dogecoin,2026-02-25,523
dogecoin,2026-03-05,522
dogecoin,2026-03-08,530
dogecoin,2026-03-16,529
litecoin,2026-02-25,655
litecoin,2026-03-05,708
litecoin,2026-03-08,735
litecoin,2026-03-16,732
zcash,2026-02-25,1601
zcash,2026-03-05,1693
zcash,2026-03-08,1682
zcash,2026-03-16,1670
cardano,2026-02-26,3388
cardano,2026-03-02,3995
cardano,2026-03-08,3995
cardano,2026-03-14,3996
