ledger,date,clustering,hhi,nakamoto_coefficient,max_power_ratio
execution,2025-06-02,False,577.207586479032,6,0.12993165579372476
execution,2025-06-08,False,611.799064394452,5,0.13863018214786121
execution,2025-06-16,False,630.4240035498283,5,0.14208010548870942
execution,2025-06-22,False,629.2466726666871,5,0.1444167783949435
execution,2025-06-28,False,642.4001568853145,5,0.14786482851378616
execution,2025-07-04,False,643.3009477030523,5,0.14987320371935756
execution,2025-07-10,False,660.0097820187997,5,0.15142364106988784
execution,2025-07-22,False,671.085042303286,5,0.15789934354485777
execution,2025-08-03,False,659.6311711186331,5,0.15782301337194446
execution,2025-08-10,False,636.9197264853892,5,0.1588677065280185
execution,2025-08-16,False,645.5373496077907,5,0.1610671112963735
execution,2025-08-22,False,675.1789189051269,5,0.16845660834921186
execution,2025-08-28,False,678.6891532513855,5,0.16941217270677997
execution,2025-09-03,False,689.8838484686524,5,0.17035745422842197
execution,2025-09-09,False,686.2646422589501,5,0.1707423963537558
execution,2025-09-15,False,650.9004823562171,5,0.16591699906645166
execution,2025-09-21,False,667.2130842411862,5,0.16568876434013485
execution,2025-09-27,False,662.1398618140335,5,0.16148796498905907
execution,2025-10-03,False,650.2914348246735,5,0.15510274267044966
execution,2025-10-09,False,654.1079528135743,5,0.16149291225551768
execution,2025-10-15,False,657.2175309340261,5,0.16075607560756075
execution,2025-10-21,False,656.3197200921803,5,0.1580942068218733
execution,2025-10-27,False,647.4311738892732,5,0.15705855651384476
execution,2025-11-02,False,631.8633625941761,5,0.15331516802906447
execution,2025-11-08,False,653.1188076841075,5,0.1555187027823844
execution,2025-11-15,False,666.5016630544209,5,0.15606032738642633
execution,2025-11-21,False,644.2449615709327,5,0.1592853069758601
execution,2025-11-27,False,657.0963220910738,5,0.15941614195764167
execution,2025-12-03,False,599.636813041336,6,0.14175188972876834
execution,2025-12-09,False,602.6928171760485,6,0.14405329972089673
execution,2025-12-15,False,602.6297208840064,6,0.14507391424111651
execution,2025-12-21,False,603.7864151835545,6,0.1457166467725645
execution,2025-12-27,False,612.2717973293102,6,0.1470259183292933
execution,2026-01-02,False,633.8451191823806,5,0.15040727410494412
execution,2026-01-08,False,628.557514570442,5,0.1507437070938215

