Jordan Millar,369373
iohk-bors[bot],1059607
Andreas Triantafyllos,2279
Alexander Diemand,24490
ksaric,8035
Samuel Leathers,91817
Michael Bishop,859
Rupert Horlick,32
Thomas Winant,12363
Jean-Baptiste Giraudeau,14056
Marcin Szamotulski,39691
Denis Shevchenko,45760
Kosyrev Serge,438897
Nicholas Clarke,10106
Karl Knutsson,3028
Moritz Angermann,16422
Duncan Coutts,107612
Alexander Vieth,151
Erik de Castro Lopo,55657
Artur Wieczorek,1102
Edsko de Vries,277
oneEdoubleD,417
Rodney Lorrimar,1124
Luke Nadur,20614
Hamish Mackenzie,861
Craige McWhirter,1330
Mark Stopka,290
Rhys Bartels-Waller,99
Markus,44
gufmar,24
Pawel Jakubas,1
Edward Haigh,45276
Lars Brünjes,4
danielemiliogarcia,2
Viktor,49
tatyanavych,3
John Lotoski,503
bahamasbahamas,4
Philipp Kant,1147
onyxstakepool,3
Kevin Hammond,1422
Andrew Westberg,4
kderme,797
KtorZ,2637
Smaug,2
Mateusz Czeladka,2
Pieter Germishuys,2
John Ky,592973
Martin Kourim,584
Rob Cohen,7026
CarlosLopezDeLara,6068
olgahryniuk,2207
Carlos LopezDeLara,2627
Sebastien Guillemot,15
Julian Ospald,31
carloslodelar,4
JK,2
Will Dembinski,4
Abdullah_Aleiti,2
Jared Corduan,1343
Jürgen Nicklisch-Franken,37
James Browning,52
John A. Lotoski,186
Vadim Bakaev,2
David Eichmann,3297
Yuriy Syrovetskiy,4390
Yupanqui,112110
Niamh Ahern,45
dizgotti,2
lmbruder,4
Alex Byaly,264
[PCT] 0 Percent Pool,210
Snail,145
Michael Fellinger,264
Uwe Voelker,4
dependabot[bot],10
Michael Fazio,17
Ilyar,6
Eduard Sergeev,4
Madeline Haraj,511
laplasz,9
Chop Tr,2
EncodePanda,60
Nicolas Frisby,1265
Thomas Diesler,624
Sjoerd Visscher,22
Justin VanWinkle,4
MarcFontaine,29112
Sasha Bogicevic,17
Wessel Nieboer,21
Matt Ho,58
Louis Waweru,2
Tim McGilchrist,1514
Alexey Kuleshevich,11901
hainq,64
Michael Peyton Jones,775
Vid Kersic,2
Brian W Bush,2
Ikko Ashimine,2
Konstantinos Lambrou-Latreille,135
David Arnold,7
Richard Marko,29
Leron T,2
Arnaud Bailly,38
Serge Kosyrev,647
James Kelley,16
Armando Santos,8111
Sebastian Nagel,316
Divesh Otwani,19
Javier Sagredo,1976
Martin Lang,12
Piotr Napierala,2
Boby chaudhary,4
Marc Fontaine,196
Gideon Tsang,136
BharatAtEMURGOIO,5
Soslan Khubulov,4
kastik,2
Andrea Bedini,28531
Gleb Popov,30
Dimitris Apostolou,370
Alexander Esgen,867
Michael Karg,490374
James,6
Samuel Evans-Powell,33
Federico Mastellone,476910
Robert 'Probie' Offner,769
ntfreem,8
LaurenceIO,492
dorin100,92
Robin Stumm,3286
Trueblueaddie,73
Nadia Yvette Chambers,4964
Joosep Jääger,4209
Jordan,4094
Markus Läll,126
Niels Mündler,12
Jean-Baptiste G,261
Ziyang Liu,1114
Acyuta C,150
Cmdv,54
neilburgess42,6
Rune K. Svendsen,12
NetWalker108,2
Mateusz Galazyn,63912
Mateusz Gałażyn,25107
github-merge-queue[bot],5793
Iñigo Querejeta Azurmendi,56
eddex,6
Damian Nadales,4064
Marek Mahut,2
James Parker,153
Mark Tullsen,416
Jürgen Nicklisch,5267
Fraser Murray,272
Clément Hurlin,8382
Sean D Gillespie,259
teodanciu,480
amesgen,29
Baldur Blöndal,4571
Sean Gillespie,59
Renate Eilers,51
Pablo Lamela,7439
Lucsanszky,5229
Yura Lazarev,5757
perturbing,12
