Jordan Millar,381584
iohk-bors[bot],1059607
Andreas Triantafyllos,2279
Alexander Diemand,24490
ksaric,8035
Michael Bishop,859
Samuel Leathers,109312
Thomas Winant,12363
Rupert Horlick,32
Kosyrev Serge,439544
Jean-Baptiste Giraudeau,14317
Marcin Szamotulski,46132
Denis Shevchenko,45760
Nicholas Clarke,10106
Karl Knutsson,3222
Moritz Angermann,447875
Duncan Coutts,107612
Alexander Vieth,151
Erik de Castro Lopo,56473
Artur Wieczorek,1102
Edsko de Vries,277
oneEdoubleD,45693
Rodney Lorrimar,1124
Luke Nadur,20614
Hamish Mackenzie,2093
Craige McWhirter,1330
Mark Stopka,290
Rhys Bartels-Waller,99
gufmar,68
Pawel Jakubas,1
danielemiliogarcia,2
Lars Brünjes,4
Viktor,49
tatyanavych,3
John Lotoski,66723
bahamasbahamas,4
Philipp Kant,1147
onyxstakepool,3
Kevin Hammond,1422
Andrew Westberg,4
kderme,797
Will Dembinski,4
KtorZ,2637
Smaug,2
Mateusz Czeladka,2
Pieter Germishuys,2
John Ky,592973
Martin Kourim,584
Rob Cohen,7026
CarlosLopezDeLara,6189
olgahryniuk,2207
Carlos LopezDeLara,2534
Sebastien Guillemot,15
Julian Ospald,31
carloslodelar,4
JK,2
Abdullah_Aleiti,2
Jared Corduan,1343
Yupanqui,161639
James Browning,52
John A. Lotoski,15065
Vadim Bakaev,2
David Eichmann,3297
Michael Fellinger,264
Yuriy Syrovetskiy,4390
Thomas Diesler,624
Snail,145
Nicolas Frisby,1622
[PCT] 0 Percent Pool,210
lmbruder,4
Alex Byaly,264
Niamh Ahern,45
dizgotti,2
Madeline Haraj,511
Uwe Voelker,4
dependabot[bot],10
Michael Fazio,17
Ilyar,6
Eduard Sergeev,4
MarcFontaine,29279
laplasz,9
EncodePanda,60
Chop Tr,2
Sjoerd Visscher,22
Justin VanWinkle,4
Sasha Bogicevic,17
Wessel Nieboer,21
Matt Ho,58
Louis Waweru,2
Tim McGilchrist,1514
Alexey Kuleshevich,11905
Acyuta C,150
hainq,64
Michael Peyton Jones,775
Vid Kersic,2
Konstantinos Lambrou-Latreille,135
Brian W Bush,2
Ikko Ashimine,2
David Arnold,7
Richard Marko,29
Leron T,2
Arnaud Bailly,38
James Kelley,16
Armando Santos,8111
Sebastian Nagel,791
Javier Sagredo,9774
Gideon Tsang,136
Divesh Otwani,19
Marc Fontaine,29
Martin Lang,12
Piotr Napierala,2
Samuel Evans-Powell,33
Boby chaudhary,4
BharatAtEMURGOIO,5
Soslan Khubulov,4
Gleb Popov,30
kastik,2
Andrea Bedini,28611
Dimitris Apostolou,370
Rune K. Svendsen,12
neilburgess42,6
James,6
eddex,6
Alexander Esgen,1527
Michael Karg,2156680
Federico Mastellone,3156107
Robert 'Probie' Offner,769
ntfreem,8
Markus Läll,126
LaurenceIO,492
Robin Stumm,3408
Nadia Yvette Chambers,5003
dorin100,92
Joosep Jääger,4209
Trueblueaddie,73
Jordan,4094
Niels Mündler,12
Ziyang Liu,1166
Cmdv,54
Damian Nadales,4064
Mateusz Galazyn,117148
NetWalker108,2
github-merge-queue[bot],5793
Mark Tullsen,422
Iñigo Querejeta Azurmendi,56
Marek Mahut,2
James Parker,153
Fraser Murray,394
Clément Hurlin,14316
Sean D Gillespie,259
Baldur Blöndal,8153
teodanciu,480
amesgen,345
Renate Eilers,51
Sean Gillespie,59
Pablo Lamela,116559
Marcin Wójtowicz,4432
Lucsanszky,5229
Yura Lazarev,5757
perturbing,12
Alex,14
Tex M.,17
Clemens Horn,45
Georgy Lukyanov,21369
Neil Mayhew,12006
Nicolas BACQUEY,6612
Aniket Deshpande,24172
nbacquey,6368
Icelandjack,645
cuinix,10
edgr,176
Russoul,107035
letreturn,6
Ana Pantilie,19227
russcoss,10
hustrust,12
tzchenxixi,2
Drazen Popovic,8
david amick,575
ledigang,20
oncecelll,12
zeme,2
nuxtreact,8
tsinglua,10
Ruslan Φ.,4901
