sirius-m,77144
s_nakamoto,169270
Gavin Andresen,404686
Satoshi Nakamoto,3310
--author=Satoshi Nakamoto,8652
laszloh,16
gavinandresen,2022
Witchspace,29
David FRANCOIS,7
Marius Hanne,4
Chris,17
Chris Moore,3074
ojab,31
tcatm,1139
devrandom,126
Daniel Folkinshteyn,321
sandos,2
Matt Giuca,50
Luke Dashjr,19238
Matt Corallo,14390
Jeff Garzik,159225
Santiago M. Mola,27
Sven Slootweg,176
Eric Swanson,7
Pieter Wuille,278962
gjs278,26
Dan Loewenherz,9
Carlo Alberto Ferraris,10
Dan Helfman,6
Ricardo M. Correia,212
Jaromil,88613
John Maguire,26
Amir Yalon,9
Wladimir J. van der Laan,1805908
Forrest Voight,256
Daniel Holbert,2
mewantsbitcoins,895
Jordan Lewis,79
Carlos Pizarro,916
Blitzboom,875
Anonymous,910
Federico Faggiano,921
Wladimir van der Laan,4
m0ray,917
Danube,1081
dabaopku,1019
ariel,472
HostFat,14
Jakob Kramer,75
xHire,975
Doug Huff,173
Nils Schneider,103307
Dean Lee,861
Han Lin Yap,1654
Shane Wegner,5
mark,7
James Burkle,13
Giel van Schijndel,63350
Stéphane Gimenez,67
Dawid Spiechowicz,1504
Joerie de Gram,2
Eric Hosmer,55
Dylan Noblesmith,121
Jay Weisskopf,7
Patrick Varilly,22
Chris Howie,73
Celil,2372
Michael Bemmerl,1294
Abraham Jewowich,11
celil-kj,6
JoelKatz,81
Jeroenz0r,2
Johannes Henninger,5
Vegard Nossum,75
Venkatesh Srinivas,16
Fabian H jr.,16
Michal Zima,1312
ovdeathiam,636
Dev Random,186
Misbakh-Soloviev Vadim A,1133
Alex Waters,20
Alex B,4737
Janne Pulkkinen,169
cjdelisle,82
p2k,2266
flower,170
Khalahan,66
David Perry,333
David Joel Schwartz,173
Victor Leschuk,4
globalcitizen,77
kwaaak,3
Nick Bosma,73
Clark Gaebel,43
Ang Iong Chun,2325
Michael Hendricks,67
Rune K Svendsen,5
sje397,1020
coderrr,170
Lars Rasmusson,22
Gregory Maxwell,8794
gmaxwell,22
Michael Ford,4332
nomnombtc,1291
Philip Kaufmann,342539
Alistair Buxton,1
Joel Kaartinen,1
Pierre Pronchery,2
Michael,2
graingert,2
cardpuncher,4
Dwayne C. Litzenberger,23
R E Broadley,343
Timothy Redaelli,6
freewil,147
Peter Todd,2576
Fordy,103
Christian von Roques,620
grimd34th,21
fanquake,58043
xanatos,144
Scott Ellis,696
Douglas Huff,2
Rune K. Svendsen,192
Stephane Glondu,72
osmosis,39
kjj2,36
Mark Friedenbach,919
Virgil Dupras,9
Mike Hearn,26979
justmoon,1139
Alex,19
tucenaber,6
Arnav Singh,64
Alexander Kjeldaas,142
Robert Backhaus,16
default,12
burger2,4
redshark1802,14
Mike Cassano,18
Andrey Alekseenko,4
Richard Schwab,33
Andrey,53
Eric Lombrozo,4597
Sanjay Ghemawat,258
David Grogan,117
Colin Dean,385
Rubén Darío Ponticelli,7
Petter Reinholdtsen,2
Andrew Poelstra,38
mb300sd,7
David Griffith,2
gladoscc,2
Roman Mindalev,44
Larry Gilbert,1
Jonas Schnelli,72929
Patrick Brown,2
Calvin Owens,6
APerson241,4
Scott Howard,229
Tariq Bashir,2
David Serrano,6
Vinnie Falco,83250
Chuck LeDuc Díaz,6
William Yager,5
Daniel Larimer,4
super3,3233
Warren Togami,536
Michagogo,16
Timon Rapp,2
vhf / victor felder,23
Cory Fields,32611
Cozz Lovan,6537
bitsofproof,2
Vaclav Vobornik,6
theuni,17
Micha,704
fcicq,33
phelixbtc,6
constantined,1095
patrick s,68
Rav3nPL,2
Johnathan Corgan,315
Timothy Stranex,4
coblee,58
Josh Lehan,167
David Hill,6
phantomcircuit,8
Shawn Wilkinson,482
Chuck,56
Olivier Langlois,48
Josh Triplett,35
Patrick Strateman,964
Sergey Kazenyuk,2
Brandon Dahler,4188
sje,1546
Guillermo Céspedes Tabárez,147
Dmitry Smirnov,2
Florin,2
Julian Langschaedel,6
Ryan Niebur,2
Sined,0
Michael Bauer,11
Tamas Blummer,14
regergregregerrge,2
Lake Denman,10
HaltingState,5
Kangmo,17
Thomas Holenstein,835
Christian Decker,1
harry,4
Christopher Latham,5
Scott Willeke,2
Noel Tiernan,36
Ashley Holman,1098
gubatron,604
Calvin Tam,4
Midnight Magic,4
Subo1978,6
b6393ce9-d324-4fe1-996b-acf82dbc3d53,2
Bryan Bishop,496
Wil Bown,4
Daniel Newton,34
Drak,37
Ian Kelling,15
Haakon Nilsen,25
paveljanik,70
jtimon,17038
daniel,37
Torstein Husebø,18
Andreas Schildbach,42
ditto-b,9
Thomas Zander,126
Addy Yeow,1
philsong,2
Meeh,1
Mikael Wikman,6
peryaudo,6
Chris Beams,4
Isidoro Ghezzi,1
Andrea D'Amore,4
Yoichi Hirai,5
Bardi Harborow,5
Manuel Araoz,675
duanemoody,3
Alon Muroch,312
Telepatheic,2
olalonde,4
langerhans,2
Hector Jusforgues,2
Eric S. Bullington,7
rxl,64
Altoidnerd,6
Simon de la Rouviere,4
Ian Carroll,3
richierichrawr,7
Fabian Raetz,26
David A. Harding,307
Matthew Bogosian,2
shshshsh,9
Federico Bond,25
Kamil Domanski,1662
Stuart Cardall,23
Roy Badami,28261
Huang Le,94
Kosta Zertsekel,30
LongShao007,4
Mathy Vanvoorden,2
Tawanda Kembo,7
tm314159,1
Giuseppe Mazzotta,138
sandakersmann,592
kevin,1
dllud,12
Pavel Vasin,29
Whit J,27
Tom Harding,571
kazcw,60
Trevin Hofmann,11
Julian Haight,2
JaSK,1459
Daniel Kraft,1129
Ross Nicoll,228
Ruben Dario Ponticelli,23
Zak Wilcox,31
Otto Allmendinger,10
elkingtowa,4
Clinton Christian,457
Alex Morcos,4334
Aitor Pazos,65
Doug,16
pryds,92
ntrgn,24
Ben Holden-Crowther,4
Derek701,2
randy-waterhouse,4604
elichai,2
Rose Toomey,25
Dominyk Tiller,24
ENikS,172
himynameismartin,10
Teran McKinney,6
Adam Weiss,592
Suhas Daftuar,6407
imharrywu,3
Benedict Chan,4
Alexander Jeng,8
Eric Shaw,176
Janusz Lenar,4
Saivann,4
sinetek,42
SergioDemianLerner,572
JL2035,2
Andy Alness,15
Luke,2
Ruben Dario Ponticeli,14
21E14,71
dexX7,256
Pavel Janík,1676
mruddy,400
Francis GASCHET,2
kiwigb,67
Flavien Charlon,10
HarryWu,2
Glenn Willen,8
mrbandrews,1625
Heath,144
Ryan X. Charles,54
Blake Jakopovic,136
BtcDrak,194
Jameson Lopp,5
Eric R. Schulz,20
Everett Forth,37
azeteki,4
Julian Yap,2
fsb4000,15
Earlz,53
Vitalii Demianets,2
Matt Bogosian,2
UdjinM6,55
bikinibabe,6
Daira Hopwood,210756
Shaul Kfir,55
Ivan Pustogarov,7
Jonathan Brown,2
Ciemon,49
joshr,80
Rob Van Mieghem,10
Luca Venturini,445
CohibAA,18
Ruben de Vries,9
Jorge Timón,2591
MarcoFalke,3946
charlescharles,2
Nicolas Benoit,38
Jason Lewicki,5
pstratem,10
Dave Collins,29
svost,4
Corinne Dashjr,159
Chris Arnesen,2
ayeowch,2
BitcoinPRReadingGroup,6
rion,25
Jacob Welsh,40
