sirius-m,77144
s_nakamoto,169270
Gavin Andresen,420373
laszloh,16
gavinandresen,2022
Witchspace,1179
David FRANCOIS,7
Marius Hanne,4
Chris,17
Chris Moore,2634
ojab,31
tcatm,1215
devrandom,126
sandos,2
unknown,124
Matt Giuca,50
Matt Corallo,50789
Jeff Garzik,159276
Santiago M. Mola,27
Pieter Wuille,440068
root,29
Dan Loewenherz,9
Carlo Alberto Ferraris,10
Ricardo M. Correia,212
Jaromil,88613
John Maguire,26
Amir Yalon,9
Wladimir J. van der Laan,3084404
Forrest Voight,256
Luke Dashjr,405184
Jordan Lewis,79
Wladimir van der Laan,4
Doug Huff,161
Nils Schneider,103307
Dean Lee,861
Han Lin Yap,1654
Shane Wegner,5
mark,7
James Burkle,13
Giel van Schijndel,63350
Stéphane Gimenez,89
Dawid Spiechowicz,1504
Joerie de Gram,2
Eric Hosmer,55
Jay Weisskopf,7
Chris Howie,73
Celil,2367
Michael Bemmerl,1294
Abraham Jewowich,11
Dzhelil Rufat,11
JoelKatz,3
Jeroenz0r,2
Johannes Henninger,5
Fabian H jr.,16
Michal Zima,1312
ovdeathiam,636
Daniel Folkinshteyn,245
Alex Waters,20
Alex B,4737
Venkatesh Srinivas,4
cjdelisle,82
p2k,1166
Janne Pulkkinen,41
David Perry,333
Victor Leschuk,4
globalcitizen,77
kwaaak,3
Nick Bosma,73
Clark Gaebel,43
Ang Iong Chun,2325
Michael Hendricks,67
Dylan Noblesmith,94
Rune K Svendsen,5
sje397,1020
coderrr,7
Lars Rasmusson,22
Gregory Maxwell,11871
gmaxwell,22
Michael Ford,3745
nomnombtc,1291
Philip Kaufmann,342748
Alistair Buxton,1
Joel Kaartinen,1
Pierre Pronchery,2
Michael,10
graingert,2
cardpuncher,4
Dwayne C. Litzenberger,23
R E Broadley,408
Timothy Redaelli,14
freewil,147
Peter Todd,5745
Fordy,103
Christian von Roques,616
grimd34th,21
fanquake,89536
xanatos,42
Scott Ellis,696
Douglas Huff,2
Rune K. Svendsen,178
Stephane Glondu,72
Shen,39
kjj2,36
Mark Friedenbach,966
Virgil Dupras,9
Alex,13
Arnav Singh,64
Alexander Kjeldaas,142
Robert Backhaus,16
default,12
burger2,4
redshark1802,14
Mike Cassano,18
Andrey,57
Richard Schwab,33
Eric Lombrozo,4283
Mike Hearn,1487
Colin Dean,385
Rubén Darío Ponticelli,7
Andrew Poelstra,38
mb300sd,115
David Griffith,2
gladoscc,5
Roman Mindalev,44
Larry Gilbert,1
Jonas Schnelli,102220
Patrick Brown,2
Calvin Owens,6
APerson241,4
Scott Howard,229
David Serrano,6
Vinnie Falco,83250
Chuck LeDuc Díaz,6
William Yager,5
Daniel Larimer,4
super3,3162
Warren Togami,604
Michagogo,16
Timon Rapp,2
Victor Felder,23
Cory Fields,39606
Cozz Lovan,3202
bitsofproof,2
Vaclav Vobornik,6
theuni,17
Micha,681
fcicq,33
phelixbtc,6
constantined,1095
patrick s,68
Rav3nPL,2
Johnathan Corgan,361
Timothy Stranex,4
Charlie Lee,58
Josh Lehan,220
David Hill,23
phantomcircuit,8
Shawn Wilkinson,78
Chuck,56
Olivier Langlois,48
Josh Triplett,35
Patrick Strateman,2730
Sergey Kazenyuk,2
Brandon Dahler,4162
Dmitry Smirnov,2
Florin,2
Julian Langschaedel,6
Ryan Niebur,2
Sined,0
Michael Bauer,11
Tamas Blummer,16
regergregregerrge,2
Lake Denman,10
HaltingState,5
Kangmo,17
Thomas Holenstein,821
Christian Decker,1
harry,4
Christopher Latham,5
Scott Willeke,2
Noel Tiernan,36
Ashley Holman,931
gubatron,616
Calvin Tam,4
Midnight Magic,131
Subo1978,6
b6393ce9-d324-4fe1-996b-acf82dbc3d53,2
Bryan Bishop,496
Wil Bown,4
Daniel Newton,62
Drak,37
Ian Kelling,17
Haakon Nilsen,25
paveljanik,61
jtimon,5069
arowser,17
Torstein Husebø,18
Andreas Schildbach,43
ditto-b,9
Addy Yeow,1
Meeh,1
Mikael Wikman,6
peryaudo,6
Chris Beams,4
Isidoro Ghezzi,33
Andrea D'Amore,4
Yoichi Hirai,5
Bardi Harborow,5
Manuel Araoz,644
duanemoody,3
Alon Muroch,312
Telepatheic,2
olalonde,4
langerhans,2
Hector Jusforgues,2
Eric S. Bullington,7
rxl,64
Simon de la Rouviere,4
Ian Carroll,3
richierichrawr,7
Fabian Raetz,26
Matthew Bogosian,2
shshshsh,9
Federico Bond,25
Kamil Domanski,1875
Stuart Cardall,23
Roy Badami,28261
Huang Le,94
Kosta Zertsekel,96
LongShao007,33
Tawanda Kembo,7
tm314159,1
Giuseppe Mazzotta,138
sandakersmann,2
kevin,1
dllud,12
Pavel Vasin,59
Whit J,12
Tom Harding,854
kazcw,54
Trevin Hofmann,11
JaSK,1836
Daniel Kraft,1995
Ross Nicoll,224
Ruben Dario Ponticelli,23
Zak Wilcox,31
Otto Allmendinger,10
elkingtowa,4
Alex Morcos,10941
Aitor Pazos,65
Doug,26
Ben Holden-Crowther,4
ntrgn,10
Derek701,2
randy-waterhouse,323
Elichai Turkel,159
Rose Toomey,25
Dominyk Tiller,24
ENikS,131
himynameismartin,10
Adam Weiss,592
Suhas Daftuar,18382
imharrywu,3
Benedict Chan,4
kiwigb,137
Eric Shaw,2
Saivann,4
sinetek,16
JL2035,2
Andy Alness,15
Luke,2
21E14,95
dexX7,355
Pavel Janík,1918
mruddy,844
Flavien Charlon,10
HarryWu,2
Glenn Willen,3606
mrbandrews,1915
Heath,144
Ryan X. Charles,54
Blake Jakopovic,136
BtcDrak,2931
Jameson Lopp,53
Eric R. Schulz,20
Everett Forth,37
Julian Yap,2
Thomas Zander,110
fsb4000,41
Earlz,53
Daira Hopwood,24
Shaul Kfir,32
Ivan Pustogarov,7
Jonathan Brown,2
joshr,80
Luca Venturini,452
CohibAA,18
Ruben de Vries,9
Jorge Timón,6670
MarcoFalke,348427
pitwuu@gmail.com,10
pstratem,10
Dave Collins,29
svost,4
lpescher,5
Erik Mossberg,0
Andriy Voskoboinyk,6
Paul Rabahy,164
Stephen,6
Jacob Welsh,40
rion,25
Esteban Ordano,8
Florian Schmaus,58
Paul Georgiou,18
Braydon Fuller,45
฿tcDrak,2
centaur1,30
Simon Males,5
Casey Rodarmor,1999
Pavol Rusnak,8
Matt Quinn,8
unsystemizer,35
Marco,626
Veres Lajos,46
ptschip,341
J Ross Nicoll,10
altoidnerd,3
Kevin Cooper,39
Ian T,2
Irving Ruan,2
João Barbosa,9170
Diego Viola,8
EthanHeilman,746
Arne Brutschy,7
James O'Beirne,7344
Chris Kleeschulte,2
Mitchell Cash,338
Thomas Kerin,145
Daniel Cousens,9686
Matt Corallo (laptop - only while traveling),1
Bob McElrath,410
Jonathan Cross,14
Peter Josling,10
Patick Strateman,124
daniel,7
tulip,14
Nick Zhavoronkov,4
Gregory Sanders,3710
Matt Bogosian,2
Murch,104
Suriyaa Kudo,2
accraze,31
Elias Rohrer,1
Marcel Krüger,3
calebogden,14
crowning-,2
Chris Wheeler,26
Prayag Verma,8
Andrew C,207
Jarret Dyrbye,11
Nathaniel Mahieu,24
Kefkius,6
kirkalx,9
Matt,2
instagibbs,532
Leviathn,288
jmacwhyte,2
