sirius-m,77144
s_nakamoto,169270
Gavin Andresen,420034
laszloh,16
gavinandresen,2022
Witchspace,1179
David FRANCOIS,7
Marius Hanne,4
Chris,17
Chris Moore,2460
ojab,31
tcatm,1215
devrandom,126
sandos,2
unknown,124
Matt Giuca,50
Matt Corallo,22396
Jeff Garzik,155169
Santiago M. Mola,27
Pieter Wuille,253891
root,26
Dan Loewenherz,9
Carlo Alberto Ferraris,10
Ricardo M. Correia,212
Jaromil,88613
John Maguire,26
Amir Yalon,9
Wladimir J. van der Laan,1787140
Forrest Voight,242
Luke Dashjr,19131
Jordan Lewis,79
Doug Huff,163
Nils Schneider,103307
Dean Lee,861
Han Lin Yap,1654
Shane Wegner,5
mark,7
James Burkle,13
Giel van Schijndel,63350
Stéphane Gimenez,89
Dawid Spiechowicz,1504
Joerie de Gram,2
Eric Hosmer,55
Jay Weisskopf,7
Chris Howie,73
Celil,2367
Michael Bemmerl,1294
Abraham Jewowich,11
Dzhelil Rufat,11
JoelKatz,3
Jeroenz0r,2
Johannes Henninger,5
Fabian H jr.,16
Michal Zima,1312
ovdeathiam,636
Daniel Folkinshteyn,245
Alex Waters,20
Alex B,4737
Venkatesh Srinivas,4
cjdelisle,82
p2k,1166
Janne Pulkkinen,41
David Perry,333
Victor Leschuk,4
globalcitizen,77
kwaaak,3
Nick Bosma,73
Clark Gaebel,43
Ang Iong Chun,2325
Michael Hendricks,67
Dylan Noblesmith,94
Rune K. Svendsen,183
sje397,1716
coderrr,7
Lars Rasmusson,22
Gregory Maxwell,7847
fanquake,4241
nomnombtc,2
Philip Kaufmann,341750
Alistair Buxton,1
Joel Kaartinen,1
Pierre Pronchery,2
graingert,2
cardpuncher,4
Dwayne C. Litzenberger,23
R E Broadley,322
Timothy Redaelli,6
freewil,147
Peter Todd,2070
Christian von Roques,292
grimd34th,21
xanatos,42
Stephane Glondu,72
Shen,39
kjj2,36
Mark Friedenbach,801
Virgil Dupras,9
Alex,19
Arnav Singh,64
Alexander Kjeldaas,142
Robert Backhaus,16
default,12
burger2,4
redshark1802,14
Mike Cassano,18
Andrey,57
Richard Schwab,33
Eric Lombrozo,4268
Mike Hearn,1487
Colin Dean,385
Ruben Dario Ponticelli,30
Andrew Poelstra,38
mb300sd,7
David Griffith,2
gladoscc,2
Roman Mindalev,44
Larry Gilbert,1
Jonas Schnelli,63032
Patrick Brown,2
Calvin Owens,6
APerson241,4
Scott Howard,229
David Serrano,6
Vinnie Falco,83250
Chuck LeDuc Díaz,6
William Yager,5
Daniel Larimer,4
super3,3240
Warren Togami,525
Micha,352
Timon Rapp,2
vhf / victor felder,23
Cory Fields,27724
Cozz Lovan,3202
Tamas Blummer,16
Vaclav Vobornik,6
theuni,17
fcicq,33
phelixbtc,6
constantined,1095
Patrick Strateman,106
Rav3nPL,2
Johnathan Corgan,200
Timothy Stranex,4
Charlie Lee,58
Josh Lehan,141
David Hill,6
phantomcircuit,8
Chuck,56
Olivier Langlois,48
Josh Triplett,35
Sergey Kazenyuk,2
Brandon Dahler,4162
Dmitry Smirnov,2
Florin,2
Julian Langschaedel,6
Ryan Niebur,2
Sined,0
Michagogo,6
Michael Bauer,11
regergregregerrge,2
Lake Denman,10
HaltingState,5
Kangmo,17
Thomas Holenstein,821
Christian Decker,1
harry,4
Christopher Latham,5
Scott Willeke,2
Noel Tiernan,36
Ashley Holman,931
gubatron,604
Calvin Tam,4
Midnight Magic,4
Subo1978,6
b6393ce9-d324-4fe1-996b-acf82dbc3d53,2
Bryan Bishop,496
Wil Bown,4
Daniel Newton,34
Drak,37
Ian Kelling,13
Haakon Nilsen,25
Pavel Janík,890
jtimon,4726
daniel,17
Torstein Husebø,18
Andreas Schildbach,42
ditto-b,9
Addy Yeow,1
Meeh,1
Mikael Wikman,6
peryaudo,6
Chris Beams,4
Isidoro Ghezzi,1
Andrea D'Amore,4
Yoichi Hirai,5
Bardi Harborow,5
Manuel Araoz,644
duanemoody,3
Alon Muroch,312
Telepatheic,2
olalonde,4
langerhans,2
Hector Jusforgues,2
Eric S. Bullington,7
rxl,64
Simon de la Rouviere,4
Ian Carroll,3
richierichrawr,7
Fabian Raetz,26
Matt Bogosian,2
shshshsh,9
Federico Bond,25
Kamil Domanski,1875
Stuart Cardall,23
Roy Badami,28261
Huang Le,94
Kosta Zertsekel,30
LongShao007,4
Tawanda Kembo,7
tm314159,1
Giuseppe Mazzotta,138
Marius Kjærstad,103
kevin,1
dllud,12
Pavel Vasin,14
Whit J,12
Tom Harding,543
Kaz Wesley,54
Trevin Hofmann,11
JaSK,1836
Daniel Kraft,993
Ross Nicoll,130
Zak Wilcox,8
Otto Allmendinger,10
elkingtowa,4
Alex Morcos,1868
Aitor Pazos,65
Doug,16
Ben Holden-Crowther,4
ntrgn,10
Derek701,2
randy-waterhouse,310
Elichai Turkel,2
Rose Toomey,25
Dominyk Tiller,24
ENikS,131
himynameismartin,10
Adam Weiss,392
Suhas Daftuar,4601
imharrywu,5
Benedict Chan,4
kiwigb,137
Eric Shaw,2
Saivann,4
sinetek,16
JL2035,2
Andy Alness,15
Luke,2
21E14,53
dexX7,235
mruddy,13
Flavien Charlon,10
Glenn Willen,8
mrbandrews,345
Heath,144
Ryan X. Charles,54
Blake Jakopovic,136
Jorge Timón,1453
BtcDrak,80
Jameson Lopp,5
Eric R. Schulz,20
Everett Forth,37
Julian Yap,2
Thomas Zander,110
fsb4000,15
Earlz,53
Daira Hopwood,226558
Shaul Kfir,14
Ivan Pustogarov,7
Jonathan Brown,2
joshr,80
Luca Venturini,445
CohibAA,18
Ruben de Vries,9
MarcoFalke,2
pitwuu@gmail.com,10
Dave Collins,29
svost,4
spin,2
David A. Harding,281
Taylor Hornby,13076
Nathan Wilcox,6704
Sean Bowe,95547
Mansour Moufid,164
Jonathan Zeppettini,37
Matthew Herman,2
Jack Grigg,773958
zkbot,80221
Simon,32495
Alfie John,60
aniemerg,18
GitHub,502916
Lars-Magnus Skog,2
Kevin Gallagher,2509
Jay Graber,26843
David Mercer,8
Joe Turgeon,25
Paige Peterson,1067
Zcash Company,16
Cameron Boehmer,5
Murilo Santana,2
Homu,590252
Eran Tromer,3
emilrus,2
kozyilmaz,103
Bjorn Hjortsberg,20
Ariel Gabizon,812
Jason Davies,135
kpcyrd,86
"Jonathan ""Duke"" Leto",51
syd,39644
Per Grön,707
jc,1
Maxwell Gubler,16
rofl0r,2
Brad Miller,170
Charlie O'Keefe,31
Eirik Ogilvie-Wigley,15749
Larry Ruane,12491
Duke Leto,81
Richard Littauer,4
mdr0id,8576
zancas,140
WO,59
avnish,216
arielgabizon,45
Gareth Davies,42
George Tankersley,60
avnish98,5206
zebambam,278
Mary Moore-Simmons,9
Ian Munoz,1
codetriage-readme-bot,1
Dimitris Apostolou,9047
Alfredo Garcia,4337
Dagur Valberg Johannsson,198
Miles Manley,2
gladcow,106
Kris Nuttycombe,374409
Ben Wilson,798
therealyingtong,6353
Danny Willems,14
moss,194
Rod Vagg,17
noname45688@gmail.com,18
elbandi,16
Nate Wilcox,142
adityapk00,15
furszy,430
Josh Ellithorpe,5
Alex Wied,99
Steven Smith,259
Technetium,7
sasha,3586
Conrado Gouvea,5
Marek,5
