sirius-m,52
s_nakamoto,490
Gavin Andresen,2204
Satoshi Nakamoto,68
laszloh,2
gavinandresen,38
Witchspace,4
David FRANCOIS,4
Marius Hanne,4
Chris,9
Chris Moore,49
Luke Dashjr,536
ojab,2
tcatm,38
devrandom,16
Daniel Folkinshteyn,6
sandos,2
Matt Giuca,12
Matt Corallo,809
Jeff Garzik,1066
Santiago M. Mola,2
Pieter Wuille,3085
Sven Slootweg,2
Eric Swanson,2
gjs278,2
Dan Loewenherz,2
Carlo Alberto Ferraris,4
Dan Helfman,2
Ricardo M. Correia,20
Jaromil,2
Khalahan,2
John Maguire,8
Amir Yalon,2
Chris Howie,4
Wladimir J. van der Laan,8224
Forrest Voight,16
Daniel Holbert,2
Danube,8
Jordan Lewis,16
Carlos Pizarro,2
Anonymous,2
Federico Faggiano,2
dabaopku,2
ariel,2
HostFat,2
Jakob Kramer,2
Michal Zima,4
Doug Huff,12
Nils Schneider,58
Dean Lee,4
Han Lin Yap,20
Shane Wegner,2
mark,2
Dylan Noblesmith,4
James Burkle,2
Giel van Schijndel,68
Vegard Nossum,12
Stéphane Gimenez,4
Dawid Spiechowicz,4
Joerie de Gram,2
Eric Hosmer,8
Jay Weisskopf,8
Patrick Varilly,2
Celil,14
Michael Bemmerl,8
Abraham Jewowich,2
JoelKatz,4
Jeroenz0r,2
Johannes Henninger,2
David Schwartz,8
Venkatesh Srinivas,8
Fabian H jr.,2
ovdeathiam,2
Misbakh-Soloviev Vadim A,2
flower,2
Janne Pulkkinen,12
Alex Waters,4
Alex B,8
cjdelisle,6
p2k,12
David Perry,4
Victor Leschuk,2
globalcitizen,8
kwaaak,2
Nick Bosma,2
Clark Gaebel,4
Ang Iong Chun,2
sje397,14
Michael Hendricks,10
Rune K. Svendsen,14
coderrr,4
Lars Rasmusson,2
Gregory Maxwell,544
fanquake,363
nomnombtc,15
Joel Kaartinen,2
Philip Kaufmann,1277
Alistair Buxton,2
Pierre Pronchery,4
graingert,2
cardpuncher,4
Dwayne C. Litzenberger,4
R E Broadley,64
Timothy Redaelli,6
freewil,14
Peter Todd,202
Christian von Roques,17
grimd34th,8
xanatos,28
Mike Hearn,22
Stefan Thomas,2
Stephane Glondu,2
osmosis,2
kjj2,8
Mark Friedenbach,30
Virgil Dupras,2
Alex,4
tucenaber,2
Arnav Singh,2
Alexander Kjeldaas,10
Robert Backhaus,10
default,2
burger2,2
redshark1802,2
Mike Cassano,2
Andrey,6
Richard Schwab,4
Colin Dean,4
Sanjay Ghemawat,2
Eric Lombrozo,70
David Grogan,2
Ruben Dario Ponticelli,10
Petter Reinholdtsen,2
Andrew Poelstra,44
mb300sd,5
David Griffith,2
Larry Gilbert,2
Roman Mindalev,10
CodeShark,1
gladoscc,3
Diederik Huys,7
Jon Lund Steffensen,3
Jonas Schnelli,738
Tariq Bashir,2
Brandon Dahler,8
Patrick Brown,2
Calvin Owens,2
APerson241,2
Scott Howard,4
David Serrano,2
Vinnie Falco,11
fcicq,10
Chuck LeDuc Díaz,2
William Yager,2
coblee,2
Daniel Larimer,4
super3,32
vhf / victor felder,2
Warren Togami,35
Micha,44
Cory Fields,987
Timon Rapp,2
Cozz Lovan,140
Tamas Blummer,4
Vaclav Vobornik,2
theuni,8
phelixbtc,4
constantined,4
Josh Lehan,6
Patrick Strateman,121
Rav3nPL,2
Johnathan Corgan,20
Timothy Stranex,2
Chuck,2
David Hill,6
Olivier Langlois,2
phantomcircuit,4
sje,2
Josh Triplett,16
HaltingState,3
Sergey Kazenyuk,2
Guillermo Céspedes Tabárez,12
Dmitry Smirnov,2
Florin,2
Julian Langschaedel,2
Michael Bauer,2
Ryan Niebur,2
Sined,2
Michagogo,7
regergregregerrge,2
Lake Denman,6
Kangmo,4
Thomas Holenstein,6
Christian Decker,5
MarcoFalke,893
harry,4
Christopher Latham,4
Scott Willeke,2
Noel Tiernan,2
Ashley Holman,12
Peter Dettman,32
gubatron,16
Calvin Tam,2
Midnight Magic,4
Subo1978,2
b6393ce9-d324-4fe1-996b-acf82dbc3d53,2
Daniel Newton,4
Bryan Bishop,4
Wil Bown,2
Drak,14
Ian Kelling,2
Haakon Nilsen,4
daniel,8
Pavel Janík,156
jtimon,140
Torstein Husebø,2
Alon Muroch,4
Andreas Schildbach,12
ditto-b,4
philsong,2
Thomas Zander,8
Addy Yeow,4
Meeh,2
Mikael Wikman,2
peryaudo,2
Isidoro Ghezzi,2
Chris Beams,4
Andrea D'Amore,2
Yoichi Hirai,4
Manuel Araoz,10
JaSK,32
Bardi Harborow,2
duanemoody,2
Telepatheic,2
olalonde,2
rxl,2
langerhans,2
Hector Jusforgues,2
Eric S. Bullington,2
Altoidnerd,4
Simon de la Rouviere,2
William Swanson,1
Ian Carroll,2
David A. Harding,8
richierichrawr,2
Fabian Raetz,4
Kamil Domanski,30
Amir Taaki,1
evoskuil,2
Mathy Vanvoorden,2
Matt Bogosian,6
Roy Badami,10
shshshsh,4
Federico Bond,10
Stuart Cardall,2
Kosta Zertsekel,5
Huang Le,8
Tawanda Kembo,2
LongShao007,4
John Driscoll,1
tm314159,2
Ross Nicoll,20
Giuseppe Mazzotta,4
Marius Kjærstad,26
kevin,3
dllud,2
Pavel Vasin,18
Whit J,10
Tom Harding,45
Kaz Wesley,25
Trevin Hofmann,4
Julian Haight,2
Lucas Betschart,1
Daniel Kraft,60
Clinton Christian,2
Zak Wilcox,15
Otto Allmendinger,12
elkingtowa,2
Aitor Pazos,2
Alex Morcos,206
Doug,2
Adam Weiss,19
pryds,2
ntrgn,6
Ben Holden-Crowther,4
Derek701,2
caktux,1
randy-waterhouse,25
Teran McKinney,2
Elichai Turkel,9
Rose Toomey,2
Dominyk Tiller,8
ENikS,26
himynameismartin,2
SergioDemianLerner,6
Benedict Chan,4
Suhas Daftuar,272
Murch,5
Janusz Lenar,2
imharrywu,6
Andy Alness,2
Alexander Jeng,2
Eric Shaw,7
Saivann,2
sinetek,14
JL2035,2
Luke,2
21E14,18
dexX7,41
Francis GASCHET,2
mruddy,17
kiwigb,5
Jorge Timón,110
Iang,1
Flavien Charlon,4
Phillip Mienk,3
mrbandrews,25
Glenn Willen,6
Heath,2
Ryan X. Charles,2
