sirius-m,26
s_nakamoto,245
Gavin Andresen,1101
Satoshi Nakamoto,34
laszloh,1
gavinandresen,19
Witchspace,2
David FRANCOIS,2
Marius Hanne,2
Chris,4
Chris Moore,31
Luke Dashjr,428
ojab,1
tcatm,19
devrandom,8
Daniel Folkinshteyn,3
sandos,1
Matt Giuca,6
Matt Corallo,648
Jeff Garzik,533
Santiago M. Mola,1
Pieter Wuille,1877
Sven Slootweg,1
Eric Swanson,1
gjs278,1
Dan Loewenherz,1
Carlo Alberto Ferraris,2
Dan Helfman,1
Ricardo M. Correia,10
Jaromil,1
Khalahan,1
John Maguire,4
Amir Yalon,1
Chris Howie,2
Wladimir J. van der Laan,6741
Forrest Voight,8
Daniel Holbert,1
Danube,4
Jordan Lewis,8
Carlos Pizarro,1
Anonymous,1
Federico Faggiano,1
dabaopku,1
ariel,1
HostFat,1
Jakob Kramer,1
Michal Zima,2
Doug Huff,6
Nils Schneider,29
Dean Lee,2
Han Lin Yap,10
Shane Wegner,1
mark,1
Dylan Noblesmith,2
James Burkle,1
Giel van Schijndel,34
Vegard Nossum,6
Stéphane Gimenez,2
Dawid Spiechowicz,2
Joerie de Gram,1
Eric Hosmer,4
Jay Weisskopf,4
Patrick Varilly,1
Celil,7
Michael Bemmerl,4
Abraham Jewowich,1
JoelKatz,2
Jeroenz0r,1
Johannes Henninger,1
David Schwartz,4
Venkatesh Srinivas,4
Fabian H jr.,1
ovdeathiam,1
Misbakh-Soloviev Vadim A,1
flower,1
Janne Pulkkinen,6
Alex Waters,2
Alex B,4
cjdelisle,3
p2k,6
David Perry,2
Victor Leschuk,1
globalcitizen,4
kwaaak,1
Nick Bosma,1
Clark Gaebel,2
Ang Iong Chun,1
sje397,7
Michael Hendricks,5
Rune K. Svendsen,7
coderrr,2
Lars Rasmusson,1
Gregory Maxwell,267
fanquake,948
nomnombtc,11
Joel Kaartinen,1
Philip Kaufmann,639
Alistair Buxton,1
Pierre Pronchery,1
graingert,1
cardpuncher,2
Dwayne C. Litzenberger,2
R E Broadley,35
Timothy Redaelli,3
freewil,7
Peter Todd,102
Christian von Roques,9
grimd34th,4
