sirius-m,26
s_nakamoto,245
Gavin Andresen,1100
Satoshi Nakamoto,26
--author=Satoshi Nakamoto,8
laszloh,1
gavinandresen,19
Witchspace,2
David FRANCOIS,2
Marius Hanne,2
Chris,4
Chris Moore,20
ojab,1
tcatm,19
devrandom,4
Daniel Folkinshteyn,3
sandos,1
Matt Giuca,6
Luke Dashjr,212
Matt Corallo,301
Jeff Garzik,520
Santiago M. Mola,1
Sven Slootweg,1
Eric Swanson,1
Pieter Wuille,1080
gjs278,1
Dan Loewenherz,1
Carlo Alberto Ferraris,2
Dan Helfman,1
Ricardo M. Correia,10
Jaromil,1
John Maguire,4
Amir Yalon,1
Wladimir J. van der Laan,2898
Forrest Voight,8
Daniel Holbert,1
mewantsbitcoins,1
Jordan Lewis,8
Carlos Pizarro,1
Blitzboom,1
Anonymous,1
Federico Faggiano,1
Wladimir van der Laan,1
m0ray,1
Danube,1
dabaopku,1
ariel,1
HostFat,1
Jakob Kramer,1
xHire,1
Doug Huff,5
Nils Schneider,29
Dean Lee,2
Han Lin Yap,10
Shane Wegner,1
mark,1
James Burkle,1
Giel van Schijndel,34
Stéphane Gimenez,2
Dawid Spiechowicz,2
Joerie de Gram,1
Eric Hosmer,4
Dylan Noblesmith,2
Jay Weisskopf,4
Patrick Varilly,1
Chris Howie,2
Celil,6
Michael Bemmerl,4
Abraham Jewowich,1
celil-kj,1
JoelKatz,2
Jeroenz0r,1
Johannes Henninger,1
Vegard Nossum,6
Venkatesh Srinivas,4
Fabian H jr.,1
Michal Zima,1
ovdeathiam,1
Dev Random,4
Misbakh-Soloviev Vadim A,1
Alex Waters,2
Alex B,4
Janne Pulkkinen,6
cjdelisle,3
p2k,6
flower,1
Khalahan,1
David Perry,2
David Joel Schwartz,4
Victor Leschuk,1
globalcitizen,4
kwaaak,1
Nick Bosma,1
Clark Gaebel,2
Ang Iong Chun,1
Michael Hendricks,5
Rune K Svendsen,1
sje397,5
coderrr,2
Lars Rasmusson,1
Gregory Maxwell,180
gmaxwell,1
Michael Ford,68
nomnombtc,10
Philip Kaufmann,623
Alistair Buxton,1
Joel Kaartinen,1
