sirius-m,26
s_nakamoto,245
Gavin Andresen,1170
laszloh,1
gavinandresen,19
Witchspace,3
David FRANCOIS,2
Marius Hanne,2
Chris,4
Chris Moore,15
ojab,1
tcatm,21
devrandom,4
sandos,1
unknown,1
Matt Giuca,6
Matt Corallo,242
Jeff Garzik,509
Santiago M. Mola,1
Pieter Wuille,942
root,1
Dan Loewenherz,1
Carlo Alberto Ferraris,2
Ricardo M. Correia,10
Jaromil,1
John Maguire,4
Amir Yalon,1
Wladimir J. van der Laan,2891
Forrest Voight,7
Luke Dashjr,217
Jordan Lewis,8
Wladimir van der Laan,1
Doug Huff,4
Nils Schneider,29
Dean Lee,2
Han Lin Yap,10
Shane Wegner,1
mark,1
James Burkle,1
Giel van Schijndel,34
Stéphane Gimenez,3
Dawid Spiechowicz,2
Joerie de Gram,1
Eric Hosmer,4
Jay Weisskopf,4
Chris Howie,2
Celil,5
Michael Bemmerl,4
Abraham Jewowich,1
Dzhelil Rufat,2
JoelKatz,1
Jeroenz0r,1
Johannes Henninger,1
Fabian H jr.,1
Michal Zima,1
ovdeathiam,1
Daniel Folkinshteyn,2
Alex Waters,2
Alex B,4
Venkatesh Srinivas,1
cjdelisle,3
p2k,3
Janne Pulkkinen,3
David Perry,2
Victor Leschuk,1
globalcitizen,4
kwaaak,1
Nick Bosma,1
Clark Gaebel,2
Ang Iong Chun,1
Michael Hendricks,5
Dylan Noblesmith,1
Rune K Svendsen,1
sje397,5
coderrr,1
Lars Rasmusson,1
Gregory Maxwell,159
gmaxwell,1
Michael Ford,59
nomnombtc,1
Philip Kaufmann,591
Alistair Buxton,1
Joel Kaartinen,1
Pierre Pronchery,1
Michael,1
graingert,1
cardpuncher,2
Dwayne C. Litzenberger,2
R E Broadley,25
Timothy Redaelli,2
freewil,7
Peter Todd,59
Fordy,4
Christian von Roques,7
grimd34th,4
fanquake,18
xanatos,12
Scott Ellis,2
Douglas Huff,1
Rune K. Svendsen,5
Stephane Glondu,1
Shen,1
kjj2,4
Mark Friedenbach,5
Virgil Dupras,1
Alex,4
Arnav Singh,1
Alexander Kjeldaas,5
Robert Backhaus,5
