ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
bitcoin,2009-11-23,0.8267463724926178,6152.0,0.74,2,0.1200902634285248
bitcoin,2010-05-27,0.5929045611929961,7994.0,0.89,3,0.6876421637360529
bitcoin,2010-08-23,1.4673863932984557,4074.0,0.54,4,0.369179619813039
bitcoin,2010-11-22,1.7699085836981592,3458.0,0.48,6,0.5649523245888298
bitcoin,2011-02-19,2.8926015946077857,2250.0,0.42,17,0.8282147042706272
bitcoin,2011-04-25,3.14096788545526,1912.0,0.37,20,0.8185792395213444
bitcoin,2011-05-20,2.904458294456646,1878.0,0.32,16,0.7593716443832095
bitcoin,2011-06-06,1.783123397654916,4538.0,0.65,10,1.0666181373190695
bitcoin,2011-06-23,2.5558655393674927,3078.0,0.53,15,0.9364592085993084
bitcoin,2011-07-05,1.9596268967504349,3820.0,0.58,9,0.8389147189042205
bitcoin,2011-07-16,3.01566443360553,1876.0,0.36,16,0.6822894225712038
bitcoin,2011-08-03,2.6454280054999897,2680.0,0.48,14,0.8053863662286209
bitcoin,2011-09-01,2.854268210523861,2310.0,0.41,19,0.9660110164799454
bitcoin,2011-09-25,2.8690458456394063,1880.0,0.32,13,0.5762783186593581
bitcoin,2011-10-20,2.84270096072976,2240.0,0.4,17,0.862803187951335
bitcoin,2011-11-26,2.490717356575434,2498.0,0.42,11,0.6714615595163881
bitcoin,2012-01-01,2.210425141109817,3186.0,0.52,10,0.7704351385949565
bitcoin,2012-02-07,2.60194790404136,2150.0,0.34,11,0.5943624191482424
bitcoin,2012-02-27,2.8907220395678537,1874.0,0.31,15,0.7043543695932573
bitcoin,2012-03-25,2.6394411807023554,1982.0,0.3,11,0.5683740601407196
bitcoin,2012-04-08,2.762117151575124,1714.0,0.25,10,0.3880313770034814
bitcoin,2012-04-19,2.5581260108475727,2120.0,0.26,11,0.6247374408623151
bitcoin,2012-05-04,2.638444148648968,1950.0,0.32,9,0.3683944546353024
bitcoin,2012-05-11,2.498330596368275,2132.0,0.35,8,0.3477307327005191
bitcoin,2012-05-16,2.9283811997449507,1614.0,0.25,11,0.3680961005904076
bitcoin,2012-05-27,3.3846720642626127,1158.0,0.17,15,0.3619743026385698
bitcoin,2012-06-17,3.214388425176288,1242.0,0.22,11,0.1698509986629033
bitcoin,2012-07-03,3.230443743861059,1250.0,0.18,14,0.3998843566004505
bitcoin,2012-07-23,2.9870456007708586,1516.0,0.23,12,0.4144444134096916
bitcoin,2012-08-18,2.953783088535469,1390.0,0.19,9,0.1498181575322116
bitcoin,2012-08-31,2.9406650327824497,1576.0,0.24,11,0.3595815963539958
bitcoin,2012-09-17,2.8716418000994595,1936.0,0.36,13,0.5744789401445102
bitcoin,2012-10-09,2.7239773464514525,1942.0,0.33,11,0.5097780551963847
bitcoin,2012-11-04,2.723026149985628,2276.0,0.42,13,0.6774914590079958
bitcoin,2012-12-03,2.8171217974431406,2024.0,0.34,16,0.8199086910481032
bitcoin,2013-01-08,3.0696044033765477,1456.0,0.23,13,0.4372617198266896
bitcoin,2013-02-01,2.6625964552596533,2494.0,0.44,14,0.793486103683125
bitcoin,2013-03-13,3.2127602261666808,1664.0,0.32,18,0.6634560653135974
bitcoin,2013-04-06,2.5880542541321887,1986.0,0.28,10,0.5086825836061466
bitcoin,2013-04-24,2.917427701206005,1772.0,0.28,15,0.6858434155237848
bitcoin,2013-05-16,3.684667394292764,1150.0,0.25,22,0.5370256377031252
bitcoin,2013-06-14,3.127468924766268,1684.0,0.29,20,0.8279360060634084
bitcoin,2013-07-21,3.250483518403788,1494.0,0.27,18,0.6373082716580072
bitcoin,2013-08-22,3.342201266027574,1402.0,0.28,19,0.6278015947555476
bitcoin,2013-09-15,3.3215935110056303,1172.0,0.2,13,0.2625961803417743
bitcoin,2013-10-08,2.74803215933676,1950.0,0.27,13,0.660158614129203
bitcoin,2013-10-22,2.4718548629807486,2304.0,0.37,9,0.4838653483077234
bitcoin,2013-11-05,2.583441288201821,2432.0,0.4,14,0.8483522845560127
bitcoin,2013-11-22,2.6595876080395517,2766.0,0.49,16,0.9291030702749968
bitcoin,2013-12-09,2.3892657451593573,3060.0,0.51,14,0.9829445147495932
bitcoin,2013-12-27,1.9200357847019769,4896.0,0.69,15,1.377182810361832
bitcoin,2014-01-16,2.0689261111331514,4392.0,0.65,14,1.2049870288964624
bitcoin,2014-01-31,2.180883915284563,3950.0,0.61,14,1.127383792607229
bitcoin,2014-02-19,2.6296523408998262,2738.0,0.47,16,0.9498526162922062
bitcoin,2014-03-07,3.2771219437443277,1976.0,0.4,25,0.9473479892106914
bitcoin,2014-03-23,2.9324957527488595,3164.0,0.55,27,1.26318570298244
bitcoin,2014-04-10,2.998147891770826,2788.0,0.51,24,1.0998960722652515
bitcoin,2014-05-02,2.309070374219855,4034.0,0.62,19,1.3439133595614496
bitcoin,2014-05-18,3.206029963421345,2196.0,0.44,23,0.9132435859929396
bitcoin,2014-06-04,3.21227820244484,2018.0,0.4,23,0.9089126367303388
bitcoin,2014-06-16,2.637390491804968,2804.0,0.49,16,0.94448893880956
bitcoin,2014-06-27,2.90057087175598,2446.0,0.46,17,0.8226908222842553
bitcoin,2014-07-07,3.150453614129433,2250.0,0.44,22,0.9073144132396102
bitcoin,2014-07-18,2.7867854111899133,2914.0,0.52,18,0.9587193073042878
bitcoin,2014-08-01,2.62470849096356,2794.0,0.49,16,0.9532794319366404
bitcoin,2014-08-14,2.8096570383941883,2442.0,0.45,16,0.8250828677364433
bitcoin,2014-08-24,2.8888408872491627,2002.0,0.38,14,0.6366654135322107
bitcoin,2014-09-04,3.193118178696767,1646.0,0.27,18,0.6770708951377927
bitcoin,2014-09-16,2.9099726823874645,2266.0,0.39,19,0.9273996188631076
bitcoin,2014-09-27,2.9333143750958355,1782.0,0.29,14,0.6058387408216223
bitcoin,2014-10-07,2.8289997778019558,2092.0,0.38,15,0.7471369813140729
bitcoin,2014-10-20,3.271657402125367,1364.0,0.27,16,0.504848618198508
bitcoin,2014-10-31,3.482717796512909,1364.0,0.3,19,0.5304029578275717
bitcoin,2014-11-10,3.6410529786265458,1256.0,0.25,24,0.6542682239435632
bitcoin,2014-11-20,3.487334291353424,1412.0,0.3,21,0.6272865060017819
bitcoin,2014-11-30,2.947133719841763,2322.0,0.43,20,0.952934844912529
bitcoin,2014-12-13,3.07166084192525,2168.0,0.43,19,0.8153259269495647
bitcoin,2014-12-24,3.0261718829382205,2354.0,0.45,20,0.8981497650055827
bitcoin,2015-01-07,2.8668551323563785,2234.0,0.43,14,0.6519047775486259
bitcoin,2015-01-23,2.778728106672261,2906.0,0.51,21,1.1184548850408715
bitcoin,2015-02-17,3.5395545404687465,1618.0,0.36,25,0.7654435747041347
bitcoin,2015-03-16,3.252912971558396,1800.0,0.37,21,0.7897749828808481
bitcoin,2015-04-06,3.4569474629050347,1564.0,0.34,22,0.6948690661018344
bitcoin,2015-04-25,3.5426293987415365,1402.0,0.31,22,0.6354788738518452
bitcoin,2015-05-10,2.553381443576757,2806.0,0.47,15,0.9381810525928974
bitcoin,2015-05-28,2.7982410708379484,2504.0,0.46,15,0.7684572923238435
bitcoin,2015-06-11,2.862061865898656,2706.0,0.49,21,1.060692324787634
bitcoin,2015-06-27,2.890492664646953,2192.0,0.4,18,0.8868349169669248
bitcoin,2015-07-13,2.8570554689975145,3088.0,0.54,23,1.1551342728901492
bitcoin,2015-08-03,3.0673978752756,2526.0,0.48,22,0.9648842644554666
bitcoin,2015-08-26,3.216045246969663,2080.0,0.42,22,0.8618497578680806
bitcoin,2015-09-17,3.065474619009881,2164.0,0.42,21,0.9196973484786524
bitcoin,2015-10-04,2.940644771397893,2622.0,0.49,19,0.9061393468436452
bitcoin,2015-10-17,3.380028330159724,1912.0,0.39,27,0.9529797587413764
bitcoin,2015-10-29,3.001285300350452,2022.0,0.39,18,0.8100393139022403
bitcoin,2015-11-11,3.113414645238345,1852.0,0.38,16,0.6145341389787796
bitcoin,2015-11-18,3.6674032340741,1010.0,0.17,19,0.4023887674915519
bitcoin,2015-11-28,2.750703710142424,2262.0,0.42,12,0.5782641285469975
bitcoin,2015-12-06,3.164735836830222,2374.0,0.46,24,0.9844261078320564
bitcoin,2015-12-29,3.1329917377971377,1534.0,0.26,15,0.5364258113305203
bitcoin,2016-01-16,2.7949175763279586,2584.0,0.47,18,0.953082519967004
bitcoin,2016-02-02,2.883775152385552,2742.0,0.48,25,1.219995208623328
bitcoin,2016-02-23,3.5783349068233656,1670.0,0.37,27,0.8155241142404785
bitcoin,2016-03-15,3.3131578188955,1916.0,0.4,22,0.794536452440762
bitcoin,2016-03-31,2.9881955711347423,2010.0,0.38,18,0.8191124228024022
bitcoin,2016-04-10,2.833897196143887,2776.0,0.5,20,1.031424422050122
bitcoin,2016-04-19,2.947139468371593,1912.0,0.31,16,0.7297873090210748
bitcoin,2016-04-30,3.0710694354005885,2450.0,0.47,21,0.9158193172716824
bitcoin,2016-05-12,3.4974107531895244,1420.0,0.3,21,0.6203020348900693
bitcoin,2016-05-27,3.2796350854299754,1628.0,0.31,19,0.6711691664351772
bitcoin,2016-06-07,2.96138361085138,1958.0,0.38,14,0.5863826291971945
bitcoin,2016-06-18,3.1696136839527305,2032.0,0.41,21,0.8475136492273669
bitcoin,2016-07-04,3.027113903157461,2020.0,0.39,19,0.8462035119590342
bitcoin,2016-07-24,3.2743176736232806,1714.0,0.36,19,0.6748549154368638
bitcoin,2016-08-14,3.205347574055255,1974.0,0.4,21,0.8227448040523629
bitcoin,2016-08-27,3.357336148611728,1556.0,0.31,21,0.7173943521212186
bitcoin,2016-09-09,4.0485654727093,870.0,0.21,26,0.4518447953006873
bitcoin,2016-09-20,2.9232959933885057,2346.0,0.43,19,0.9181646034070128
bitcoin,2016-09-29,2.311694211838149,3160.0,0.51,13,0.9626050322091784
bitcoin,2016-10-11,3.672775095076904,1272.0,0.27,24,0.6322801283646037
bitcoin,2016-10-22,3.066586784511124,2524.0,0.48,22,0.9654464697320418
bitcoin,2016-11-03,3.376145381610724,1590.0,0.32,22,0.7508768009343623
bitcoin,2016-11-11,3.5196546058237264,1192.0,0.26,18,0.4507330913246229
bitcoin,2016-11-23,3.1721203677845105,2154.0,0.43,22,0.8922961640317054
bitcoin,2016-12-03,3.2683797105981665,1354.0,0.2,16,0.5071205408393323
bitcoin,2016-12-15,3.518683390749214,1214.0,0.26,19,0.505473507585514
bitcoin,2016-12-29,3.4451332409136084,1190.0,0.22,17,0.445228951463601
bitcoin,2017-01-08,3.732368415900154,1078.0,0.23,22,0.5039618090661337
bitcoin,2017-01-15,3.5280297683406605,1072.0,0.16,19,0.4989950923095539
bitcoin,2017-01-24,3.439396066950447,1210.0,0.21,17,0.4492056574205483
bitcoin,2017-02-04,3.038812611759912,1708.0,0.29,15,0.6017058070108231
bitcoin,2017-02-13,3.279764569260945,1490.0,0.3,18,0.617012193812537
bitcoin,2017-02-21,3.2506390505036014,1664.0,0.35,18,0.6372004650215355
bitcoin,2017-03-02,2.7706890064455454,2952.0,0.52,19,1.023943706140274
bitcoin,2017-03-10,3.1107449457421343,1804.0,0.37,16,0.6163846336575206
bitcoin,2017-03-21,3.490585338987452,1174.0,0.19,19,0.5249495929434067
bitcoin,2017-03-30,3.4082123183067186,1408.0,0.29,19,0.5820462199824632
bitcoin,2017-04-09,3.1993535534827653,1834.0,0.32,20,0.77810937834297
bitcoin,2017-04-19,3.465890832942721,1170.0,0.21,17,0.4308408850734081
bitcoin,2017-04-27,3.3507284232606285,1536.0,0.3,20,0.6731843141488152
bitcoin,2017-05-06,3.628937399492996,1112.0,0.2,22,0.5756547264712049
bitcoin,2017-05-20,3.328597505327971,1706.0,0.32,22,0.7838344773213654
bitcoin,2017-06-03,3.568052193996683,1264.0,0.29,19,0.4712536608069118
bitcoin,2017-06-09,3.292986998044487,1230.0,0.21,15,0.4255255477871154
bitcoin,2017-06-20,3.690157988744843,1206.0,0.28,22,0.5332198476390682
bitcoin,2017-07-02,3.636317208892303,1066.0,0.21,21,0.5240194167581133
bitcoin,2017-07-13,3.6031986400811538,1228.0,0.26,22,0.5934954749886343
bitcoin,2017-07-21,3.449543855414644,1610.0,0.35,21,0.6534808401248791
bitcoin,2017-08-02,3.3064751181452245,1732.0,0.34,22,0.7991685476243412
bitcoin,2017-08-14,3.422230109191406,1440.0,0.24,23,0.7633850645157719
bitcoin,2017-08-24,3.787172577546023,1182.0,0.29,23,0.5104262215091823
bitcoin,2017-09-04,3.592911707102082,1356.0,0.29,24,0.6876372105693155
bitcoin,2017-09-12,3.816071035804514,1158.0,0.27,25,0.5737769455838306
bitcoin,2017-09-26,3.520033610355529,1414.0,0.26,24,0.738152457853764
bitcoin,2017-10-07,3.660915945622888,1106.0,0.23,21,0.5069688717479715
bitcoin,2017-10-20,3.904799696415424,892.0,0.19,22,0.3844415531366334
bitcoin,2017-11-07,3.055166942641871,1830.0,0.31,16,0.65490836980762
bitcoin,2017-11-17,3.53932531539744,1294.0,0.27,22,0.6377690899061407
bitcoin,2017-12-01,3.245311998663793,1412.0,0.23,17,0.5837344821450462
bitcoin,2017-12-11,3.6072000171726097,1284.0,0.29,21,0.5442019161044414
bitcoin,2017-12-26,3.793562612262154,1300.0,0.3,27,0.6663396370371955
bitcoin,2018-01-15,3.9488424094029497,966.0,0.18,29,0.6301668474332781
bitcoin,2018-01-27,3.450921074201592,1554.0,0.34,21,0.6525262248056914
bitcoin,2018-02-07,3.244383289968284,1774.0,0.35,21,0.7956873076261082
bitcoin,2018-02-18,3.748966450711765,1332.0,0.29,27,0.6972513406796439
bitcoin,2018-03-04,3.4167257851575914,2276.0,0.46,29,0.9990019852580238
bitcoin,2018-03-12,3.544667394292764,1192.0,0.25,19,0.4874627687896425
bitcoin,2018-03-22,3.762593816498464,1088.0,0.21,24,0.5700225348497504
bitcoin,2018-03-30,3.481369802773418,1516.0,0.3,24,0.7649521670690161
bitcoin,2018-04-07,3.389982567210064,1352.0,0.24,19,0.5946821205574192
bitcoin,2018-04-13,3.519921402598708,1298.0,0.28,20,0.5559086775500878
bitcoin,2018-04-21,3.4885811400782627,1422.0,0.26,23,0.7173940345293015
bitcoin,2018-04-29,3.467273333208638,1470.0,0.31,21,0.6411917025791719
bitcoin,2018-05-09,3.907392325429501,1118.0,0.22,28,0.6238065364621767
bitcoin,2018-05-21,3.803144940981576,1082.0,0.24,25,0.5827366317660008
bitcoin,2018-06-06,3.362984816671541,1634.0,0.32,21,0.7134789937816398
bitcoin,2018-06-16,3.5689196067511326,1226.0,0.22,22,0.617255890293659
bitcoin,2018-06-29,3.680134755370181,1124.0,0.24,21,0.4936474079579169
bitcoin,2018-07-12,3.920315693744057,996.0,0.2,28,0.6148487401516041
bitcoin,2018-07-19,3.636763663393641,1150.0,0.21,21,0.5237099580792615
bitcoin,2018-07-28,3.5172404186590858,1530.0,0.34,22,0.6530771738132887
bitcoin,2018-08-05,3.4751060645138216,1384.0,0.24,23,0.7267342451646261
bitcoin,2018-08-14,3.189680939794014,1996.0,0.36,24,0.9671354800439268
bitcoin,2018-08-25,3.5381244934726936,1270.0,0.23,21,0.5920814206027403
bitcoin,2018-09-03,3.0198116875441885,2008.0,0.34,19,0.8512650221232153
bitcoin,2018-09-14,3.0305001271454013,2016.0,0.33,19,0.8438563603490493
bitcoin,2018-09-27,3.838194774471631,1080.0,0.26,24,0.5176199439830189
bitcoin,2018-10-11,4.054030684749823,826.0,0.17,27,0.4857969269664846
bitcoin,2018-10-23,3.6025133850537285,1182.0,0.25,20,0.4986602777745335
bitcoin,2018-11-03,3.62815597422193,1130.0,0.2,23,0.6206481317654966
bitcoin,2018-11-13,3.976607938779528,1200.0,0.27,32,0.7093613218424003
bitcoin,2018-11-27,3.9036670887999296,1192.0,0.25,30,0.6953815452158337
bitcoin,2018-12-10,3.1235130762719217,1758.0,0.29,17,0.6681590617962117
bitcoin,2018-12-20,3.397514389778268,1810.0,0.39,22,0.7360649331716662
bitcoin,2019-01-05,3.780528040423457,1202.0,0.25,26,0.6376341857741471
bitcoin,2019-01-15,3.5904976127406405,1270.0,0.26,23,0.6467509188507592
bitcoin,2019-01-24,3.9585266373087302,940.0,0.18,27,0.5519952881823409
bitcoin,2019-02-02,3.2565585763654505,1672.0,0.3,20,0.7384578780179695
bitcoin,2019-02-12,3.300389398940704,2002.0,0.41,24,0.8903982237222628
bitcoin,2019-02-21,3.480460582123717,1466.0,0.29,23,0.7230227763800683
bitcoin,2019-03-05,3.344786786424193,1536.0,0.33,17,0.5147838134721257
bitcoin,2019-03-17,3.6758916144843785,1376.0,0.31,25,0.6709419162444071
bitcoin,2019-03-30,3.473311464403356,1380.0,0.25,22,0.6835264046005944
bitcoin,2019-04-09,3.3979344803696674,1818.0,0.39,23,0.7802255111334908
bitcoin,2019-04-21,3.384528755911544,2062.0,0.43,25,0.8728992601840534
bitcoin,2019-05-01,3.315470902788315,1564.0,0.33,18,0.5922624493999069
bitcoin,2019-05-13,3.378930038418168,1928.0,0.4,25,0.876779995429339
bitcoin,2019-05-28,3.985818847632472,1004.0,0.21,29,0.604536733527336
bitcoin,2019-06-13,3.5763002608758208,1346.0,0.3,21,0.5656199950615497
bitcoin,2019-06-25,3.65589748844512,1160.0,0.26,21,0.5104474011915026
bitcoin,2019-07-07,3.2664974117540955,1326.0,0.21,16,0.5084252509760707
bitcoin,2019-07-15,3.6987435501981927,1064.0,0.21,22,0.5272687899241555
bitcoin,2019-07-26,3.652042285790569,1092.0,0.19,21,0.5131196240419912
bitcoin,2019-08-04,3.9390434876229534,1176.0,0.29,29,0.6369589424376094
bitcoin,2019-08-17,3.159556044499916,1782.0,0.32,19,0.7544016151001904
bitcoin,2019-08-26,4.192713682281363,858.0,0.19,30,0.4950297138937224
bitcoin,2019-09-08,4.1597990627648,872.0,0.2,32,0.5823829107484023
bitcoin,2019-09-18,3.687858816908237,1080.0,0.23,21,0.4882934964803426
