ledger,snapshot_date,entropy,hhi,max_power_ratio,total_entities,theil_index
bitcoin,2009-11-23,0.8267463724926178,6152.0,0.74,2,0.12009026342852486
bitcoin,2010-05-27,0.499915958164528,8042.0,0.89,2,0.3466318436412792
bitcoin,2010-08-23,1.0648830452580982,4942.0,0.54,3,0.3604916082213703
bitcoin,2010-11-23,1.7699085836981592,3458.0,0.48,6,0.5649523245888298
bitcoin,2011-02-21,2.7323072928631618,2264.0,0.4,14,0.7451662331437806
bitcoin,2011-04-27,2.8428281449787285,2102.0,0.38,15,0.7375518875937442
bitcoin,2011-05-20,2.431580086303984,2092.0,0.29,8,0.3939986605525211
bitcoin,2011-06-08,1.7735280050047373,4484.0,0.64,10,1.073269156680907
bitcoin,2011-06-25,2.2318795029828613,3760.0,0.59,14,1.0920363447731565
bitcoin,2011-07-08,2.074661544421854,3294.0,0.52,8,0.641395741547686
bitcoin,2011-07-19,2.8102934898193976,2368.0,0.44,15,0.7601031920879248
bitcoin,2011-08-09,2.4352945522974556,2684.0,0.45,12,0.7968890970300242
bitcoin,2011-09-07,2.7586469093164117,2194.0,0.36,16,0.8604403948867034
bitcoin,2011-09-30,2.772629034234372,2274.0,0.42,13,0.643109359643337
bitcoin,2011-10-30,2.4078533904112445,3202.0,0.51,16,1.1035919334745208
bitcoin,2011-12-07,2.2803029432601236,3346.0,0.55,11,0.8173097168550705
bitcoin,2012-01-05,2.322666372337772,2766.0,0.46,10,0.6926354456267226
bitcoin,2012-02-10,2.425310383022927,2304.0,0.3,10,0.6214880390189428
bitcoin,2012-03-04,2.965914797261847,1764.0,0.29,15,0.6522347215991389
bitcoin,2012-03-29,2.271248355823358,2400.0,0.35,8,0.5051321474894637
bitcoin,2012-04-12,2.697136391676071,1892.0,0.29,11,0.5283827873224771
bitcoin,2012-04-25,2.7256389632482674,1934.0,0.33,12,0.5956376871881311
bitcoin,2012-05-08,2.4417161755601806,2310.0,0.39,8,0.3869728588626842
bitcoin,2012-05-13,2.4044127933197434,2298.0,0.31,8,0.41282959308799294
bitcoin,2012-05-19,2.7086329226788375,1986.0,0.32,11,0.5204139992716896
bitcoin,2012-06-03,3.401996190738791,1162.0,0.17,16,0.41450465435351386
bitcoin,2012-06-22,3.4710190760118618,1074.0,0.19,15,0.3021231148948014
bitcoin,2012-07-10,3.1108462688568306,1482.0,0.23,14,0.48278300920172057
bitcoin,2012-08-04,3.0024977521584733,1432.0,0.21,11,0.3167224212521511
bitcoin,2012-08-25,2.9219198893396845,1464.0,0.22,9,0.17190404421838934
bitcoin,2012-09-08,2.7567677252813976,1962.0,0.33,12,0.5740608735505451
bitcoin,2012-10-01,2.4862882789109744,2546.0,0.44,11,0.6745315622119897
