ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
bitcoin_cash,2009-10-18,0.9988455359952018,5008.0,0.52,2,0.0008002134699838
bitcoin_cash,2009-12-30,0.2422921890824148,9232.0,0.96,2,0.5252030328257723
bitcoin_cash,2010-04-14,0.0,10000.0,1.0,1,0.0
bitcoin_cash,2010-07-09,0.9461447090189016,6376.0,0.78,3,0.4427947512099481
bitcoin_cash,2010-08-08,1.2410895951011365,4624.0,0.5,4,0.5260366074532538
bitcoin_cash,2010-09-08,1.384112885884049,4296.0,0.58,3,0.1392183442408917
bitcoin_cash,2010-10-27,1.5489545060094525,3496.0,0.42,3,0.0249588400120348
bitcoin_cash,2010-12-19,1.8421122934181815,3632.0,0.54,6,0.5149045267704275
bitcoin_cash,2011-02-02,2.2874347268526205,3160.0,0.52,10,0.7170561613612433
bitcoin_cash,2011-03-08,2.600240000427044,2032.0,0.32,9,0.394875552261023
bitcoin_cash,2011-04-13,2.803408773310301,2208.0,0.4,13,0.6217744702844861
bitcoin_cash,2011-05-07,2.829733204772136,1944.0,0.34,12,0.5234850571633354
bitcoin_cash,2011-05-15,2.3911197773146973,2624.0,0.44,9,0.5398266453094124
bitcoin_cash,2011-05-25,2.8799409360150303,1728.0,0.26,12,0.4886837098100114
bitcoin_cash,2011-06-02,1.278665199122763,5704.0,0.74,5,0.7231347347820363
bitcoin_cash,2011-06-10,1.9584696678335245,3744.0,0.56,9,0.8397168488652391
bitcoin_cash,2011-06-19,1.868758439731455,4416.0,0.64,10,1.007260449346585
bitcoin_cash,2011-06-27,2.6538603736308444,2280.0,0.42,10,0.4630692574120628
bitcoin_cash,2011-07-02,2.217333439685613,2912.0,0.46,8,0.5425031196004675
bitcoin_cash,2011-07-07,1.4938747088925064,5144.0,0.7,6,0.756284426649405
bitcoin_cash,2011-07-13,2.929669372467261,1624.0,0.28,11,0.3672032072998636
bitcoin_cash,2011-07-20,2.316248683206119,3424.0,0.56,11,0.7923940285583623
bitcoin_cash,2011-07-29,2.039330832236536,3928.0,0.6,10,0.8890286764003239
bitcoin_cash,2011-08-08,2.5628088200616723,2104.0,0.36,8,0.3030378337399271
bitcoin_cash,2011-08-27,2.546499062545831,2536.0,0.42,12,0.7198080042858132
bitcoin_cash,2011-09-06,2.73998720177651,2216.0,0.4,12,0.5856922461062782
bitcoin_cash,2011-09-20,2.6637164512140084,1912.0,0.3,9,0.3508770293660864
bitcoin_cash,2011-09-30,2.6913395140012564,2048.0,0.34,10,0.4370906969345012
bitcoin_cash,2011-10-09,2.41134151147902,2736.0,0.46,10,0.6311705229452055
bitcoin_cash,2011-10-30,2.745600384445197,2040.0,0.34,11,0.4947901073758796
bitcoin_cash,2011-11-16,2.234298700727822,2832.0,0.44,8,0.530743696741597
bitcoin_cash,2011-12-07,2.474302951473625,2368.0,0.4,9,0.4821684626711252
