ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
bitcoin_cash,2010-03-29,1.077788115141535,5959.360000000001,0.752,4,0.6392285678685181
bitcoin_cash,2010-12-13,2.625003441225428,2586.559999999999,0.436,18,1.0708580236506062
bitcoin_cash,2011-05-14,2.8611272431183186,1888.960000000001,0.324,19,0.96125669737573
bitcoin_cash,2011-06-28,2.3206673972220417,3461.7599999999998,0.556,18,1.28180769449432
bitcoin_cash,2011-08-05,2.8765378627288385,2220.4799999999973,0.396,25,1.2250117155437763
bitcoin_cash,2011-10-08,2.9350561244182622,2302.3999999999987,0.412,25,1.1844499474424832
bitcoin_cash,2011-12-30,2.4225714968499035,3020.1599999999985,0.508,18,1.2111731551497684
bitcoin_cash,2012-03-11,2.6981367235544416,2006.0800000000008,0.276,15,0.8378443384052005
bitcoin_cash,2012-04-22,2.9064146002775506,1677.760000000001,0.248,17,0.8186402583355724
bitcoin_cash,2012-05-15,2.8352924163614834,1811.2,0.304,14,0.6737823851513027
bitcoin_cash,2012-06-17,3.514421734176452,1083.8400000000006,0.148,20,0.559720757210991
bitcoin_cash,2012-08-08,3.1576394853305594,1372.8000000000002,0.24,14,0.4503484231336249
bitcoin_cash,2012-09-26,2.887590698226691,1864.6400000000008,0.328,18,0.8888464068092107
bitcoin_cash,2012-11-24,3.057032038269712,1837.120000000001,0.34,23,1.0165210777210765
bitcoin_cash,2013-02-08,2.920867343919149,2049.2799999999997,0.38,21,1.0199314734962497
bitcoin_cash,2013-04-10,2.9765576294786817,1711.4400000000005,0.264,18,0.827179229248823
bitcoin_cash,2013-06-04,3.649019648263594,1178.1600000000014,0.218,30,0.8718897006604025
bitcoin_cash,2013-08-21,3.5158745675943583,1239.040000000001,0.256,25,0.7818572811377557
bitcoin_cash,2013-10-15,2.910768691354288,1866.240000000001,0.284,19,0.9268478674920552
bitcoin_cash,2013-11-23,2.6532684726388323,2934.959999999997,0.498,28,1.4930989490970068
bitcoin_cash,2014-01-07,2.217187637222028,4418.000000000002,0.654,24,1.641216470835132
bitcoin_cash,2014-02-17,2.819959099521953,3205.119999999996,0.544,37,1.6562712135162203
