ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
cardano,2019-08-27,3.4575069760785024,1270.3200000000002,0.234,20,0.5991710613188352
cardano,2020-01-23,3.466154231042713,1306.96,0.256,21,0.6419674050902411
cardano,2020-05-03,3.323141507263422,1677.28,0.324,35,1.2519218951280435
cardano,2020-07-12,3.550035818367312,1291.12,0.24,32,1.005038584411605
cardano,2020-10-17,3.2514159180191995,1669.6,0.304,30,1.1474876052594207
cardano,2021-02-27,3.7864068848884154,1168.8799999999997,0.188,45,1.1821252330571472
cardano,2021-07-17,3.5381163325645795,1341.9199999999998,0.214,40,1.2364440937037025
cardano,2022-01-10,3.854674484554265,1279.7599999999989,0.278,51,1.259968881779173
cardano,2022-06-10,3.195634539946432,1844.64,0.342,34,1.3113154531523126
cardano,2022-11-18,3.660122949003525,1289.84,0.224,36,1.0465150358515638
cardano,2023-03-13,3.197014717413192,2135.1199999999976,0.418,29,1.1512940924028705
cardano,2023-05-16,3.474499893504922,1435.2800000000002,0.296,30,0.9928575766233878
cardano,2023-10-06,4.069997338745384,760.3999999999999,0.118,29,0.5461886497486307
cardano,2024-04-12,3.96061538177203,931.5999999999996,0.158,33,0.7512181763088466
cardano,2024-10-28,3.8493928664856822,892.0799999999997,0.144,29,0.699100017714356
cardano,2025-05-08,3.887469537231711,1026.5600000000002,0.23,27,0.6012483167594936
cardano,2025-12-24,4.26693760684265,708.6399999999994,0.116,41,0.7559562948961234
