ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
cardano,2019-07-01,2.683365133563281,2444.0,0.45,12,0.6249396730457503
cardano,2019-07-28,2.973840252668841,1582.0,0.25,12,0.423597663214918
cardano,2019-08-23,2.445823472855908,2254.0,0.33,10,0.6072694486366388
cardano,2019-09-13,2.7869967389983383,1974.0,0.33,13,0.6331504255950764
cardano,2019-10-02,2.70253712841296,1944.0,0.32,11,0.5246392818803561
cardano,2019-11-04,2.741274913177295,1980.0,0.3,11,0.4977882955898192
cardano,2019-11-25,2.9219348209440303,1788.0,0.28,14,0.613726446697975
cardano,2019-12-09,2.5788675419520466,2298.0,0.34,12,0.6973718840463823
cardano,2019-12-29,2.7575599459402214,1740.0,0.26,10,0.3911901912405458
cardano,2020-01-26,2.8702467534197798,1848.0,0.33,12,0.4954032051437433
cardano,2020-02-14,2.8933119648078454,1710.0,0.31,12,0.4794156189010863
cardano,2020-03-02,3.244206571522759,1602.0,0.33,16,0.523876084034734
cardano,2020-03-16,2.8287839007457065,1952.0,0.36,12,0.5241430645727491
cardano,2020-03-30,2.397682548571087,2670.0,0.37,11,0.7359483743785374
cardano,2020-04-13,2.659878566720156,2014.0,0.3,13,0.7212620283076322
cardano,2020-04-23,2.550316879297637,2200.0,0.32,10,0.53484013857445
cardano,2020-05-03,2.766798477117628,1952.0,0.31,12,0.5671080861963654
cardano,2020-05-09,2.316303929362855,2460.0,0.33,8,0.4739020037220501
cardano,2020-05-13,2.5975008147752043,2062.0,0.3,10,0.502134726730452
cardano,2020-05-23,2.5091978073485235,2878.0,0.5,13,0.8257059718307107
cardano,2020-06-04,2.9372908008673906,1978.0,0.38,14,0.6030824925093629
cardano,2020-06-16,2.769946776795465,1944.0,0.33,13,0.6449685588246518
cardano,2020-06-27,2.586693978297381,2192.0,0.32,12,0.6919470117597818
cardano,2020-07-08,2.4819391173269776,2250.0,0.31,9,0.4768754758395855
cardano,2020-07-15,3.065231736894365,1642.0,0.3,14,0.5144005934240651
cardano,2020-07-21,2.8430918262737017,1960.0,0.35,13,0.5942682740068942
cardano,2020-07-28,2.5324882418482373,2832.0,0.49,13,0.809562272823218
cardano,2020-08-09,2.550622930757858,2386.0,0.41,11,0.6299381796720163
cardano,2020-08-24,2.1236347797363733,3468.0,0.54,10,0.8305936328807381
cardano,2020-09-09,2.1719431109749388,2944.0,0.44,9,0.6917483336273442
cardano,2020-09-27,2.534485540639236,2368.0,0.4,12,0.728135143123965
cardano,2020-10-15,2.836250485031606,2070.0,0.38,14,0.6731183025538231
cardano,2020-10-30,2.622886625491948,2086.0,0.32,12,0.6668601803998672
cardano,2020-11-14,2.06603450076041,3224.0,0.47,8,0.6473755525381834
cardano,2020-11-25,1.843923601967072,4254.0,0.62,10,1.0244746471226305
cardano,2020-12-03,2.402387190911869,2432.0,0.34,9,0.5320166693423302
cardano,2020-12-16,2.477170146890804,2730.0,0.47,12,0.7678631467033733
cardano,2021-01-20,2.803625528159168,1810.0,0.28,11,0.4545701426089554
cardano,2021-02-19,2.430229905897221,2550.0,0.44,10,0.6180780856089254
cardano,2021-03-12,2.421443978799624,2484.0,0.4,10,0.6241680262052303
cardano,2021-04-01,2.3315459092763304,2930.0,0.47,12,0.8688021764270376
cardano,2021-05-01,2.89499036849152,1930.0,0.35,15,0.7013957894341158
cardano,2021-05-24,2.260028330159724,2580.0,0.39,8,0.5129092766440217
cardano,2021-06-05,2.1500397911926923,2820.0,0.42,8,0.5891475223229277
cardano,2021-06-18,2.615904219911517,2128.0,0.36,11,0.5846886381518398
cardano,2021-07-06,2.589419670469326,2030.0,0.28,11,0.603046328926094
cardano,2021-07-25,2.885469192053509,1722.0,0.28,13,0.5648945223970632
cardano,2021-08-14,2.5385783506232245,2410.0,0.4,13,0.8053409310965319
cardano,2021-09-03,2.7251410983742037,2304.0,0.38,15,0.8191263321360986
cardano,2021-09-23,3.005457095918312,1842.0,0.36,15,0.6248260887725507
cardano,2021-10-18,2.873926673450203,2008.0,0.36,14,0.647003158777227
cardano,2021-11-19,2.953954688151879,1790.0,0.3,15,0.6605248375079025
cardano,2021-12-27,2.7444787455490194,2128.0,0.33,15,0.8057224965182113
cardano,2022-01-28,2.7845194614643995,1986.0,0.33,13,0.6348675435331906
cardano,2022-02-20,2.688656463251061,2098.0,0.35,13,0.7013147104647898
cardano,2022-03-23,2.4761675761923736,2512.0,0.4,10,0.5862365189623484
cardano,2022-04-17,1.969968874713999,3796.0,0.58,8,0.7139631703809793
cardano,2022-05-13,1.7862946510866518,3774.0,0.56,6,0.5535943681780308
cardano,2022-05-27,2.779860602836285,1966.0,0.32,13,0.6380968182558954
cardano,2022-06-09,2.3682929357115734,2240.0,0.28,8,0.437865970551323
cardano,2022-06-25,2.401274880170292,2426.0,0.35,12,0.8204697368485415
cardano,2022-07-14,2.7442330821932663,2044.0,0.3,12,0.5827492260664088
cardano,2022-08-13,2.77575254995372,1976.0,0.29,12,0.5609015958555
