ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
cardano,2019-10-16,0.2207067434158396,9457.57627833586,0.9723320158102768,4,1.2333121041906343
cardano,2020-04-11,0.0543257560367752,9876.927795723144,0.9938080495356038,2,0.6554914359312671
cardano,2020-07-20,0.0,10000.0,1.0,1,0.0
cardano,2020-12-09,0.0834783153722285,9818.3744794765,0.9908536585365854,3,1.0407495297299556
cardano,2021-06-30,0.097689506196475,9750.818497546994,0.9873817034700316,2,0.6254339747695654
cardano,2022-02-28,0.0361578675498935,9923.955480449857,0.9961832061068704,2,0.6680844566126767
cardano,2022-10-27,0.0687513242674834,9856.89146524507,0.9928057553956836,3,1.0509575020923407
cardano,2023-04-28,0.0,10000.0,1.0,1,0.0
cardano,2024-02-05,0.0,10000.0,1.0,1,0.0
cardano,2025-03-11,0.0476249421290313,9894.739788919682,0.9947089947089948,2,0.6601360861988766
