ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
ethereum_consensus,2018-02-09,2.440476392914241,2050.56,0.316,7,0.2543008180837021
ethereum_consensus,2018-05-05,2.6049069375038574,1968.64,0.324,10,0.4970011936422058
ethereum_consensus,2018-06-17,2.641296195617186,1739.52,0.228,7,0.1151031380395505
ethereum_consensus,2018-08-03,2.748079512789789,2038.72,0.344,12,0.5800830835432103
ethereum_consensus,2018-09-16,2.681829231059812,2484.48,0.44,14,0.780154959362904
ethereum_consensus,2018-10-05,2.715257521138859,2247.359999999999,0.38,15,0.8259771058306243
ethereum_consensus,2018-10-31,3.391064891314851,1311.3600000000004,0.224,20,0.645225205043286
ethereum_consensus,2018-11-26,3.4300236212962902,1301.120000000001,0.256,21,0.6670112353678863
ethereum_consensus,2018-12-12,3.843617963820219,915.84,0.204,21,0.3803294829518807
ethereum_consensus,2018-12-28,3.252779993492703,1557.7600000000004,0.316,19,0.6897836976951773
ethereum_consensus,2019-01-15,3.659060788459541,1081.2800000000004,0.228,20,0.4594646045358097
ethereum_consensus,2019-01-26,3.2208208119082866,1633.6000000000008,0.3,20,0.763229408690969
ethereum_consensus,2019-02-05,3.4005963774622816,1470.7200000000005,0.3,20,0.6386184822936477
ethereum_consensus,2019-02-13,3.113616798586718,1776.6400000000003,0.3,19,0.7862442738819749
ethereum_consensus,2019-02-20,3.6509095014966153,1335.3600000000006,0.312,25,0.6882581974263072
ethereum_consensus,2019-02-28,3.3447858780830044,1535.3600000000004,0.276,22,0.7726135523883603
ethereum_consensus,2019-03-07,3.106883885932253,1993.6000000000008,0.308,23,0.9819664100680824
ethereum_consensus,2019-03-15,3.0933603975401858,1962.24,0.364,20,0.8515782355432201
ethereum_consensus,2019-03-22,3.2637463021411337,1465.6000000000004,0.26,18,0.6281152105040905
ethereum_consensus,2019-03-28,3.277406490190577,1340.4800000000002,0.208,16,0.5008636540153165
ethereum_consensus,2019-04-03,3.336628920987988,1420.4800000000005,0.28,20,0.6829573443963951
ethereum_consensus,2019-04-14,3.2716998087570763,1388.8000000000004,0.22,20,0.7279627754755122
ethereum_consensus,2019-04-26,3.056221838990868,1765.12,0.316,17,0.7148017931939653
ethereum_consensus,2019-05-05,3.167048370991924,1514.56,0.264,16,0.5773580731897615
ethereum_consensus,2019-05-11,3.058528199791958,1681.6000000000006,0.288,17,0.7132031457073359
