ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
litecoin,2010-08-06,2.2374936514899244,3298.9599999999987,0.49,20,1.444819857502972
litecoin,2011-06-05,2.7636148066376456,2480.9599999999987,0.44,30,1.4856055702875524
litecoin,2011-09-06,3.1235499124565207,2036.24,0.306,41,1.548492251546805
litecoin,2012-02-04,2.749861752168381,2191.679999999999,0.378,24,1.2719949099028007
litecoin,2012-05-03,2.9338037278840075,1715.8400000000004,0.276,21,1.0109646554243663
litecoin,2012-07-13,3.4329411485430303,1158.7200000000005,0.19,23,0.7559607377883267
litecoin,2012-10-25,3.1074361981181995,1666.0799999999997,0.256,30,1.24728674216661
litecoin,2013-03-15,3.175029527989988,1660.8000000000002,0.296,32,1.264973137278891
litecoin,2013-07-29,3.819934434786971,1050.6399999999996,0.192,39,1.015784862733208
litecoin,2013-11-13,2.6909208687522823,2776.7999999999997,0.47,37,1.745713699358657
litecoin,2014-02-08,2.8885550162339446,3326.8799999999987,0.562,52,1.9490499531865757
litecoin,2014-05-12,3.0833621733861176,3158.7199999999984,0.55,55,1.8701093881046893
litecoin,2014-07-15,3.1808506818161755,2508.6399999999985,0.478,39,1.4587639642465835
litecoin,2014-09-11,3.174107842376643,2102.079999999999,0.4,37,1.4107940109076418
litecoin,2014-11-07,3.437261217708766,1641.9999999999998,0.324,37,1.2283899907413474
litecoin,2015-01-09,3.2144837848882584,2359.679999999999,0.456,41,1.4854616942533492
litecoin,2015-04-25,3.0713738270117967,2519.759999999999,0.474,35,1.4264339528505765
litecoin,2015-07-18,3.364782324855553,2579.2799999999997,0.49,54,1.6566946648927086
litecoin,2015-10-15,3.579805705208192,1922.72,0.408,46,1.3473091649716291
litecoin,2015-12-11,3.5399094187367948,1608.8799999999994,0.344,39,1.2098834130946403
litecoin,2016-03-09,3.46272321316117,2232.4799999999987,0.446,54,1.5888072143021337
litecoin,2016-05-17,3.5051672062404617,1672.479999999999,0.338,41,1.283975300307551
litecoin,2016-07-24,3.64000320180036,1628.2399999999998,0.35,48,1.3481430543507973
litecoin,2016-10-01,3.4817522485783847,1866.48,0.39,40,1.2755126996035782
litecoin,2016-11-25,3.6371493964533688,1427.999999999999,0.304,42,1.216589768856407
litecoin,2017-01-19,3.842593621906445,1062.72,0.242,34,0.8628775895540791
litecoin,2017-03-10,3.740502960852109,1432.08,0.326,43,1.1684810345027934
litecoin,2017-04-28,3.898053607989204,1204.5600000000004,0.288,38,0.9356612916771464
litecoin,2017-06-20,3.924400849547682,1087.0399999999995,0.22,44,1.0640022496672303
litecoin,2017-08-13,3.972741795271111,1315.1999999999998,0.312,50,1.1583282309433187
litecoin,2017-10-11,4.051639550856339,992.7199999999992,0.216,46,1.0202588651678588
litecoin,2017-12-18,4.068738584313083,1192.4,0.29,54,1.1687493684121977
litecoin,2018-02-24,3.96633352169431,1399.4399999999998,0.324,53,1.2210390158293083
litecoin,2018-04-08,3.964564093387758,1180.4799999999998,0.258,51,1.183799209243403
litecoin,2018-05-24,3.941668242435577,1226.1600000000003,0.272,49,1.15966406916373
litecoin,2018-07-21,4.108704000441424,1148.7199999999996,0.244,54,1.141047452902932
litecoin,2018-09-06,3.802115603430993,1479.7599999999998,0.282,55,1.3719074745512965
litecoin,2018-11-09,4.303634986869604,962.3199999999994,0.21,54,1.0059315892564706
litecoin,2019-01-07,3.946364017746153,1214.08,0.246,42,1.002258525919404
litecoin,2019-02-26,3.995522720804118,1328.7199999999991,0.314,52,1.1817584097928493
litecoin,2019-04-30,3.8327746436697794,1616.8799999999992,0.374,44,1.1275126959369044
litecoin,2019-07-06,4.040748425818223,1098.3199999999997,0.244,51,1.130992254016384
litecoin,2019-09-01,4.229898651851274,1067.8400000000004,0.21,54,1.0570417219792496
litecoin,2019-10-18,4.145370199107164,1065.9199999999994,0.2,57,1.1696996019462007
litecoin,2019-11-22,4.050941924590814,1061.52,0.236,50,1.104124031785943
litecoin,2020-01-20,4.210831870962066,913.6799999999992,0.168,51,1.013099393555008
litecoin,2020-03-16,3.9941957959771512,1083.679999999999,0.262,38,0.8690206051404354
litecoin,2020-04-17,3.32410703073626,1978.72,0.408,32,1.1616404865653955
litecoin,2020-05-18,3.950835568413343,1248.24,0.3,42,0.9991590831817104
litecoin,2020-06-21,3.7621760260770247,1575.1199999999997,0.358,45,1.1989207845248082
litecoin,2020-08-01,4.350954136247761,811.5999999999995,0.204,49,0.8759687058248569
litecoin,2020-09-13,4.396408299830696,836.6399999999996,0.21,50,0.8646649878101552
litecoin,2020-11-04,3.545723803402507,1454.56,0.314,34,1.0686520672434263
