ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
polkadot,2018-04-24,2.822150859134141,2467.6400000000017,0.433,34,1.5701946134925011
polkadot,2019-01-03,4.828180273999114,544.7999999999997,0.112,74,0.9574255490465424
polkadot,2019-07-18,4.818234886563645,675.2399999999998,0.163,84,1.0910708719461566
polkadot,2019-12-17,4.928004569705174,554.9599999999997,0.141,79,0.9536153791893548
polkadot,2020-04-12,5.086970130274452,470.75999999999993,0.114,84,0.9047977954509224
polkadot,2020-07-25,5.285628947147984,393.87999999999977,0.108,96,0.9006293892661855
polkadot,2020-12-07,5.073814445359481,552.6399999999988,0.159,107,1.1559286569766685
polkadot,2021-04-02,5.110637167893069,445.1599999999999,0.102,101,1.0726967730513224
polkadot,2021-07-21,5.645217826241268,320.1399999999998,0.088,118,0.8577178045597921
polkadot,2021-11-24,5.73232619677286,327.6799999999997,0.116,120,0.8141460014390298
polkadot,2022-04-09,5.782937285201736,281.0199999999998,0.08,119,0.7706968185189689
polkadot,2022-09-03,5.947228736951692,232.47999999999948,0.048,127,0.7218822552954498
polkadot,2023-01-16,5.957494883418422,271.8400000000001,0.095,132,0.7533811409445968
polkadot,2023-05-12,6.023152561542436,257.2199999999999,0.086,139,0.759542717015146
polkadot,2023-09-25,6.277338064103194,193.7599999999996,0.051,149,0.6528271253907146
polkadot,2024-03-13,6.147886960414836,232.23999999999927,0.057,162,0.826205822219602
polkadot,2024-10-01,6.277840139557161,192.31999999999928,0.049,161,0.7299371722443745
polkadot,2025-05-28,6.213745452643531,224.21999999999943,0.077,156,0.742815866032501
