ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
polkadot,2017-12-20,1.456765727118515,4520.0,0.62,4,0.3765413046313332
polkadot,2018-01-20,0.9438693987148132,6514.0,0.79,4,0.7320539485839068
polkadot,2018-02-03,1.1129125171108374,5422.0,0.69,3,0.3272001152228607
polkadot,2018-02-16,1.1090551723644957,5698.0,0.73,3,0.3298738228582353
polkadot,2018-03-19,1.317935981397251,4906.0,0.66,4,0.4727707514558812
polkadot,2018-05-16,2.085433108908948,2786.0,0.38,7,0.5003980693687143
polkadot,2018-06-30,1.765250470331717,3598.0,0.48,6,0.5681810827355079
polkadot,2018-07-19,1.814724701326183,3324.0,0.47,5,0.351566602217368
polkadot,2018-08-04,2.660620714763956,1808.0,0.28,8,0.2352397947018132
polkadot,2018-08-23,2.354687352144348,2250.0,0.33,8,0.447296642440818
polkadot,2018-09-11,1.3860431485328293,5002.0,0.66,6,0.8310275686880946
polkadot,2018-10-05,1.5643731169820183,5006.0,0.69,7,0.8615693336754536
polkadot,2018-11-01,1.892013953897755,3124.0,0.39,5,0.2979937747097972
polkadot,2018-12-04,2.1741532729664312,2550.0,0.34,7,0.4389019377934541
polkadot,2019-01-08,2.436062994287952,2338.0,0.39,9,0.5086743811791075
polkadot,2019-01-25,2.111732594800824,3162.0,0.5,10,0.8388435988113168
polkadot,2019-02-08,2.2354658727665155,2700.0,0.42,8,0.529934674733748
polkadot,2019-03-02,2.1494275943557577,2626.0,0.33,8,0.5895718648343965
polkadot,2019-03-24,2.523318396926594,2188.0,0.31,9,0.4481935448515097
polkadot,2019-04-09,2.530610529821499,2408.0,0.41,11,0.6438097189572892
polkadot,2019-04-30,2.750075875639025,1834.0,0.28,11,0.4916879332732573
polkadot,2019-05-17,2.510685704586586,2478.0,0.41,11,0.6576205553920184
polkadot,2019-06-03,2.1937929159602225,2908.0,0.43,11,0.877273898368161
polkadot,2019-06-23,2.568082569111209,2242.0,0.33,11,0.6178360805737946
polkadot,2019-07-10,2.405629790944711,2400.0,0.32,10,0.635129585929709
polkadot,2019-07-29,2.6959816630474878,2032.0,0.3,13,0.6962372688788582
polkadot,2019-08-13,2.177889599692657,2906.0,0.42,10,0.7929870573962524
polkadot,2019-08-26,1.9900650049524544,2932.0,0.36,7,0.5665022017415055
polkadot,2019-09-17,2.650173854037835,2180.0,0.38,12,0.6479461148679907
polkadot,2019-10-05,2.559545897094114,2182.0,0.3,11,0.6237532507138094
