ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
polkadot,2017-12-20,1.9182958340544891,2777.7777777777783,0.3333333333333333,4,0.0566330122651324
polkadot,2018-01-20,0.5435644431995964,7812.5,0.875,2,0.3163770193035085
polkadot,2018-02-03,0.5032583347756457,8024.691358024691,0.8888888888888888,2,0.3443150847169134
polkadot,2018-02-16,0.9182958340544896,5555.555555555557,0.6666666666666666,2,0.0566330122651324
polkadot,2018-03-19,0.7219280948873623,6800.0,0.8,2,0.1927447570217575
polkadot,2018-05-16,0.0,10000.0,1.0,1,0.0
polkadot,2018-06-30,0.0,10000.0,1.0,1,0.0
polkadot,2018-07-19,,,0.0,0,0.0
polkadot,2018-08-04,1.0,5000.0,0.5,2,0.0
polkadot,2018-08-23,1.924174352300441,2755.1020408163267,0.3571428571428571,4,0.0525583339170808
polkadot,2018-09-11,0.0,10000.0,1.0,1,0.0
polkadot,2018-10-04,,,0.0,0,0.0
polkadot,2018-10-31,0.0,10000.0,1.0,1,0.0
polkadot,2018-12-04,0.0,10000.0,1.0,1,0.0
polkadot,2019-01-08,0.0,10000.0,1.0,1,0.0
polkadot,2019-01-25,0.0,10000.0,1.0,1,0.0
polkadot,2019-02-08,,,0.0,0,0.0
polkadot,2019-03-02,,,0.0,0,0.0
polkadot,2019-03-24,,,0.0,0,0.0
polkadot,2019-04-09,0.0,10000.0,1.0,1,0.0
polkadot,2019-04-30,1.0,5000.0,0.5,2,0.0
polkadot,2019-05-17,,,0.0,0,0.0
polkadot,2019-06-03,1.0,5000.0,0.5,2,0.0
polkadot,2019-06-23,0.0,10000.0,1.0,1,0.0
polkadot,2019-07-10,1.0,5000.0,0.5,2,0.0
polkadot,2019-07-29,,,0.0,0,0.0
polkadot,2019-08-13,,,0.0,0,0.0
polkadot,2019-08-26,,,0.0,0,0.0
polkadot,2019-09-17,,,0.0,0,0.0
polkadot,2019-10-05,0.8112781244591328,6250.0,0.75,2,0.1308120359411369
polkadot,2019-10-22,0.0,10000.0,1.0,1,0.0
polkadot,2019-11-01,0.0,10000.0,1.0,1,0.0
polkadot,2019-11-13,,,0.0,0,0.0
polkadot,2019-11-27,0.0,10000.0,1.0,1,0.0
polkadot,2019-12-07,1.584962500721156,3333.333333333334,0.3333333333333333,3,0.0
polkadot,2019-12-23,,,0.0,0,0.0
polkadot,2020-01-10,0.0,10000.0,1.0,1,0.0
polkadot,2020-01-20,0.0,10000.0,1.0,1,0.0
polkadot,2020-02-01,,,0.0,0,0.0
polkadot,2020-02-13,,,0.0,0,0.0
polkadot,2020-02-26,,,0.0,0,0.0
polkadot,2020-03-09,0.0,10000.0,1.0,1,0.0
polkadot,2020-03-20,,,0.0,0,0.0
polkadot,2020-03-29,,,0.0,0,0.0
polkadot,2020-04-08,0.0,10000.0,1.0,1,0.0
polkadot,2020-04-19,,,0.0,0,0.0
polkadot,2020-04-27,,,0.0,0,0.0
polkadot,2020-05-06,0.0,10000.0,1.0,1,0.0
polkadot,2020-05-16,,,0.0,0,0.0
polkadot,2020-05-26,,,0.0,0,0.0
polkadot,2020-06-07,,,0.0,0,0.0
polkadot,2020-06-16,,,0.0,0,0.0
polkadot,2020-06-25,0.0,10000.0,1.0,1,0.0
polkadot,2020-07-06,0.9182958340544896,5555.555555555557,0.6666666666666666,2,0.0566330122651324
polkadot,2020-07-18,,,0.0,0,0.0
polkadot,2020-07-29,,,0.0,0,0.0
polkadot,2020-08-07,,,0.0,0,0.0
polkadot,2020-08-19,0.0,10000.0,1.0,1,0.0
polkadot,2020-09-07,,,0.0,0,0.0
polkadot,2020-09-19,,,0.0,0,0.0
polkadot,2020-10-04,,,0.0,0,0.0
polkadot,2020-10-21,,,0.0,0,0.0
polkadot,2020-11-02,,,0.0,0,0.0
polkadot,2020-11-18,,,0.0,0,0.0
polkadot,2020-11-30,,,0.0,0,0.0
polkadot,2020-12-13,,,0.0,0,0.0
polkadot,2020-12-31,,,0.0,0,0.0
polkadot,2021-01-13,0.0,10000.0,1.0,1,0.0
polkadot,2021-01-24,,,0.0,0,0.0
polkadot,2021-02-05,,,0.0,0,0.0
polkadot,2021-02-18,,,0.0,0,0.0
polkadot,2021-02-27,,,0.0,0,0.0
polkadot,2021-03-11,,,0.0,0,0.0
polkadot,2021-03-21,,,0.0,0,0.0
polkadot,2021-03-28,,,0.0,0,0.0
polkadot,2021-04-05,,,0.0,0,0.0
polkadot,2021-04-12,,,0.0,0,0.0
polkadot,2021-04-25,0.9182958340544896,5555.555555555557,0.6666666666666666,2,0.0566330122651324
polkadot,2021-05-06,1.0,5000.0,0.5,2,0.0
polkadot,2021-05-18,,,0.0,0,0.0
polkadot,2021-05-30,,,0.0,0,0.0
polkadot,2021-06-09,,,0.0,0,0.0
polkadot,2021-06-17,,,0.0,0,0.0
polkadot,2021-06-28,,,0.0,0,0.0
polkadot,2021-07-11,,,0.0,0,0.0
polkadot,2021-07-26,,,0.0,0,0.0
polkadot,2021-08-08,,,0.0,0,0.0
polkadot,2021-08-23,,,0.0,0,0.0
polkadot,2021-09-07,,,0.0,0,0.0
polkadot,2021-09-18,,,0.0,0,0.0
polkadot,2021-09-28,,,0.0,0,0.0
polkadot,2021-10-07,,,0.0,0,0.0
polkadot,2021-10-22,,,0.0,0,0.0
