ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
polkadot,2017-12-20,1.4591479170272448,3888.888888888889,0.5,3,0.0872080239607579
polkadot,2018-01-20,1.2987949406953985,4687.5,0.625,3,0.1983562373995727
polkadot,2018-02-03,1.224394445405986,5061.728395061729,0.6666666666666666,3,0.2499267309416925
polkadot,2018-02-16,0.9910760598382222,5061.728395061728,0.5555555555555556,2,0.0061856039626219
polkadot,2018-03-19,0.7219280948873623,6800.0,0.8,2,0.1927447570217575
polkadot,2018-05-16,0.0,10000.0,1.0,1,0.0
polkadot,2018-06-30,0.0,10000.0,1.0,1,0.0
polkadot,2018-07-19,,,0.0,0,0.0
polkadot,2018-08-04,1.0,5000.0,0.5,2,0.0
polkadot,2018-08-23,1.6105772433316423,3979.591836734694,0.5714285714285714,4,0.2699272858305539
polkadot,2018-09-11,0.0,10000.0,1.0,1,0.0
polkadot,2018-10-05,,,0.0,0,0.0
polkadot,2018-11-01,0.0,10000.0,1.0,1,0.0
polkadot,2018-12-04,0.0,10000.0,1.0,1,0.0
polkadot,2019-01-08,0.0,10000.0,1.0,1,0.0
polkadot,2019-01-25,0.0,10000.0,1.0,1,0.0
polkadot,2019-02-08,,,0.0,0,0.0
polkadot,2019-03-02,,,0.0,0,0.0
polkadot,2019-03-24,,,0.0,0,0.0
polkadot,2019-04-09,0.0,10000.0,1.0,1,0.0
polkadot,2019-04-30,0.0,10000.0,1.0,1,0.0
polkadot,2019-05-17,,,0.0,0,0.0
polkadot,2019-06-03,1.0,5000.0,0.5,2,0.0
polkadot,2019-06-23,0.0,10000.0,1.0,1,0.0
polkadot,2019-07-10,0.0,10000.0,1.0,1,0.0
polkadot,2019-07-29,,,0.0,0,0.0
polkadot,2019-08-13,,,0.0,0,0.0
polkadot,2019-08-26,,,0.0,0,0.0
polkadot,2019-09-17,,,0.0,0,0.0
polkadot,2019-10-05,0.8112781244591328,6250.0,0.75,2,0.1308120359411369
polkadot,2019-10-22,0.0,10000.0,1.0,1,0.0
polkadot,2019-11-01,0.8112781244591328,6250.0,0.75,2,0.1308120359411369
polkadot,2019-11-13,,,0.0,0,0.0
polkadot,2019-11-27,0.0,10000.0,1.0,1,0.0
polkadot,2019-12-07,0.9182958340544896,5555.555555555557,0.6666666666666666,2,0.0566330122651324
polkadot,2019-12-23,,,0.0,0,0.0
polkadot,2020-01-10,0.0,10000.0,1.0,1,0.0
polkadot,2020-01-20,0.0,10000.0,1.0,1,0.0
polkadot,2020-02-02,,,0.0,0,0.0
polkadot,2020-02-14,,,0.0,0,0.0
polkadot,2020-02-27,,,0.0,0,0.0
polkadot,2020-03-10,0.0,10000.0,1.0,1,0.0
polkadot,2020-03-21,,,0.0,0,0.0
polkadot,2020-03-31,,,0.0,0,0.0
polkadot,2020-04-10,0.0,10000.0,1.0,1,0.0
polkadot,2020-04-20,,,0.0,0,0.0
polkadot,2020-04-29,0.0,10000.0,1.0,1,0.0
polkadot,2020-05-08,0.0,10000.0,1.0,1,0.0
polkadot,2020-05-18,,,0.0,0,0.0
polkadot,2020-05-29,,,0.0,0,0.0
polkadot,2020-06-10,,,0.0,0,0.0
polkadot,2020-06-20,0.0,10000.0,1.0,1,0.0
polkadot,2020-06-30,0.9709505944546686,5200.0,0.6,2,0.0201355135506888
polkadot,2020-07-12,,,0.0,0,0.0
polkadot,2020-07-25,,,0.0,0,0.0
polkadot,2020-08-04,,,0.0,0,0.0
polkadot,2020-08-16,0.0,10000.0,1.0,1,0.0
polkadot,2020-09-04,,,0.0,0,0.0
polkadot,2020-09-19,,,0.0,0,0.0
polkadot,2020-10-06,,,0.0,0,0.0
polkadot,2020-10-24,,,0.0,0,0.0
polkadot,2020-11-08,,,0.0,0,0.0
polkadot,2020-11-25,,,0.0,0,0.0
polkadot,2020-12-06,,,0.0,0,0.0
polkadot,2020-12-24,,,0.0,0,0.0
polkadot,2021-01-10,0.0,10000.0,1.0,1,0.0
polkadot,2021-01-20,,,0.0,0,0.0
polkadot,2021-02-02,,,0.0,0,0.0
polkadot,2021-02-17,,,0.0,0,0.0
polkadot,2021-02-28,,,0.0,0,0.0
polkadot,2021-03-14,,,0.0,0,0.0
polkadot,2021-03-24,,,0.0,0,0.0
polkadot,2021-04-01,,,0.0,0,0.0
polkadot,2021-04-10,,,0.0,0,0.0
polkadot,2021-04-24,0.9182958340544896,5555.555555555557,0.6666666666666666,2,0.0566330122651324
polkadot,2021-05-08,1.0,5000.0,0.5,2,0.0
polkadot,2021-05-21,,,0.0,0,0.0
polkadot,2021-06-01,,,0.0,0,0.0
polkadot,2021-06-11,,,0.0,0,0.0
polkadot,2021-06-20,,,0.0,0,0.0
polkadot,2021-07-04,,,0.0,0,0.0
polkadot,2021-07-18,,,0.0,0,0.0
polkadot,2021-08-02,,,0.0,0,0.0
polkadot,2021-08-16,,,0.0,0,0.0
polkadot,2021-08-31,,,0.0,0,0.0
polkadot,2021-09-13,,,0.0,0,0.0
polkadot,2021-09-25,,,0.0,0,0.0
polkadot,2021-10-03,,,0.0,0,0.0
polkadot,2021-10-12,,,0.0,0,0.0
polkadot,2021-10-29,,,0.0,0,0.0
polkadot,2021-11-11,,,0.0,0,0.0
polkadot,2021-11-21,,,0.0,0,0.0
polkadot,2021-12-02,0.9182958340544896,5555.555555555557,0.6666666666666666,2,0.0566330122651324
polkadot,2021-12-12,,,0.0,0,0.0
polkadot,2021-12-22,,,0.0,0,0.0
polkadot,2022-01-07,,,0.0,0,0.0
polkadot,2022-01-21,,,0.0,0,0.0
polkadot,2022-02-06,,,0.0,0,0.0
polkadot,2022-02-18,,,0.0,0,0.0
polkadot,2022-02-28,,,0.0,0,0.0
polkadot,2022-03-13,,,0.0,0,0.0
polkadot,2022-03-24,,,0.0,0,0.0
polkadot,2022-04-06,,,0.0,0,0.0
polkadot,2022-04-18,,,0.0,0,0.0
polkadot,2022-04-30,,,0.0,0,0.0
polkadot,2022-05-11,,,0.0,0,0.0
polkadot,2022-05-21,,,0.0,0,0.0
polkadot,2022-06-04,,,0.0,0,0.0
polkadot,2022-06-18,,,0.0,0,0.0
polkadot,2022-07-07,,,0.0,0,0.0
polkadot,2022-07-27,,,0.0,0,0.0
polkadot,2022-08-08,,,0.0,0,0.0
polkadot,2022-08-22,,,0.0,0,0.0
polkadot,2022-09-06,,,0.0,0,0.0
polkadot,2022-09-19,,,0.0,0,0.0
polkadot,2022-10-01,,,0.0,0,0.0
polkadot,2022-10-13,,,0.0,0,0.0
polkadot,2022-10-28,,,0.0,0,0.0
polkadot,2022-11-11,,,0.0,0,0.0
polkadot,2022-11-26,,,0.0,0,0.0
polkadot,2022-12-09,,,0.0,0,0.0
polkadot,2022-12-20,,,0.0,0,0.0
polkadot,2023-01-07,,,0.0,0,0.0
polkadot,2023-01-21,,,0.0,0,0.0
polkadot,2023-02-03,,,0.0,0,0.0
polkadot,2023-02-17,,,0.0,0,0.0
polkadot,2023-03-01,,,0.0,0,0.0
polkadot,2023-03-12,,,0.0,0,0.0
polkadot,2023-03-21,,,0.0,0,0.0
polkadot,2023-03-31,,,0.0,0,0.0
polkadot,2023-04-13,,,0.0,0,0.0
polkadot,2023-04-25,,,0.0,0,0.0
polkadot,2023-05-07,,,0.0,0,0.0
polkadot,2023-05-17,0.0,10000.0,1.0,1,0.0
polkadot,2023-05-26,,,0.0,0,0.0
polkadot,2023-06-05,,,0.0,0,0.0
polkadot,2023-06-17,,,0.0,0,0.0
polkadot,2023-07-01,,,0.0,0,0.0
polkadot,2023-07-13,,,0.0,0,0.0
polkadot,2023-07-25,,,0.0,0,0.0
polkadot,2023-08-09,,,0.0,0,0.0
polkadot,2023-08-20,,,0.0,0,0.0
polkadot,2023-08-29,,,0.0,0,0.0
polkadot,2023-09-10,0.0,10000.0,1.0,1,0.0
polkadot,2023-09-26,,,0.0,0,0.0
polkadot,2023-10-17,,,0.0,0,0.0
polkadot,2023-11-01,,,0.0,0,0.0
polkadot,2023-11-16,,,0.0,0,0.0
polkadot,2023-11-30,,,0.0,0,0.0
polkadot,2023-12-14,,,0.0,0,0.0
polkadot,2024-01-06,,,0.0,0,0.0
polkadot,2024-01-24,,,0.0,0,0.0
