ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
solana,2018-02-28,0.2791693128779093,9226.56,0.96,4,1.1927889389997106
solana,2018-04-07,1.3377917098108707,5628.799999999999,0.728,9,1.2699380255043458
solana,2018-05-10,1.7789944573999223,4602.559999999998,0.66,11,1.164790280419845
solana,2018-05-28,2.163173950801889,2812.48,0.436,8,0.5800436166207887
solana,2018-06-23,2.8814203819743773,1600.3200000000004,0.236,11,0.4006468590248708
solana,2018-07-09,2.4077335884050592,2420.48,0.348,10,0.6336713446515997
solana,2018-07-26,2.1561588274558527,2973.44,0.444,8,0.5849061295893743
solana,2018-08-14,2.5958001759596083,2106.5599999999995,0.32,12,0.6856350765245879
solana,2018-09-02,2.249763367465507,3000.32,0.488,10,0.7431679579082819
solana,2018-09-22,2.953945462453837,1832.96,0.344,14,0.5915383607875381
solana,2018-10-16,2.508356609946194,2892.7999999999997,0.504,13,0.8262890454384301
solana,2018-11-05,2.1262726853400675,3723.84,0.58,11,0.924075355853279
solana,2018-11-24,2.537385388062124,2696.32,0.46,14,0.8802758018859949
solana,2018-12-10,2.348349533477631,3197.76,0.496,16,1.1448368641404991
solana,2019-01-01,2.392285419489243,3431.36,0.564,16,1.1143828286261472
solana,2019-01-28,2.64989762746871,2587.2,0.456,15,0.8712811318497857
solana,2019-02-15,2.565813022234049,2336.96,0.332,12,0.7064205875824769
solana,2019-02-26,2.932448176991346,1831.36,0.32,12,0.4522884637682978
solana,2019-03-06,2.715224033799013,2271.0399999999995,0.416,13,0.6828994738451489
solana,2019-03-18,2.6293812807561987,2497.6000000000004,0.388,15,0.8855019797289534
solana,2019-04-02,3.3939030057201163,1309.7600000000004,0.256,17,0.4807390445473936
solana,2019-04-22,3.210272290668127,1618.24,0.34,15,0.4828590139958802
solana,2019-05-14,3.020683580798256,1630.4000000000003,0.312,14,0.5452790222212284
solana,2019-06-08,2.4741489885159607,3105.919999999999,0.528,15,0.9931008054271314
solana,2019-07-04,3.546483784209755,1239.6800000000007,0.268,22,0.6328072174317589
solana,2019-08-01,2.927544767279667,2391.36,0.46,16,0.7433693208368585
solana,2019-08-31,3.2566254824001946,1597.7600000000011,0.332,19,0.6871182079010747
solana,2019-09-26,3.342238565697748,1672.32,0.364,19,0.627775740594332
solana,2019-10-18,3.749491939200516,1006.4,0.236,19,0.3454892129773611
solana,2019-11-08,3.697505257463327,1104.6399999999996,0.264,18,0.3274564135798843
solana,2019-11-30,3.7597399422967785,917.76,0.192,18,0.2843186172545407
solana,2019-12-29,3.5220452326018754,1104.9600000000005,0.212,17,0.3919176212736293
solana,2020-01-31,3.179604722337055,1693.7600000000002,0.348,18,0.6864377093131474
solana,2020-02-28,3.377741019038885,1449.2800000000004,0.316,20,0.6544606095455118
solana,2020-03-20,3.217999051637244,1348.1600000000003,0.22,15,0.4775032314152772
solana,2020-04-10,3.258687847652963,1370.2400000000005,0.256,16,0.5138384283141734
solana,2020-05-05,3.24023619774339,1357.1200000000006,0.232,16,0.5266281374256735
solana,2020-06-02,3.1088163818975496,1768.3200000000002,0.356,15,0.553182891111353
solana,2020-06-29,3.4456170015556307,1080.3200000000002,0.188,15,0.3197304911845121
solana,2020-08-01,3.29797645137413,1381.1200000000003,0.236,19,0.6584559003433692
solana,2020-08-28,3.5560626598276697,1215.680000000001,0.236,24,0.7131790237938967
solana,2020-09-24,3.2595501367923063,1429.1200000000003,0.272,17,0.5738653568448449
solana,2020-10-19,3.387823904896913,1410.2400000000011,0.296,23,0.7872336280162702
solana,2020-11-12,3.3865196706582616,1328.9600000000005,0.28,19,0.5970824175388727
solana,2020-12-12,3.406467867829935,1303.0400000000002,0.264,21,0.6833388394690556
solana,2021-01-17,3.60086516362025,1242.8800000000008,0.276,24,0.6821242946080437
solana,2021-02-12,4.036734222949158,824.9599999999996,0.16,35,0.7572971161823633
solana,2021-03-08,3.746838162857411,925.1199999999995,0.164,23,0.5383839073301299
solana,2021-04-04,3.82699917774052,927.3599999999994,0.156,29,0.7146221399304045
solana,2021-04-29,3.724029490640458,1397.1200000000017,0.32,33,0.915207019706959
solana,2021-05-26,4.162985564792082,999.9999999999992,0.252,43,0.8756384087461793
solana,2021-06-25,4.234189001552537,790.0799999999992,0.168,41,0.7786558983202385
solana,2021-07-25,4.268393857339826,794.2399999999999,0.18,38,0.6789609919918969
solana,2021-08-28,4.038781940650706,1007.6799999999996,0.232,39,0.8640913310711864
solana,2021-09-21,3.46439436196108,2083.1999999999966,0.428,37,1.2095827283031333
solana,2021-10-09,3.889760004910503,1066.2400000000014,0.184,32,0.7695597223411748
solana,2021-10-25,4.422753728843746,803.1999999999997,0.22,43,0.6955808382345368
solana,2021-11-27,4.660240921838186,617.9199999999994,0.148,51,0.7015927770221078
solana,2021-12-20,4.554011497513765,686.0799999999994,0.18,48,0.7146007811686502
solana,2022-01-16,4.637782086956953,595.8399999999993,0.128,48,0.6565354332822609
solana,2022-02-15,5.077889623249104,460.8000000000005,0.128,60,0.5746196866723845
solana,2022-03-11,4.608167248625829,618.8799999999995,0.132,48,0.6770628749742175
solana,2022-03-30,4.528906977527958,765.7599999999992,0.212,48,0.7320019084161237
solana,2022-04-18,4.747623352249522,646.0799999999992,0.188,55,0.7165314442601597
solana,2022-05-05,4.681333836050331,586.5599999999994,0.128,48,0.6263476611897322
solana,2022-05-26,4.910360354162674,478.4000000000004,0.128,50,0.5084205704069561
solana,2022-06-20,4.77865651875257,583.9999999999994,0.156,51,0.6195133398865798
solana,2022-07-13,4.68366447382166,694.0799999999995,0.208,47,0.6036787769917964
solana,2022-08-10,4.692368486196232,610.2399999999996,0.172,46,0.5761394101338384
solana,2022-09-04,4.518148880246339,779.1999999999996,0.216,46,0.6968992387962736
solana,2022-10-01,4.377085938143361,770.8799999999993,0.176,42,0.7037048411907163
solana,2022-10-29,4.105339498364404,1136.3200000000015,0.264,40,0.8432749555812722
solana,2022-11-30,3.921302147823307,1377.280000000002,0.328,39,0.9455221182422648
solana,2022-12-26,3.810334626388972,1710.080000000002,0.384,42,1.0965469150119231
solana,2023-01-22,4.454122489835997,825.2799999999999,0.224,45,0.719300044071857
solana,2023-02-13,4.332828272201608,911.0399999999992,0.248,41,0.710284365977345
solana,2023-03-14,4.496657210579242,684.4799999999996,0.172,42,0.6208243508258201
solana,2023-04-11,4.348236332031173,789.4399999999999,0.208,39,0.6495938921739213
solana,2023-05-10,4.472552974293781,697.5999999999998,0.156,42,0.6375321342466386
solana,2023-06-06,4.33521010859037,833.9199999999996,0.216,42,0.7327309543789807
solana,2023-07-11,4.315222631005905,789.7599999999995,0.192,41,0.7224876665340978
solana,2023-08-25,4.266964499193062,742.3999999999995,0.144,36,0.6258845262910608
solana,2023-09-30,4.503242707459897,736.9599999999997,0.176,48,0.7497910248549299
solana,2023-11-06,4.640349534548988,643.8399999999996,0.188,46,0.6121961998038107
solana,2023-12-17,4.425290600895042,735.3599999999994,0.192,40,0.6215017509451133
solana,2024-01-30,4.272786976729936,845.7599999999996,0.224,39,0.701891400076039
