ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
solana,2018-04-19,1.8048992105585613,4339.68,0.625,13,1.3138885584679985
solana,2018-07-19,2.483694932499795,2063.22,0.311,8,0.3578754018465793
solana,2018-10-15,2.5336348655538425,2034.1,0.287,10,0.5464032293670231
solana,2019-01-12,2.305504712520058,2358.7000000000003,0.344,12,0.8868525585370542
solana,2019-03-13,2.569866922844999,1945.26,0.25,12,0.7036106378037267
solana,2019-05-24,1.5270235979159752,4566.38,0.632,11,1.3394431712544088
solana,2019-09-05,1.626657188568137,4115.240000000001,0.586,9,1.069711733342648
solana,2019-12-08,1.4961579280437465,4355.640000000001,0.603,9,1.1601669278402873
solana,2020-03-28,0.7654549390046155,6800.8200000000015,0.802,5,1.0788649796173662
solana,2020-06-12,0.620676816247448,7549.579999999999,0.858,3,0.6683919034472682
solana,2020-07-04,1.3714505216437909,4420.78,0.525,6,0.8411424068731953
solana,2020-10-03,1.092297037749398,5826.899999999999,0.731,6,1.03463685717808
solana,2021-01-18,1.0594694390644257,6278.8,0.774,7,1.21154189447838
solana,2021-04-18,1.0896582853186512,6705.4400000000005,0.812,9,1.441931009093812
solana,2021-07-08,0.8674273137370894,7393.059999999999,0.856,6,1.1905046723705046
solana,2021-09-27,0.5727547196852179,8450.06,0.918,8,1.6824382225776255
solana,2021-12-15,1.123802683673432,5846.279999999999,0.731,9,1.41826391564228
solana,2022-03-11,1.3682748758266907,6164.660000000002,0.779,14,1.6906414572049788
solana,2022-05-20,0.9610135624824986,7527.299999999999,0.866,11,1.7317714314837571
solana,2022-08-19,0.7619697113501431,8116.799999999999,0.9,12,1.9567494926935736
solana,2022-12-03,0.5896847219643376,8567.12,0.925,11,1.9891569703495149
solana,2023-03-14,0.0,10000.0,1.0,1,0.0
solana,2023-06-26,0.020814071335501,9960.08,0.998,2,0.6787199656977692
solana,2023-11-01,0.0,10000.0,1.0,1,0.0
