ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
solana,2018-04-19,0.0994770508743942,9745.265348595212,0.9870967741935484,2,0.6241949432159406
solana,2018-07-19,,,0.0,0,0.0
solana,2018-10-15,1.5,3750.0,0.5,3,0.0588915178281917
solana,2019-01-12,1.0,5000.0,0.5,2,0.0
solana,2019-03-13,0.0,10000.0,1.0,1,0.0
solana,2019-05-24,0.0,10000.0,1.0,1,0.0
solana,2019-09-05,0.0,10000.0,1.0,1,0.0
solana,2019-12-08,0.0,10000.0,1.0,1,0.0
solana,2020-03-28,0.0,10000.0,1.0,1,0.0
solana,2020-06-12,1.0,5000.0,0.5,2,0.0
solana,2020-07-04,1.0,5000.0,0.5,2,0.0
solana,2020-10-03,0.0,10000.0,1.0,1,0.0
solana,2021-01-18,,,0.0,0,0.0
solana,2021-04-18,0.0,10000.0,1.0,1,0.0
solana,2021-07-08,,,0.0,0,0.0
solana,2021-09-27,,,0.0,0,0.0
solana,2021-12-15,0.0,10000.0,1.0,1,0.0
solana,2022-03-11,,,0.0,0,0.0
solana,2022-05-20,0.0,10000.0,1.0,1,0.0
solana,2022-08-19,0.0,10000.0,1.0,1,0.0
solana,2022-12-03,0.0,10000.0,1.0,1,0.0
solana,2023-03-14,,,0.0,0,0.0
solana,2023-06-26,,,0.0,0,0.0
solana,2023-11-01,,,0.0,0,0.0
