ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
xrpl,2011-11-18,0.5293608652873644,7888.0,0.88,2,0.3262221892872357
xrpl,2011-12-17,0.0807931358959111,9802.0,0.99,2,0.637145646205098
xrpl,2012-01-18,0.1414405425418206,9608.0,0.98,2,0.5951080672802133
xrpl,2012-02-27,0.8414646362081757,6058.0,0.73,2,0.1098883404313482
xrpl,2012-04-03,0.976500468757824,5162.0,0.59,2,0.0162886338249945
xrpl,2012-04-18,0.8414646362081757,6058.0,0.73,2,0.1098883404313482
xrpl,2012-04-28,0.9895875212220556,5072.0,0.56,2,0.0072173803075724
xrpl,2012-05-07,0.8112781244591328,6250.0,0.75,2,0.1308120359411369
xrpl,2012-05-15,1.2827722663572518,4458.0,0.53,3,0.2094623089420892
xrpl,2012-05-20,0.9927744539878084,5050.0,0.55,2,0.0050083668463568
xrpl,2012-05-29,0.7950402793845223,6352.0,0.76,2,0.1420672524729725
xrpl,2012-06-02,0.976500468757824,5162.0,0.59,2,0.0162886338249945
xrpl,2012-06-06,1.264680432643682,4472.0,0.5,3,0.2220026124718095
xrpl,2012-06-11,1.4560505823567045,3914.0,0.51,3,0.0893549327548935
xrpl,2012-06-18,1.3348450434671353,4498.0,0.6,3,0.1733682103044473
xrpl,2012-06-20,1.477157745954445,3794.0,0.47,3,0.074724561817502
xrpl,2012-06-25,1.2341336498322026,5058.0,0.67,3,0.2431760288527634
xrpl,2012-07-06,1.2088000218478914,4718.0,0.57,3,0.2607359616634435
xrpl,2012-07-15,1.2082987734246562,5062.0,0.66,3,0.261083400594769
xrpl,2012-07-29,0.992997266270944,5818.0,0.72,3,0.4103190332486715
xrpl,2012-08-14,1.295461844238322,4600.0,0.6,3,0.2006665638113298
xrpl,2012-08-27,1.380083751480983,4142.0,0.5,3,0.1420111273924742
xrpl,2012-09-07,1.2341336498322026,5058.0,0.67,3,0.2431760288527634
xrpl,2012-09-20,1.2597218324096138,4688.0,0.6,3,0.225439652243578
xrpl,2012-09-29,1.4541600339181775,4344.0,0.58,4,0.3783474335265515
xrpl,2012-10-05,1.6022474627065613,4176.0,0.58,5,0.4988446010997212
xrpl,2012-10-11,1.653280323963383,3544.0,0.46,4,0.2403277658894385
xrpl,2012-10-15,1.1091107110521703,5626.0,0.72,3,0.3298353263734614
xrpl,2012-10-20,1.45418298032408,4074.0,0.52,4,0.3783315282899963
xrpl,2012-10-26,1.319035274338866,5250.0,0.7,4,0.4720087796527915
xrpl,2012-11-02,1.4498932557474058,4174.0,0.56,4,0.3813049387856965
xrpl,2012-11-07,1.9437902767183983,2956.0,0.41,5,0.2621051625269064
xrpl,2012-11-15,1.6372897629771386,3324.0,0.37,4,0.2514115781526259
xrpl,2012-11-22,1.7813152774012369,3248.0,0.44,4,0.1515806989008667
xrpl,2012-11-30,1.87135714504814,3084.0,0.41,5,0.3123119835232734
xrpl,2012-12-06,1.570502909255782,3836.0,0.47,4,0.2977046975080537
xrpl,2012-12-12,1.5422375401159143,3974.0,0.5,5,0.5404403097490487
xrpl,2012-12-19,1.556668924831271,3864.0,0.48,4,0.3072936848078136
xrpl,2012-12-29,0.9988455359952018,5008.0,0.52,2,0.0008002134699838
xrpl,2013-01-05,1.234497796794641,4550.0,0.5,3,0.2429236214124402
xrpl,2013-01-10,0.4670814401590034,8504.0,0.92,3,0.7748561053300174
xrpl,2013-01-15,1.3610853753438257,4374.0,0.5,4,0.442861870698943
xrpl,2013-01-22,1.3932260200000115,4114.0,0.51,3,0.1329016010223474
xrpl,2013-01-29,1.6257016842035237,3706.0,0.47,4,0.2594438222826635
xrpl,2013-02-07,1.6855197976245524,3726.0,0.52,5,0.441124616932672
xrpl,2013-02-16,1.384112885884049,4296.0,0.58,3,0.1392183442408917
xrpl,2013-02-26,1.4465042249681637,4274.0,0.57,4,0.383654035915159
xrpl,2013-03-04,1.2687964645154586,5066.0,0.66,4,0.5068316690365738
xrpl,2013-03-08,1.3875550879901255,4646.0,0.63,4,0.4245144640079281
xrpl,2013-03-12,1.273900763434625,4862.0,0.65,3,0.2156115661802374
xrpl,2013-03-18,0.903169935075628,6006.0,0.73,3,0.4725825946039291
xrpl,2013-03-28,1.1730129571187229,5364.0,0.68,5,0.7963672884469737
xrpl,2013-04-07,0.8169382336634051,7046.0,0.83,3,0.5323538553126984
xrpl,2013-04-15,0.584238811642856,7592.0,0.86,2,0.2881836954960068
xrpl,2013-04-23,0.9899060116098556,5446.0,0.66,3,0.4124617277013975
xrpl,2013-04-29,1.3710805497395595,4956.0,0.67,4,0.435933743747335
xrpl,2013-05-08,1.4167971224196647,4930.0,0.67,5,0.6273889816034661
xrpl,2013-05-14,1.226639423162634,5628.0,0.73,4,0.5360527033910333
xrpl,2013-05-21,1.163722459577238,4718.0,0.5,3,0.2919813468578621
xrpl,2013-05-27,1.3108562983864118,4368.0,0.52,3,0.1899959413223218
xrpl,2013-06-02,1.0619584351357512,4962.0,0.55,3,0.3625187934819121
xrpl,2013-06-12,1.1238561897747248,5136.0,0.64,3,0.3196145393709164
xrpl,2013-06-20,1.2320147574921705,4814.0,0.58,5,0.7554703568701576
xrpl,2013-06-27,1.1047467837422096,5706.0,0.73,3,0.3328601702845295
xrpl,2013-07-02,1.376264524955641,4352.0,0.47,5,0.6554840372564252
xrpl,2013-07-08,0.9647995485050872,5242.0,0.61,2,0.0243990937081359
xrpl,2013-07-12,1.3825426691977454,4428.0,0.47,6,0.8334539160698166
xrpl,2013-07-19,0.9149263727797274,5578.0,0.67,2,0.0589685448477397
xrpl,2013-07-25,1.7345475981344394,3546.0,0.49,5,0.4071411352401887
xrpl,2013-07-29,1.163638200632501,5776.0,0.74,4,0.5797218231596245
xrpl,2013-08-03,0.9990509514005944,6826.0,0.82,5,0.9169485622350472
xrpl,2013-08-10,0.944320214348631,5958.0,0.73,3,0.4440593945465929
xrpl,2013-08-15,0.92481870497303,5512.0,0.66,2,0.0521117026787897
xrpl,2013-08-19,1.361749310227125,4572.0,0.61,4,0.4424016661065086
xrpl,2013-08-27,0.8373555973394452,6414.0,0.77,3,0.5182016172461844
xrpl,2013-09-05,0.8172685007309206,7472.0,0.86,5,1.042950555392009
xrpl,2013-09-10,0.4689955935892812,8200.0,0.9,2,0.3680642071684971
xrpl,2013-09-17,0.4073407454009861,8686.0,0.93,3,0.8162651994662293
xrpl,2013-09-23,1.3865467430799523,4946.0,0.67,5,0.6483569467536563
xrpl,2013-09-29,1.0642093056921067,5830.0,0.73,4,0.64864068135375
xrpl,2013-10-05,0.7419805038422989,7638.0,0.87,4,0.8719926668511535
xrpl,2013-10-22,2.0975651570255742,3352.0,0.53,8,0.6255201670467802
xrpl,2013-11-14,1.348446731262949,4602.0,0.59,4,0.4516223112097033
xrpl,2013-12-17,2.014924366188219,3380.0,0.5,9,0.8005854338713209
