ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
zcash,2010-03-29,1.192924706775233,5884.4800000000005,0.752,5,0.7825655153125479
zcash,2010-12-13,2.843612142171385,2364.7999999999984,0.412,22,1.120000714406194
zcash,2011-05-12,3.256504895445655,1711.360000000002,0.316,32,1.2084987160419127
zcash,2011-06-25,2.421828999093337,3412.799999999999,0.556,20,1.3170483310341308
zcash,2011-08-01,3.2186803442634684,1920.6400000000012,0.384,29,1.1362766242365383
zcash,2011-10-01,3.088043308048509,1967.680000000001,0.368,24,1.0375853179271164
zcash,2011-12-24,2.4996559938966967,2830.0799999999986,0.484,18,1.1577422533569022
zcash,2012-03-06,2.89903494898387,1821.1200000000003,0.26,17,0.8237554428233027
zcash,2012-04-17,2.8724536508410634,1719.0400000000009,0.24,17,0.8421801946866122
zcash,2012-05-12,2.843011172038025,1778.8800000000003,0.312,12,0.5142814715894178
zcash,2012-06-11,3.5032000048639955,1078.0800000000004,0.148,19,0.5162057728573761
zcash,2012-07-30,3.2085681774347057,1295.6800000000007,0.212,17,0.6092033582329879
zcash,2012-09-13,2.969086088302154,1785.6000000000006,0.324,17,0.7751996931098221
zcash,2012-11-12,3.105997573745448,1847.0400000000016,0.352,26,1.1051830769537956
zcash,2013-01-28,3.037289806817384,1951.360000000001,0.376,22,0.985753587219385
zcash,2013-04-11,3.071488862541372,1599.6800000000007,0.256,21,0.9155285925315988
zcash,2013-06-09,3.895364460230722,1018.2399999999996,0.176,33,0.7964466686041429
zcash,2013-08-28,3.561418809060733,1235.840000000001,0.256,26,0.7895091317278792
zcash,2013-10-19,2.799842607339387,1992.000000000001,0.292,19,1.0037359698775397
zcash,2013-11-27,2.7372314126437742,2960.959999999998,0.512,28,1.4349002739610577
zcash,2014-01-11,2.100389486498901,4615.04,0.668,22,1.6351634027138524
zcash,2014-02-24,3.189953313714822,2494.3999999999965,0.468,39,1.452454500610364
zcash,2014-04-07,3.1145086677132854,3198.399999999996,0.556,45,1.6478495879153456
zcash,2014-05-23,3.3336256203929806,2256.639999999996,0.448,37,1.300224712826434
zcash,2014-06-25,2.9608917273208872,2679.999999999998,0.492,26,1.2057627852857435
zcash,2014-07-23,3.254336501618048,2372.479999999998,0.464,33,1.2407733907766154
zcash,2014-08-23,3.15253879977229,1896.3200000000013,0.376,25,1.0337024442002052
zcash,2014-09-19,3.1634183204847264,1824.9600000000016,0.336,27,1.1031223762286655
zcash,2014-10-17,3.254365787080554,1604.1600000000003,0.328,21,0.7887679678977906
zcash,2014-11-14,3.822497937632512,1269.120000000002,0.276,37,0.9613642444780458
zcash,2014-12-10,3.156893058172592,2385.9199999999973,0.46,31,1.245795681883554
zcash,2015-01-13,3.183052398886973,2295.9999999999973,0.448,32,1.2594121069366522
zcash,2015-03-13,3.5454160149547227,1750.0800000000024,0.372,38,1.180091045048446
zcash,2015-05-03,3.256504930464766,2012.4800000000016,0.392,28,1.0749672991439911
zcash,2015-06-27,3.890963569865147,1434.240000000002,0.324,43,1.064189687580077
zcash,2015-10-10,4.361563072915899,805.4399999999994,0.208,42,0.7144644714573436
zcash,2016-02-04,4.065779307417236,1025.6000000000004,0.252,39,0.8453781824144232
zcash,2016-05-06,3.793438877136504,1144.0000000000011,0.26,30,0.7717859193485034
zcash,2016-06-28,3.24072199339593,1476.8000000000006,0.26,21,0.7982251250224301
zcash,2016-08-18,2.897074879348604,2024.6400000000008,0.296,20,0.9876329890624632
zcash,2016-09-21,3.1044192106615407,1804.480000000001,0.284,22,0.9392230302121384
zcash,2016-10-19,3.087228006119021,1529.920000000001,0.228,21,0.9046190495363235
zcash,2016-11-17,3.5907369133430747,1480.320000000002,0.296,35,1.06643889387314
zcash,2017-01-27,3.513350770740923,1379.2000000000012,0.228,28,0.8969353291180233
zcash,2017-04-03,3.616847394281814,1256.6400000000012,0.236,29,0.860288256124451
zcash,2017-07-13,3.678752564031596,1355.200000000002,0.26,35,1.0054310937532436
zcash,2017-11-08,2.895585953205581,2337.5999999999985,0.408,24,1.170986590814516
zcash,2018-02-25,3.236333875910647,1943.360000000002,0.332,31,1.1907315030470444
zcash,2018-04-27,2.848220282225828,2005.7600000000011,0.316,22,1.1168065951198314
zcash,2018-07-04,3.5862029685637737,1224.3200000000015,0.196,29,0.8815293534107889
zcash,2018-09-02,2.964743253733438,1780.480000000001,0.284,18,0.8353683304867141
zcash,2018-12-09,3.81213751448175,1169.280000000001,0.24,35,0.912975691419592
zcash,2019-04-29,3.3879621343245345,1529.600000000002,0.248,30,1.052840980411251
zcash,2019-08-15,3.062228680033118,1642.880000000001,0.284,21,0.9219472619286656
zcash,2019-10-12,2.8534027885610103,2027.5200000000004,0.344,18,0.9125436600032152
zcash,2019-11-27,3.2630654749671444,1381.1200000000006,0.228,20,0.7339476395980169
