ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
zcash,2010-08-06,2.2374936514899244,3298.9599999999987,0.49,20,1.444819857502972
zcash,2011-06-05,2.7636148066376456,2480.9599999999987,0.44,30,1.4856055702875524
zcash,2011-09-06,3.1235499124565207,2036.24,0.306,41,1.548492251546805
zcash,2012-02-04,2.749861752168381,2191.679999999999,0.378,24,1.2719949099028007
zcash,2012-05-03,2.9338037278840075,1715.8400000000004,0.276,21,1.0109646554243663
zcash,2012-07-13,3.4329411485430303,1158.7200000000005,0.19,23,0.7559607377883267
zcash,2012-10-25,3.1074361981181995,1666.0799999999997,0.256,30,1.24728674216661
zcash,2013-03-15,3.175029527989988,1660.8000000000002,0.296,32,1.264973137278891
zcash,2013-07-29,3.819934434786971,1050.6399999999996,0.192,39,1.015784862733208
zcash,2013-11-13,2.6909208687522823,2776.7999999999997,0.47,37,1.745713699358657
zcash,2014-02-08,2.8885550162339446,3326.8799999999987,0.562,52,1.9490499531865757
zcash,2014-05-12,3.0833621733861176,3158.7199999999984,0.55,55,1.8701093881046893
zcash,2014-07-15,3.1808506818161755,2508.6399999999985,0.478,39,1.4587639642465835
zcash,2014-09-11,3.174107842376643,2102.079999999999,0.4,37,1.4107940109076418
zcash,2014-11-07,3.437261217708766,1641.9999999999998,0.324,37,1.2283899907413474
zcash,2015-01-09,3.2144837848882584,2359.679999999999,0.456,41,1.4854616942533492
zcash,2015-04-27,2.7403974374388533,3151.7599999999998,0.542,31,1.534488447110705
zcash,2016-03-16,3.0959164195822644,1697.9199999999998,0.334,21,0.8985967002407359
zcash,2016-08-27,2.5434393158664013,2133.44,0.304,11,0.6349174820802584
zcash,2016-10-31,2.6776520603482323,2087.92,0.354,14,0.7830503534643528
zcash,2017-02-26,1.9214532939916205,3851.52,0.58,10,0.9707351596861342
zcash,2017-09-10,2.517515449640087,2728.6399999999994,0.44,18,1.1453630219620363
zcash,2018-03-30,2.3194010763462938,3041.36,0.488,16,1.164902405582646
zcash,2018-08-04,2.6544869556262958,2145.0399999999995,0.318,19,1.1044888300409206
zcash,2019-03-01,3.203484215499228,1609.84,0.268,25,0.9983897729266222
zcash,2019-09-27,2.950971561213444,1644.2400000000002,0.278,13,0.5194917398938584
zcash,2020-01-02,2.6589031773566987,2348.4,0.346,18,1.047360517129489
zcash,2020-03-10,3.0320467226092083,1631.9999999999998,0.29,15,0.6063955639996145
zcash,2020-05-27,3.2485694791020485,1504.56,0.314,19,0.6927022038737655
zcash,2020-07-24,3.189469255074262,1307.7600000000002,0.218,15,0.4972785794648562
zcash,2020-09-03,2.835646287992798,1816.8,0.268,18,0.9248515283086816
zcash,2020-10-20,2.8670139694139363,1814.88,0.288,15,0.7207875515769627
zcash,2020-11-25,2.7664933307813597,1797.9999999999995,0.27,14,0.7214702773462666
zcash,2021-02-01,3.016736612569852,1560.9600000000005,0.264,17,0.7421708665614634
zcash,2021-04-09,2.4150456485659046,2478.800000000001,0.412,10,0.6286030107670241
zcash,2021-06-28,2.2503096059027627,2639.12,0.398,8,0.5196457829613743
zcash,2021-09-28,1.9863301716690096,3464.7200000000003,0.522,13,1.188130199308011
zcash,2022-01-08,1.8319358352697404,3976.6399999999994,0.568,16,1.5027875630558332
zcash,2022-03-11,2.2421939703308364,2969.52,0.472,13,1.0107789286582074
zcash,2022-04-19,2.071852542631147,3461.52,0.532,16,1.336489973779048
zcash,2022-06-25,1.7478561867569935,3917.84,0.54,11,1.1863736849235034
zcash,2022-09-24,1.377354599621773,5673.839999999999,0.738,11,1.4431858154392665
zcash,2022-12-25,1.8120872671458108,3968.48,0.592,8,0.8233983615291408
zcash,2023-03-14,1.928490514997179,3687.440000000001,0.562,11,1.0611675095914794
zcash,2023-05-10,2.129835225192088,3194.0,0.518,9,0.7209352959370672
zcash,2023-08-06,0.9575828591295888,6757.680000000001,0.812,6,1.1280136102698493
zcash,2024-02-22,1.2950351525403132,5657.6,0.732,8,1.181791576970499
zcash,2024-11-07,1.5904749869227788,4464.0,0.634,7,0.8434768961186736
zcash,2025-10-14,1.162100905866572,5975.839999999998,0.756,7,1.1404031826277408
