ledger,date,clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2011-01-01,True,False,absolute,100,False,False,177.03285200001022,6.257290662170766,0.3823832533268463,100,12,23,38,0.0581649166909535,0.2679468055603516
bitcoin,2011-02-01,True,False,absolute,100,False,False,379.0474831848532,5.84039511390692,0.4696532621887824,100,5,15,31,0.1427529160980413,0.5569167794274288
bitcoin,2011-03-01,True,False,absolute,100,False,False,360.0849290664255,5.86612295508788,0.4710848160625557,100,6,15,31,0.1380002310344668,0.5390835988509538
bitcoin,2011-04-01,True,False,absolute,100,False,False,351.05695687606845,5.919402530964458,0.4504865514638709,100,7,16,33,0.1479383148615884,0.5021530110506727
bitcoin,2011-05-01,True,False,absolute,100,False,False,312.92918123785165,5.918437055808491,0.4633995093894468,100,6,15,32,0.1126725869533937,0.502822227432933
bitcoin,2011-06-01,True,False,absolute,100,False,False,398.77758730585987,5.784453686733626,0.4875447612084582,100,5,13,28,0.1524600352035506,0.5956924219490974
bitcoin,2011-07-01,True,False,absolute,100,False,False,583.2106124271203,5.566109528473255,0.5207647249463538,100,4,11,25,0.2104568740629334,0.7470370596390077
bitcoin,2011-08-01,True,False,absolute,100,False,False,508.80000353245225,5.661415576689963,0.5039615048464118,100,5,12,26,0.192114868920297,0.6809759410272883
bitcoin,2011-09-01,True,False,absolute,100,False,False,181.54930965573155,6.185960895122964,0.411176937523749,100,12,19,31,0.050550010808333,0.3173888324795321
bitcoin,2011-10-01,True,False,absolute,100,False,False,195.3996154166402,6.123008581247596,0.4456382884922587,100,11,19,30,0.046992582839887,0.3610240513519657
bitcoin,2011-11-01,True,False,absolute,100,False,False,196.6695244287673,6.119819265848682,0.4453085454141744,100,11,18,30,0.0466047284708742,0.3632347163286493
bitcoin,2011-12-01,True,False,absolute,100,False,False,524.3128452942382,5.6679902417189645,0.5081454976932229,100,5,13,26,0.2007097603583524,0.676418730499305
bitcoin,2012-01-01,True,False,absolute,100,False,False,199.00554914551856,6.165656872094783,0.4126848781829424,100,10,19,34,0.0573506904051432,0.3314625087955452
bitcoin,2012-02-01,True,False,absolute,100,False,False,198.72448509413783,6.156523082576113,0.4198364771851041,100,10,19,33,0.0543409640804576,0.3377935692482413
bitcoin,2012-03-01,True,False,absolute,100,False,False,234.7085226691581,6.049626922237352,0.4493380149725383,100,8,16,30,0.0766489213070989,0.4118883413997379
bitcoin,2012-04-01,True,False,absolute,100,False,False,283.5636469838013,5.952763636293108,0.470994531721244,100,7,16,28,0.1092832435024846,0.4790288549517505
bitcoin,2012-05-01,True,False,absolute,100,False,False,354.7110442209428,5.875948500088755,0.4719639323255525,100,7,15,28,0.1459627475304646,0.5322730500361252
bitcoin,2012-06-01,True,False,absolute,100,False,False,469.3105556378355,5.760976458001726,0.4814184325959504,100,6,15,29,0.1872988948664375,0.6119655968519777
bitcoin,2012-07-01,True,False,absolute,100,False,False,523.4657634569757,5.687721763267229,0.4960895411607829,100,6,14,27,0.2020028683924325,0.6627418819699707
bitcoin,2012-08-01,True,False,absolute,100,False,False,503.9528591360251,5.710027272055861,0.4976247861007623,100,6,15,27,0.1970411553324918,0.6472808814421751
bitcoin,2012-09-01,True,False,absolute,100,False,False,233.2724454499194,6.069306193656769,0.4447517874973613,100,9,18,32,0.0733659799344363,0.3982477098998928
bitcoin,2012-10-01,True,False,absolute,100,False,False,171.13726322107908,6.267073294854763,0.3767467952114388,100,12,22,36,0.0552367546634844,0.2611660012969813
bitcoin,2012-11-01,True,False,absolute,100,False,False,163.5926400151654,6.298793594123176,0.362972731507561,100,13,23,38,0.0523157626843401,0.2391791652925635
bitcoin,2012-12-01,True,False,absolute,100,False,False,165.62542770103738,6.281002984660589,0.375949730506116,100,13,23,36,0.0527524688622798,0.2515106760820055
