ledger,date,clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2011-01-01,True,False,absolute,0,False,True,17.442674645289976,13.229049209187965,0.5425082333226439,65621,126,4587,20652,0.0179266799507083,1.9219728848254372
bitcoin,2011-02-01,True,False,absolute,0,False,True,42.35992342520889,12.895571208508988,0.578921375468842,69029,99,2494,19385,0.0473619401245124,2.203753160267047
bitcoin,2011-03-01,True,False,absolute,0,False,True,39.0070313980797,12.880691421781917,0.6392786885923873,78812,105,1163,18268,0.0449899224193417,2.34660560582979
bitcoin,2011-04-01,True,False,absolute,0,False,True,30.81070191454151,13.023190975381524,0.6842317046826181,89191,146,956,17490,0.0430894160684824,2.371547310132602
bitcoin,2011-05-01,True,False,absolute,0,False,True,27.88598035419673,13.004789618154692,0.7215453463981772,99088,144,887,16327,0.033023463334165,2.489530365555406
bitcoin,2011-06-01,True,False,absolute,0,False,True,37.95662717573472,12.89031401563221,0.7997151596692297,132153,131,806,14198,0.0464552465743059,2.8568308047656745
bitcoin,2011-07-01,True,False,absolute,0,False,True,53.62565069671826,12.89035960907776,0.864840035985376,196975,139,805,12989,0.063262641123109,3.2559156766822626
bitcoin,2011-08-01,True,False,absolute,0,False,True,43.14425691553307,13.03875585631332,0.927811020667672,380056,156,902,12813,0.0553223917654561,3.810297029430196
bitcoin,2011-09-01,True,False,absolute,0,False,True,16.19403786684001,13.167971315898733,0.8744293593379191,218353,152,837,12048,0.0146289357826252,3.166526106950133
bitcoin,2011-10-01,True,False,absolute,0,False,True,18.804872154354342,13.097136410277209,0.9487411683534442,533670,136,807,11326,0.0142310172896352,4.109289773223821
bitcoin,2011-11-01,True,False,absolute,0,False,True,18.33331898025873,13.135835391112728,0.949432993958813,546269,143,841,11001,0.0138784254248061,4.10579954174346
bitcoin,2011-12-01,True,False,absolute,0,False,True,45.55227172282733,13.040346635596896,0.9509413034245772,553224,156,917,9748,0.0586038517134674,4.184638757899095
bitcoin,2012-01-01,True,False,absolute,0,False,True,11.438465126462644,13.640048117624453,0.9493952403135424,567963,287,1652,10471,0.0131914090534202,3.795250659316846
bitcoin,2012-02-01,True,False,absolute,0,False,True,11.93914568247945,13.621247698503346,0.9500082518940232,580232,273,1627,10026,0.0128116430697929,3.829653864615529
bitcoin,2012-03-01,True,False,absolute,0,False,True,13.25606827293228,13.674282287176368,0.9500836776695942,597620,298,1749,10293,0.017617903929728,3.822420165887909
bitcoin,2012-04-01,True,False,absolute,0,False,True,15.890908600641035,13.700679793781774,0.9500516974457524,621472,307,1821,10858,0.0251996902502279,3.8432585657956913
bitcoin,2012-05-01,True,False,absolute,0,False,True,20.939045070553785,13.57946875723612,0.9527812207628116,643077,274,1537,9804,0.0347153014994113,3.9614492645892585
bitcoin,2012-06-01,True,False,absolute,0,False,True,31.19005779397684,13.354793782374792,0.9573579053665,670444,227,1216,8125,0.0475591364746639,4.158857801303448
bitcoin,2012-07-01,True,False,absolute,0,False,True,33.45728755559662,13.36184492522196,0.9176608603261776,345234,243,1245,7734,0.0503658678775361,3.4902525899855688
bitcoin,2012-08-01,True,False,absolute,0,False,True,31.688883813096055,13.354874459119603,0.9637744213556552,766986,254,1220,7057,0.0486957031563865,4.293330249110762
bitcoin,2012-09-01,True,False,absolute,0,False,True,11.961100268683822,13.735400728946331,0.9639808330340232,828294,348,1759,8249,0.0160047025934816,4.106469153746392
bitcoin,2012-10-01,True,False,absolute,0,False,True,7.052925142331283,14.035195385903714,0.9643374088246188,902391,454,2277,9638,0.0104923966721448,3.9843470758960433
bitcoin,2012-11-01,True,False,absolute,0,False,True,7.233646931787208,13.948478184334572,0.9293862629502928,447187,401,2015,9126,0.0102576182688949,3.342383804087753
bitcoin,2012-12-01,True,False,absolute,0,False,True,7.544184992679225,13.977026456935898,0.967610155680679,1017973,402,2056,9565,0.0105732606259336,4.145187471988092
bitcoin,2013-01-01,True,False,absolute,0,False,True,7.1941737254874205,13.967958075424976,0.9709903682530364,1080114,426,2089,8487,0.0104683400559855,4.210726390728822
bitcoin,2013-02-01,True,False,absolute,0,False,True,6.993125465440736,13.966121540565869,0.9728656647251992,1161259,419,1992,8424,0.0103599143707953,4.2844375500225365
bitcoin,2013-03-01,True,False,absolute,0,False,True,6.889525829664254,13.949308706128509,0.9752580425200256,1251647,424,1944,8008,0.0102486376957242,4.371046841572629
bitcoin,2013-04-01,True,False,absolute,0,False,True,7.32879881421429,13.94978743872418,0.9758141852580332,1339010,400,1878,8370,0.0101239046177309,4.438185260448712
bitcoin,2013-05-01,True,False,absolute,0,False,True,7.777652413377498,14.035547165530112,0.9775177568588156,1592512,405,1978,9487,0.0100106419995581,4.552123256242576
bitcoin,2013-06-01,True,False,absolute,0,False,True,7.714532500620424,14.00514914463739,0.9790787133380382,1700663,398,1868,8578,0.0098996674925696,4.638899090078125
