ledger,date,no_clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2011-01-01,False,False,absolute,100,False,False,176.35380519036323,6.261294635778629,0.379730986260874,100,12,23,38,0.0580149470705987,0.2651714625430265
bitcoin,2011-02-01,False,False,absolute,100,False,False,377.2741244251497,5.845739646727804,0.4669529686238705,100,5,15,32,0.1423748930600822,0.5532122315712235
bitcoin,2011-03-01,False,False,absolute,100,False,False,357.9131487484906,5.872585049204819,0.4683773330493783,100,6,15,31,0.1375182505971097,0.5346044165332828
bitcoin,2011-04-01,False,False,absolute,100,False,False,348.80959496667725,5.925803841974479,0.4477893803461963,100,7,16,33,0.1473813700723711,0.4977159603721919
bitcoin,2011-05-01,False,False,absolute,100,False,False,312.0173819635972,5.921772735194249,0.4615698812413004,100,6,15,32,0.1124826729581525,0.5005101106714441
bitcoin,2011-06-01,False,False,absolute,100,False,False,397.7866226801528,5.787509259627648,0.4858960221137081,100,5,13,29,0.1522497680448947,0.5935744602126097
bitcoin,2011-07-01,False,False,absolute,100,False,False,581.7574327616582,5.569420820226685,0.5192451954175346,100,4,11,25,0.2101762444054227,0.7447418470961038
bitcoin,2011-08-01,False,False,absolute,100,False,False,507.6042202937305,5.664422851183039,0.5024686275134594,100,5,12,27,0.1918704443746031,0.678891457191239
bitcoin,2011-09-01,False,False,absolute,100,False,False,181.3358950747161,6.187293127111812,0.4102351042129268,100,12,19,31,0.0505115531008733,0.3164653996326172
bitcoin,2011-10-01,False,False,absolute,100,False,False,195.09554179291356,6.124905777713354,0.4444763721818935,100,11,19,30,0.0469474305088494,0.3597090149707662
bitcoin,2011-11-01,False,False,absolute,100,False,False,196.43421230331705,6.121279314149636,0.4443771965493984,100,11,18,30,0.0465705300926668,0.362222687965356
bitcoin,2011-12-01,False,False,absolute,100,False,False,523.420169032149,5.670264121859859,0.506965504313523,100,5,13,27,0.2005265629974933,0.6748425968907121
bitcoin,2012-01-01,False,False,absolute,100,False,False,198.61631489023767,6.167790296905157,0.4112193352446496,100,10,19,34,0.0572792614987103,0.3299837314032938
bitcoin,2012-02-01,False,False,absolute,100,False,False,197.0749489177898,6.162236866893458,0.4185401037860125,100,10,19,33,0.0539419101776007,0.3338330757583441
bitcoin,2012-03-01,False,False,absolute,100,False,False,232.86214847476725,6.055902999845378,0.4478114984700144,100,8,17,31,0.0762045317350846,0.4075380959007577
bitcoin,2012-04-01,False,False,absolute,100,False,False,282.96548765509345,5.95528469771967,0.4695532197714299,100,7,16,28,0.109149560745579,0.4772813883319163
bitcoin,2012-05-01,False,False,absolute,100,False,False,353.9510416014562,5.878527698620856,0.4704297864924237,100,7,15,29,0.1457871664073456,0.5304852858455088
bitcoin,2012-06-01,False,False,absolute,100,False,False,468.32497328379054,5.763598812548661,0.4798267878187934,100,6,15,29,0.1870849509933115,0.6101479191913426
bitcoin,2012-07-01,False,False,absolute,100,False,False,519.1703980510606,5.695629453132302,0.4942135740505856,100,6,14,27,0.2010595973584814,0.657260689035247
bitcoin,2012-08-01,False,False,absolute,100,False,False,502.90839571739417,5.712544680639815,0.4964548538729012,100,6,15,27,0.1968181201427797,0.6455359467798928
bitcoin,2012-09-01,False,False,absolute,100,False,False,232.83217642252168,6.07144760736803,0.4434095703430368,100,9,18,32,0.0732810644438311,0.3967633950235203
bitcoin,2012-10-01,False,False,absolute,100,False,False,170.87408062103833,6.268297289939005,0.3763370502564266,100,12,22,37,0.0551633164750385,0.2603175925553275
bitcoin,2012-11-01,False,False,absolute,100,False,False,163.55216396345392,6.298904446491812,0.3629773261699913,100,13,23,38,0.0522992021014716,0.2391023282857878
bitcoin,2012-12-01,False,False,absolute,100,False,False,165.60185363390744,6.281079715472561,0.3759317180274565,100,13,23,36,0.0527439732840067,0.2514574903360211
bitcoin,2013-01-01,False,False,absolute,100,False,False,165.41849163074303,6.292055083276336,0.3680365889225039,100,13,23,38,0.0536483654734185,0.2438499450872293
bitcoin,2013-02-01,False,False,absolute,100,False,False,160.33943385183156,6.318262867732496,0.3552914477546807,100,13,24,39,0.0532690952134374,0.2256840931827112
bitcoin,2013-03-01,False,False,absolute,100,False,False,160.3981511674708,6.319567383808627,0.3541733950642355,100,13,24,39,0.0532503982125317,0.2247798715425544
