ledger,date,no_clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2011-01-01,True,False,percentage,0,False,False,17.442326443804827,13.228869961424952,0.5425193912262386,65621,126,4587,20653,0.0179265013444876,1.92198317267422
bitcoin,2011-02-01,True,False,percentage,0,False,False,42.35912004160246,12.895403609465754,0.5789313751999687,69029,99,2494,19386,0.0473614913186386,2.20376401143522
bitcoin,2011-03-01,True,False,percentage,0,False,False,39.00632863812123,12.880532023098125,0.6392869851346269,78812,105,1164,18269,0.0449895174424359,2.3466161463204784
bitcoin,2011-04-01,True,False,percentage,0,False,False,30.81005379062406,13.023069747966217,0.6881238937748734,90303,146,957,17491,0.0430889631934091,2.383924841950502
bitcoin,2011-05-01,True,False,percentage,0,False,False,27.88551867864025,13.004599993727306,0.7215515867024284,99088,144,887,16328,0.0330231905355535,2.489547072644346
bitcoin,2011-06-01,True,False,percentage,0,False,False,37.95603135740301,12.890129916429348,0.7997195226987777,132153,131,806,14199,0.046454882527732,2.8568482095384624
bitcoin,2011-07-01,True,False,percentage,0,False,False,53.624847620243386,12.89017276675217,0.8648428243293991,196975,139,805,12990,0.063262168007492,3.2559343709192574
bitcoin,2011-08-01,True,False,percentage,0,False,False,43.14363145000056,13.038484371385264,0.9278125959530844,380056,156,902,12815,0.0553219921165224,3.810329268128648
bitcoin,2011-09-01,True,False,percentage,0,False,False,16.19371387980386,13.167764764422234,0.9437934698185454,487833,152,837,12050,0.0146287904031529,3.970374239475052
bitcoin,2011-10-01,True,False,percentage,0,False,False,18.804593402045622,13.096546777989204,0.9487424030119695,533670,136,807,11331,0.0142309204210061,4.10934619789435
bitcoin,2011-11-01,True,False,percentage,0,False,False,18.333049339083185,13.13530949250259,0.9494341060564268,546269,143,841,11006,0.0138783332966042,4.105841445339194
bitcoin,2011-12-01,True,False,percentage,0,False,False,45.55163067929523,13.039672418465718,0.9509424586318304,553224,156,917,9755,0.0586034661713551,4.184690247001348
bitcoin,2012-01-01,True,False,percentage,0,False,False,11.438278436261694,13.639461472955736,0.949396427585948,567963,287,1652,10477,0.0131913245226933,3.795279230640065
bitcoin,2012-02-01,True,False,percentage,0,False,False,11.938974044425034,13.62071047376278,0.9500096754631632,580232,273,1627,10030,0.0128115633345282,3.829691864105821
bitcoin,2012-03-01,True,False,percentage,0,False,False,13.25587051199784,13.673611274924053,0.9500850205603686,597620,298,1749,10298,0.0176177950219201,3.8224596916355567
bitcoin,2012-04-01,True,False,percentage,0,False,False,15.890642803123532,13.700047039249982,0.9500529214763336,621472,307,1822,10863,0.0251995332385156,3.8432805557227687
bitcoin,2012-05-01,True,False,percentage,0,False,False,20.938700752993075,13.578786566228908,0.952782386447654,643077,274,1538,9809,0.0347150898249036,3.961471952324194
bitcoin,2012-06-01,True,False,percentage,0,False,False,31.18961278114389,13.35418146703316,0.9573590373634588,670444,227,1216,8129,0.0475588534812184,4.158889491523515
bitcoin,2012-07-01,True,False,percentage,0,False,False,33.45660679595658,13.361507129495823,0.9603833795457596,717580,243,1245,7736,0.0503653674088282,4.221895603399974
bitcoin,2012-08-01,True,False,percentage,0,False,False,31.68848442458769,13.354519395529111,0.963775330640138,766986,254,1220,7059,0.0486953999941162,4.293370656639956
bitcoin,2012-09-01,True,False,percentage,0,False,False,11.96095449312842,13.735271066174288,0.9639814365455374,828294,348,1759,8249,0.0160046054249307,4.106478202671949
bitcoin,2012-10-01,True,False,percentage,0,False,False,7.052821551384762,14.034967134613456,0.9643377577154552,902391,454,2277,9640,0.0104923332660187,3.984347415028105
bitcoin,2012-11-01,True,False,percentage,0,False,False,7.233533233114396,13.948394075685796,0.966861942248152,952950,401,2015,9127,0.0102575384486806,4.0989477889789665
bitcoin,2012-12-01,True,False,percentage,0,False,False,7.544067754710184,13.976857480296536,0.967610420374934,1017973,402,2056,9566,0.0105731991283287,4.145181184169269
bitcoin,2013-01-01,True,False,percentage,0,False,False,7.19408917160075,13.967841777125198,0.970990564683839,1080114,426,2089,8487,0.0104682796737078,4.210729421326414
bitcoin,2013-02-01,True,False,percentage,0,False,False,6.993035091665058,13.965973883813476,0.9728658557009404,1161259,419,1992,8425,0.010359851255708,4.2844393995942545
bitcoin,2013-03-01,True,False,percentage,0,False,False,6.889442703311633,13.949230265846634,0.9752581940846192,1251647,424,1944,8008,0.0102485759216278,4.371047122945327
bitcoin,2013-04-01,True,False,percentage,0,False,False,7.328711248641017,13.949699595107624,0.9758143428101308,1339010,400,1878,8371,0.0101238442828127,4.4381868299131
bitcoin,2013-05-01,True,False,percentage,0,False,False,7.777558816738035,14.03542989170048,0.9775179071365844,1592512,405,1978,9487,0.0100105829963604,4.55212575218587
bitcoin,2013-06-01,True,False,percentage,0,False,False,7.71444026194539,14.005068347051775,0.9790788414635077,1700663,398,1868,8578,0.0098996084585916,4.638899569249059
bitcoin,2013-07-01,True,False,percentage,0,False,False,7.854464338524086,13.974326544609182,0.980022064702101,1750167,396,1833,8189,0.0097860863462216,4.688901880169057
bitcoin,2013-08-01,True,False,percentage,0,False,False,7.955542380839638,13.958793381293932,0.9803209957670996,1802232,385,1825,7916,0.0096718328029739,4.72898397079508
bitcoin,2013-09-01,True,False,percentage,0,False,False,7.343946305930519,14.01659235533231,0.9811354967834376,1899099,417,1915,8007,0.0095505198088845,4.741195421550919
bitcoin,2013-10-01,True,False,percentage,0,False,False,7.151339209355904,14.092223389992204,0.980720298550542,1949494,441,2026,8611,0.0094364177361327,4.714978104044239
bitcoin,2013-11-01,True,False,percentage,0,False,False,8.747904591867199,14.03127560535536,0.9813133517003532,2038316,403,1968,8884,0.0120989236489241,4.801771882393298
bitcoin,2013-12-01,True,False,percentage,0,False,False,9.041851285562762,14.08623589762058,0.981394607829564,2203295,388,2093,9634,0.0119672011156692,4.841524230104609
bitcoin,2014-01-01,True,False,percentage,0,False,False,8.545488756742094,14.116837778483312,0.9821699721780148,2382692,386,2117,9732,0.0118313791350851,4.898579874267674
bitcoin,2014-02-01,True,False,percentage,0,False,False,8.559437349865682,14.1395215580187,0.9827105881717106,2588780,380,2100,10098,0.0117001826863354,4.964487881232716
bitcoin,2014-03-01,True,False,percentage,0,False,False,8.534485301229454,14.19599805121426,0.9821460570406464,2644213,386,2180,10693,0.0115850990126152,4.946362664934986
bitcoin,2014-04-01,True,False,percentage,0,False,False,7.417762818701788,14.395675991899717,0.9818819860308324,2790916,514,2575,12518,0.0114674494581841,4.861943070623659
bitcoin,2014-05-01,True,False,percentage,0,False,False,7.287306873761634,14.42179560394943,0.9819221840689292,2882917,517,2573,12775,0.011354018358161,4.875948813271202
bitcoin,2014-06-01,True,False,percentage,0,False,False,8.898862718127072,14.398663801021767,0.9820211480047748,2969761,505,2577,13077,0.014058755053022,4.921684344185899
bitcoin,2014-07-01,True,False,percentage,0,False,False,8.249769274010168,14.436444511240104,0.9822925405018004,3073703,516,2626,13307,0.01191485364696,4.929909734724375
bitcoin,2014-08-01,True,False,percentage,0,False,False,8.10412801673756,14.453534714225398,0.9828670898028106,3221735,519,2654,13402,0.011577865099166,4.965116237883917
bitcoin,2014-09-01,True,False,percentage,0,False,False,8.744403391520523,14.427040812166188,0.9835113754261188,3369635,509,2663,13229,0.0112385247953222,5.02838559005424
bitcoin,2014-10-01,True,False,percentage,0,False,False,8.82642274687028,14.426831119226554,0.9839598119189004,3505143,505,2645,13154,0.0111386727558227,5.067973173406842
bitcoin,2014-11-01,True,False,percentage,0,False,False,8.546975136690609,14.453189617625195,0.9842121951857308,3695246,498,2678,13563,0.0107329385802085,5.1025306779509565
bitcoin,2014-12-01,True,False,percentage,0,False,False,9.608523881812063,14.424525995444888,0.984519641251548,3821451,493,2654,13472,0.0128472223549038,5.1560000776003605
bitcoin,2015-01-01,True,False,percentage,0,False,False,8.975976334988072,14.41936416500728,0.9848485618238404,3967293,471,2602,13530,0.0098138589652203,5.197049470649698
bitcoin,2015-02-01,True,False,percentage,0,False,False,9.581844613534422,14.43980158266676,0.9853097522260909,4187969,478,2666,13682,0.0130622090353871,5.237026478161409
bitcoin,2015-03-01,True,False,percentage,0,False,False,9.32010639465862,14.466633527185554,0.9857767373891066,4409547,485,2717,13933,0.0124880128907117,5.269986100412558
bitcoin,2015-04-01,True,False,percentage,0,False,False,8.8566516672414,14.552704525131952,0.9858012956850026,4541790,556,2936,14388,0.0119811717529517,5.239878041839686
bitcoin,2015-05-01,True,False,percentage,0,False,False,9.002651354199834,14.553888679021684,0.9860139670362058,4748179,534,2925,14605,0.0118908696681916,5.283511222546745
bitcoin,2015-06-01,True,False,percentage,0,False,False,9.06568083775712,14.567589162437484,0.9864006909248966,4991524,539,2974,14797,0.011797541237223,5.324007246634188
bitcoin,2015-07-01,True,False,percentage,0,False,False,10.06970786621786,14.560667678257609,0.9867545361400272,5166543,543,2992,14768,0.0150018515748795,5.363281870062776
bitcoin,2015-08-01,True,False,percentage,0,False,False,10.25395294736078,14.556786120618588,0.9872648139920712,5412654,539,2999,14687,0.0148828835586682,5.412529982265459
bitcoin,2015-09-01,True,False,percentage,0,False,False,8.537997978836371,14.630308909276287,0.9871999500461234,5667707,541,3081,15498,0.012776362687107,5.407617427353316
bitcoin,2015-10-01,True,False,percentage,0,False,False,8.328925955811972,14.695093970320352,0.9875798352911016,6071570,576,3246,16319,0.0129548954706278,5.431524777139552
bitcoin,2015-11-01,True,False,percentage,0,False,False,7.482681345108793,14.78015618144251,0.9872569843224602,6175768,634,3411,17075,0.0106850631824398,5.389582622578831
bitcoin,2015-12-01,True,False,percentage,0,False,False,6.9783767979078615,14.831422211197667,0.9873396309613216,6483298,643,3438,17615,0.0106017327055278,5.402644472845003
bitcoin,2016-01-01,True,False,percentage,0,False,False,7.557518695472726,14.981536844633732,0.9855420613603696,7128411,678,3760,19947,0.0111268751197396,5.393452655349404
bitcoin,2016-02-01,True,False,percentage,0,False,False,7.339197240452512,14.917073613600472,0.986691804083468,7301708,663,3602,18319,0.0110375185764004,5.462172682404013
bitcoin,2016-03-01,True,False,percentage,0,False,False,7.369714942162626,15.010774855757214,0.9860634456872432,7744214,701,3812,19782,0.0103502245967637,5.456064916196706
bitcoin,2016-04-01,True,False,percentage,0,False,False,6.974020170046869,14.789330987809874,0.988972495792521,7719363,608,3221,16289,0.0097683384540804,5.606383915543849
bitcoin,2016-05-01,True,False,percentage,0,False,False,6.405378538093827,14.882346487611224,0.9889378069951642,8231636,634,3442,17267,0.0093752748443061,5.6061630275641345
bitcoin,2016-06-01,True,False,percentage,0,False,False,6.786939020002881,14.826087080093712,0.9892036522051928,8670787,557,3231,16998,0.0095769964294381,5.697148836738724
bitcoin,2016-07-01,True,False,percentage,0,False,False,6.720511741557944,14.910503804349926,0.989233737451122,9223935,632,3431,17535,0.0097312118478812,5.700478068340557
bitcoin,2016-08-01,True,False,percentage,0,False,False,6.470080930522315,14.948523424986057,0.989355453914701,9709806,648,3513,18017,0.0093077229237747,5.725461866250751
bitcoin,2016-09-01,True,False,percentage,0,False,False,5.78680203159144,15.05204508345469,0.9894530820582008,10243812,719,3803,19097,0.0085163346949825,5.707230629388979
bitcoin,2016-10-01,True,False,percentage,0,False,False,5.961420829495018,15.061703711972887,0.9897293304868956,10920488,706,3859,19642,0.0084858982783447,5.764507095637712
bitcoin,2016-11-01,True,False,percentage,0,False,False,5.966529333172597,15.108898546468556,0.9896815221226628,11461306,722,4016,20489,0.0084556984938544,5.780130194401292
bitcoin,2016-12-01,True,False,percentage,0,False,False,6.312098946696187,15.15165011250907,0.9899105802534516,12474748,753,4199,21302,0.0084259167461511,5.83522650565921
bitcoin,2017-01-01,True,False,percentage,0,False,False,6.126211718953566,15.214077485388945,0.9899767288455104,13285778,776,4426,22502,0.0077731069646909,5.854941087998833
bitcoin,2017-02-01,True,False,percentage,0,False,False,5.81623872592233,15.273463691504512,0.9900130731238048,13856168,804,4677,23406,0.0076953288434564,5.85579497599861
bitcoin,2017-03-01,True,False,percentage,0,False,False,5.689102144945043,15.311613323068578,0.9901644270895038,14538760,835,4780,23976,0.0076700480861467,5.877425004182432
bitcoin,2017-04-01,True,False,percentage,0,False,False,6.190087444113559,15.273482798509743,0.990511742888623,15363466,796,4511,23189,0.0084540863812325,5.959072281895909
