ledger,snapshot_date,no_clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2011-01-01,False,False,percentage,0.5,False,False,28.597231367020292,11.902542391017906,0.5773083193011969,32799,64,259,6134,0.02295076756094674,2.1479396062771876
bitcoin,2011-02-01,False,False,percentage,0.5,False,False,65.662796334565,11.62796270999535,0.589196389747652,34497,55,214,5664,0.05895933063596317,2.388738074634459
bitcoin,2011-03-01,False,False,percentage,0.5,False,False,53.99949603776512,11.936601019708045,0.5789955064277356,39385,65,284,7261,0.05291898632791678,2.307318969864334
bitcoin,2011-04-01,False,False,percentage,0.5,False,False,38.206546582720996,12.408203002878164,0.5624307169274247,45129,105,432,9686,0.04796378790417455,2.1165694070912004
bitcoin,2011-05-01,False,False,percentage,0.5,False,False,31.966640761339654,12.599145620111573,0.5573398100483402,49514,117,551,11042,0.03534968423120531,2.0769484727947916
bitcoin,2011-06-01,False,False,percentage,0.5,False,False,38.11677060320728,12.862300813693382,0.603235976472924,66014,130,785,13994,0.04654332756383016,2.1821545752168343
bitcoin,2011-07-01,False,False,percentage,0.5,False,False,53.726744852750066,12.87240783828192,0.7316863955621615,98360,138,791,12850,0.06331318587470065,2.573916296212609
bitcoin,2011-08-01,False,False,percentage,0.5,False,False,43.16221949568243,13.030699060058542,0.8560293635359202,189876,156,890,12718,0.05532430737023783,3.121934192338574
bitcoin,2011-09-01,False,False,percentage,0.5,False,False,16.208820217982577,13.160387136160688,0.88790307725881,243748,151,826,11947,0.014629069775053273,3.2818049451911246
bitcoin,2011-10-01,False,False,percentage,0.5,False,False,18.820444871625455,13.089265952279497,0.8977822045757599,266647,135,796,11221,0.014231541133208143,3.4208931748327984
bitcoin,2011-11-01,False,False,percentage,0.5,False,False,18.347716382007487,13.127865624167354,0.8991807873366139,272940,142,831,10889,0.013878885844535841,3.4174642256512575
bitcoin,2011-12-01,False,False,percentage,0.5,False,False,45.56922760327145,13.032185473678158,0.9021984417611778,276400,155,906,9632,0.058606498247850906,3.4963817532263723
bitcoin,2012-01-01,False,False,percentage,0.5,False,False,11.451622937926253,13.631990115572417,0.8991084315663442,283766,285,1635,10357,0.013191914517426025,3.1069297198634174
bitcoin,2012-02-01,False,False,percentage,0.5,False,False,12.013087916274133,13.606165178832956,0.9003691987641574,289909,268,1599,9910,0.012812073581899765,3.146247327646436
bitcoin,2012-03-01,False,False,percentage,0.5,False,False,13.304985554990228,13.662080023263016,0.9004823190802611,298606,294,1725,10190,0.017618694045527364,3.1370480089575037
bitcoin,2012-04-01,False,False,percentage,0.5,False,False,15.90489270194534,13.69083911330504,0.9005040712978415,310512,305,1794,10724,0.025200817914791777,3.1562112960754
bitcoin,2012-05-01,False,False,percentage,0.5,False,False,20.955194599994353,13.571051584427389,0.9058455745928882,321338,271,1519,9709,0.03471704016889011,3.273512664632117
bitcoin,2012-06-01,False,False,percentage,0.5,False,False,31.20723597739037,13.345116582545739,0.9150478419039141,334999,226,1198,8023,0.04756123975248866,3.471752892330118
bitcoin,2012-07-01,False,False,percentage,0.5,False,False,33.50192963596557,13.348082302690637,0.9211185017880907,358543,239,1224,7620,0.05036701498483002,3.5376182620951986
bitcoin,2012-08-01,False,False,percentage,0.5,False,False,31.704687169196838,13.343762314812261,0.9279169305659859,383219,253,1203,6923,0.04869666126408964,3.6071706796731102
bitcoin,2012-09-01,False,False,percentage,0.5,False,False,11.978800596342376,13.72223305571138,0.9283540778151879,413867,344,1728,8095,0.01600477027886692,3.4217727916091905
bitcoin,2012-10-01,False,False,percentage,0.5,False,False,7.072276792399257,14.021663780312313,0.9290514510857321,450900,447,2236,9485,0.010492531788290882,3.2999241482670363
bitcoin,2012-11-01,False,False,percentage,0.5,False,False,7.248725794104792,13.935931599155904,0.9340645618790243,476176,397,1979,8973,0.01025763718495883,3.4138911163229397
bitcoin,2012-12-01,False,False,percentage,0.5,False,False,7.559676408097271,13.963993216079755,0.9355394292545265,508692,397,2015,9416,0.010573353118177902,3.460495477289834
bitcoin,2013-01-01,False,False,percentage,0.5,False,False,7.212406373977579,13.954037730532612,0.9422802390151328,539724,419,2047,8350,0.01046837633912461,3.52661126639402
bitcoin,2013-02-01,False,False,percentage,0.5,False,False,7.010928403632261,13.952352896197327,0.9459902709834923,580313,412,1950,8296,0.010359974477634128,3.600288819907629
bitcoin,2013-03-01,False,False,percentage,0.5,False,False,6.906893919886615,13.935216829625592,0.9507689335420915,625486,418,1902,7882,0.010248642527751593,3.6871279706196414
bitcoin,2013-04-01,False,False,percentage,0.5,False,False,7.344116188880894,13.936355563428451,0.9518626928488734,669152,395,1837,8238,0.010123918741935089,3.753820952013082
bitcoin,2013-05-01,False,False,percentage,0.5,False,False,7.789200701574749,14.024377660326136,0.9552231811477135,795856,401,1944,9348,0.010010677842634494,3.8662157095896403
bitcoin,2013-06-01,False,False,percentage,0.5,False,False,7.728092077504246,13.992636658703617,0.9583559359905308,849869,393,1837,8434,0.009899679019295464,3.9538808503375025
bitcoin,2013-07-01,False,False,percentage,0.5,False,False,7.867214625917125,13.962669663370493,0.9602268517824336,874585,392,1805,8058,0.009786157561940194,4.003319656879374
bitcoin,2013-08-01,False,False,percentage,0.5,False,False,7.971532675896035,13.94617997342227,0.9608238637019688,900624,380,1797,7783,0.009671905553051498,4.044087807237509
bitcoin,2013-09-01,False,False,percentage,0.5,False,False,7.364644238355656,14.001571497193149,0.9624621654781066,949037,410,1878,7859,0.00955067792839833,4.058053258547017
bitcoin,2013-10-01,False,False,percentage,0.5,False,False,7.195427673596537,14.075334160958338,0.9616407381590373,974238,432,1984,8453,0.009436562633881514,4.033132716868232
bitcoin,2013-11-01,False,False,percentage,0.5,False,False,8.768879553386427,14.01586817721936,0.9628201904327238,1018543,396,1926,8716,0.012099126867166167,4.11882422265773
bitcoin,2013-12-01,False,False,percentage,0.5,False,False,9.075988926748886,14.070020983578024,0.9629777423281789,1100945,380,2048,9464,0.011967404123688673,4.1590840847405515
bitcoin,2014-01-01,False,False,percentage,0.5,False,False,8.560694835297271,14.104344343467393,0.9644962203041104,1190557,380,2079,9589,0.011831620054145018,4.213545307450466
bitcoin,2014-02-01,False,False,percentage,0.5,False,False,8.57733476791878,14.129188230395888,0.9655639628312052,1293417,373,2062,9953,0.011702242513569872,4.2791911261058235
bitcoin,2014-03-01,False,False,percentage,0.5,False,False,8.553222564648744,14.185809816816166,0.9644319949380876,1321233,379,2140,10547,0.011587350600405692,4.2612218709290755
bitcoin,2014-04-01,False,False,percentage,0.5,False,False,7.435604668419659,14.38552790510974,0.963907402256148,1394586,502,2528,12368,0.011469678630519236,4.176820046683561
bitcoin,2014-05-01,False,False,percentage,0.5,False,False,7.305535784910097,14.411801686365436,0.9639972568119423,1440495,506,2525,12615,0.011356648699768332,4.19099765683898
bitcoin,2014-06-01,False,False,percentage,0.5,False,False,8.917500071252642,14.388877605274928,0.9641914232938211,1483866,494,2530,12921,0.01406200272300557,4.236551458554905
bitcoin,2014-07-01,False,False,percentage,0.5,False,False,8.267949739088149,14.426639490352713,0.9647379059558334,1535767,505,2577,13149,0.01191760900589062,4.244756000834521
bitcoin,2014-08-01,False,False,percentage,0.5,False,False,8.122150193345801,14.443645643918492,0.9658874725411373,1609675,508,2605,13239,0.011580525023628281,4.2799705981357485
bitcoin,2014-09-01,False,False,percentage,0.5,False,False,8.76282825934225,14.41692035618529,0.967176045168486,1683507,498,2613,13062,0.011241100858075455,4.343341978280831
bitcoin,2014-10-01,False,False,percentage,0.5,False,False,8.845220745824598,14.416509014827382,0.9680635907662614,1751030,494,2595,12991,0.011141182332437582,4.382952167044831
bitcoin,2014-11-01,False,False,percentage,0.5,False,False,8.564790983672959,14.443037027940147,0.9685691208164313,1845972,488,2627,13397,0.010735360289767038,4.417366131290469
bitcoin,2014-12-01,False,False,percentage,0.5,False,False,9.626596276553501,14.414268547745644,0.9691870407013532,1909046,482,2605,13302,0.012850102424576597,4.470904595083897
bitcoin,2015-01-01,False,False,percentage,0.5,False,False,8.993853229329181,14.4083491491277,0.969852923308981,1981873,461,2549,13343,0.009816039271048184,4.512446325809954
bitcoin,2015-02-01,False,False,percentage,0.5,False,False,9.599818331931226,14.428799898703259,0.9707699573418137,2092280,467,2611,13494,0.013065097176751198,4.552482969735345
bitcoin,2015-03-01,False,False,percentage,0.5,False,False,9.338384152825002,14.455682417235405,0.9717010936195215,2203039,474,2663,13749,0.012490770218619534,4.585432818196299
bitcoin,2015-04-01,False,False,percentage,0.5,False,False,8.87481064702649,14.540875096179482,0.9717562616826607,2269106,542,2874,14183,0.011983784651482005,4.555929903567758
bitcoin,2015-05-01,False,False,percentage,0.5,False,False,9.022571278821824,14.5413279449263,0.972183290410179,2372219,520,2860,14401,0.011893466773116349,4.600055895464542
bitcoin,2015-06-01,False,False,percentage,0.5,False,False,9.085250971895157,14.554910297126659,0.972956547174517,2493735,524,2908,14590,0.011800118923828021,4.640597108820434
bitcoin,2015-07-01,False,False,percentage,0.5,False,False,10.089574851441487,14.548616616447363,0.9736521099192001,2581225,529,2928,14570,0.015005089076939326,4.679442061669608
bitcoin,2015-08-01,False,False,percentage,0.5,False,False,10.274357437256205,14.544565528994237,0.9746753173508494,2704261,525,2934,14485,0.014886075021083764,4.728814646275013
bitcoin,2015-09-01,False,False,percentage,0.5,False,False,8.556594193235943,14.617187352245363,0.9745542988998489,2831764,525,3010,15280,0.012779100093521274,4.7245481961134335
bitcoin,2015-10-01,False,False,percentage,0.5,False,False,8.347751889363781,14.682229262669441,0.9752990635626788,3033651,560,3176,16099,0.01295761971947299,4.748331584841144
bitcoin,2015-11-01,False,False,percentage,0.5,False,False,7.498455597508625,14.768454346868905,0.9746548474937415,3085516,619,3345,16869,0.010687287228530972,4.705516970387174
bitcoin,2015-12-01,False,False,percentage,0.5,False,False,6.994645280496724,14.819127913800065,0.9748230316483008,3239155,627,3369,17403,0.01060395947735378,4.7189863196172945
bitcoin,2016-01-01,False,False,percentage,0.5,False,False,7.573683682529744,14.969107562746661,0.9712520569674299,3561697,662,3680,19695,0.011129299057779018,4.709952972020807
