ledger,date,no_clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2011-01-01,True,False,percentage,0.5,False,False,28.55460762610522,11.908984348985893,0.5771235926264741,32810,64,263,6145,0.0229508537121524,2.143809701137964
bitcoin,2011-02-01,True,False,percentage,0.5,False,False,65.61455938713884,11.635349952041045,0.5889589748522229,34514,55,218,5681,0.0589583992501983,2.3841103037226223
bitcoin,2011-03-01,True,False,percentage,0.5,False,False,53.945323262098,11.94345655940545,0.5787566018205076,39406,66,288,7281,0.0529167581842556,2.303100127653724
bitcoin,2011-04-01,True,False,percentage,0.5,False,False,38.16492469418538,12.41443692982264,0.5621917110054191,45151,106,436,9708,0.0479633642432588,2.1127357508429845
bitcoin,2011-05-01,True,False,percentage,0.5,False,False,31.944934519295455,12.603774011150124,0.5570724106206917,49544,118,554,11070,0.0353482039882841,2.07434602238937
bitcoin,2011-06-01,True,False,percentage,0.5,False,False,38.10180978318773,12.867578404275628,0.6029802740651542,66076,131,793,14038,0.0465440088893775,2.1794351821246556
bitcoin,2011-07-01,True,False,percentage,0.5,False,False,53.71193800758238,12.878851919063557,0.7313663168203863,98487,138,800,12918,0.0633135183116959,2.5707399421774992
bitcoin,2011-08-01,True,False,percentage,0.5,False,False,43.14726242901443,13.038297018139207,0.8556665638495458,190028,156,902,12811,0.0553243200240571,3.1174678912902025
bitcoin,2011-09-01,True,False,percentage,0.5,False,False,16.19433240172401,13.167988377487836,0.887584580207908,243916,152,837,12048,0.0146290697752084,3.2772251651874047
bitcoin,2011-10-01,True,False,percentage,0.5,False,False,18.806233843773516,13.097054777785154,0.897480352617948,266835,136,807,11327,0.014231541133364,3.4161991759743544
bitcoin,2011-11-01,True,False,percentage,0.5,False,False,18.334509181926247,13.135774702185856,0.898864019055643,273134,143,841,11002,0.0138788858446924,3.412692596936491
bitcoin,2011-12-01,True,False,percentage,0.5,False,False,45.55634438126653,13.040272116781406,0.9018798594141808,276612,156,917,9750,0.0586064982485542,3.4915432297045736
bitcoin,2012-01-01,True,False,percentage,0.5,False,False,11.439301635527023,13.640006660771984,0.8987881693585337,283981,287,1652,10472,0.0131919145175862,3.102130453749817
bitcoin,2012-02-01,True,False,percentage,0.5,False,False,11.93992534985334,13.621187797693825,0.9000158291180882,290116,273,1626,10026,0.0128120737413204,3.1365482041326747
bitcoin,2012-03-01,True,False,percentage,0.5,False,False,13.257224058399892,13.6742070753126,0.9001666797637563,298810,298,1748,10294,0.0176186944684768,3.129325118206084
bitcoin,2012-04-01,True,False,percentage,0.5,False,False,15.892263875149252,13.700606644031888,0.9001048070393377,310736,307,1821,10859,0.0252008185615051,3.150162088831801
bitcoin,2012-05-01,True,False,percentage,0.5,False,False,20.94105446733486,13.579379202502388,0.9055649044093216,321538,274,1537,9805,0.0347170409276199,3.2683626036426077
bitcoin,2012-06-01,True,False,percentage,0.5,False,False,31.19274423633436,13.354691617381164,0.914719256591761,335222,227,1216,8126,0.0475612408894799,3.46578143610085
bitcoin,2012-07-01,True,False,percentage,0.5,False,False,33.458797444617126,13.361826942219489,0.9207684918121836,358790,243,1245,7734,0.0503670162761054,3.5287798660038847
bitcoin,2012-08-01,True,False,percentage,0.5,False,False,31.690127754404873,13.354793543001165,0.9275508562567248,383493,254,1220,7057,0.0486966626226697,3.600239155398214
bitcoin,2012-09-01,True,False,percentage,0.5,False,False,11.961201311299964,13.735369043954831,0.9279638312136718,414147,348,1759,8249,0.0160047705541823,3.413343935464137
bitcoin,2012-10-01,True,False,percentage,0.5,False,False,7.053088675110897,14.035175950548975,0.9286758260617144,451195,454,2277,9638,0.0104925319612795,3.291212258734689
bitcoin,2012-11-01,True,False,percentage,0.5,False,False,7.2336725744609,13.948499333288323,0.9337241064714544,476475,401,2015,9126,0.0102576372449566,3.4058075488601656
bitcoin,2012-12-01,True,False,percentage,0.5,False,False,7.544287572100459,13.977026631843104,0.9352205896981508,508986,402,2056,9565,0.0105733531669768,3.452039187835075
bitcoin,2013-01-01,True,False,percentage,0.5,False,False,7.194222090151622,13.967946236973178,0.9419812201169931,540057,426,2089,8487,0.010468376379641,3.5175874161887064
bitcoin,2013-02-01,True,False,percentage,0.5,False,False,6.993201498728536,13.966110944126672,0.945731683923006,580629,419,1992,8425,0.0103599745170793,3.5912968533537115
bitcoin,2013-03-01,True,False,percentage,0.5,False,False,6.88953229352172,13.949301740048462,0.950516569611242,625823,424,1944,8008,0.0102486425575797,3.677903690632262
bitcoin,2013-04-01,True,False,percentage,0.5,False,False,7.3288191160323075,13.949772437128448,0.9516294112861756,669505,400,1878,8370,0.0101239187862633,3.7450484780801703
bitcoin,2013-05-01,True,False,percentage,0.5,False,False,7.77770624473831,14.035532210790402,0.9550363365278264,796256,405,1978,9487,0.0100106778740225,3.858986441593033
bitcoin,2013-06-01,True,False,percentage,0.5,False,False,7.714550302605357,14.005129630628716,0.9581589701602892,850331,398,1868,8578,0.0098996790635639,3.945764847531194
bitcoin,2013-07-01,True,False,percentage,0.5,False,False,7.854578750354239,13.974381692612386,0.960045890928433,875083,396,1833,8189,0.0097861576203296,3.995770747690163
bitcoin,2013-08-01,True,False,percentage,0.5,False,False,7.955662186509652,13.958840254816796,0.9606444449621788,901116,385,1825,7915,0.009671905628669,4.0358585076517
bitcoin,2013-09-01,True,False,percentage,0.5,False,False,7.344189592158082,14.016753191761396,0.9622731034717524,949549,417,1915,8006,0.0095506779997669,4.0480694585334
bitcoin,2013-10-01,True,False,percentage,0.5,False,False,7.151559005171988,14.092345577060938,0.9614442559079924,974747,441,2026,8610,0.0094365627487617,4.02186362492487
bitcoin,2013-11-01,True,False,percentage,0.5,False,False,8.74819877525346,14.031391148373226,0.9626317935612,1019158,403,1968,8883,0.0120991270846866,4.10866814033188
bitcoin,2013-12-01,True,False,percentage,0.5,False,False,9.042158609644614,14.08627506355558,0.9627992825612086,1101647,388,2092,9633,0.0119674044909593,4.148455045822008
bitcoin,2014-01-01,True,False,percentage,0.5,False,False,8.545837539014084,14.116839809903208,0.9643551362416772,1191346,386,2117,9731,0.0118316205801625,4.205546605692732
bitcoin,2014-02-01,True,False,percentage,0.5,False,False,8.562452568341442,14.141323905900816,0.9654425930168604,1294390,379,2098,10084,0.011702243306603,4.271531304886545
bitcoin,2014-03-01,True,False,percentage,0.5,False,False,8.53780402802139,14.19803253472634,0.9643134298427466,1322106,386,2179,10678,0.011587351289148,4.253410256794429
bitcoin,2014-04-01,True,False,percentage,0.5,False,False,7.420647813537895,14.39768927243606,0.963789258816554,1395458,513,2572,12501,0.011469679262297,4.1690155089277
bitcoin,2014-05-01,True,False,percentage,0.5,False,False,7.290684599676725,14.424236022271865,0.9638724615799028,1441458,517,2570,12756,0.0113566493931604,4.183047128790136
bitcoin,2014-06-01,True,False,percentage,0.5,False,False,8.90297574151384,14.40103843874324,0.9640739980316292,1484880,504,2574,13057,0.0140620036315148,4.228805327909358
bitcoin,2014-07-01,True,False,percentage,0.5,False,False,8.25358654579495,14.438758256343448,0.9646218659527712,1536851,515,2623,13287,0.0119176099042709,4.237061499455497
bitcoin,2014-08-01,True,False,percentage,0.5,False,False,8.107853355365439,14.455814220396013,0.9657725564840492,1610867,518,2651,13382,0.011580525873541,4.272276231775726
bitcoin,2014-09-01,True,False,percentage,0.5,False,False,8.748413926225703,14.429259628229406,0.9670647492191536,1684817,509,2660,13209,0.0112411017193543,4.335566881612504
