ledger,date,clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2011-01-01,True,False,percentage,0.5,False,False,28.55460762610522,11.908984348985893,0.5771235926264741,32810,64,263,6145,0.0229508537121524,2.143809701137964
bitcoin,2011-02-01,True,False,percentage,0.5,False,False,65.61455938713884,11.635349952041045,0.5889589748522229,34514,55,218,5681,0.0589583992501983,2.3841103037226223
bitcoin,2011-03-01,True,False,percentage,0.5,False,False,53.945322762235726,11.94345658068597,0.5787566032598971,39406,66,288,7281,0.052916757938677,2.303100112917066
bitcoin,2011-04-01,True,False,percentage,0.5,False,False,38.16492305942775,12.414437021138166,0.5621917177501156,45151,106,436,9708,0.04796336321333,2.1127356875462646
bitcoin,2011-05-01,True,False,percentage,0.5,False,False,31.94475001907753,12.603785513686486,0.5570733615733893,49544,118,554,11070,0.0353481015803947,2.074338049442314
bitcoin,2011-06-01,True,False,percentage,0.5,False,False,38.10134865247405,12.867603682931394,0.6029770836816049,66076,131,794,14038,0.0465437266686995,2.1794176602914224
bitcoin,2011-07-01,True,False,percentage,0.5,False,False,53.71124159117145,12.878878977752684,0.7313645028727619,98487,138,800,12918,0.0633131072713448,2.570721186558482
bitcoin,2011-08-01,True,False,percentage,0.5,False,False,43.14621371679156,13.038343534469425,0.8556662137998196,190028,156,902,12811,0.0553236463208081,3.1174356486359778
bitcoin,2011-09-01,True,False,percentage,0.5,False,False,16.193943073827672,13.168033096498093,0.8875843084230924,243916,152,837,12048,0.014628892966766,3.2771941683552592
bitcoin,2011-10-01,True,False,percentage,0.5,False,False,18.804872414645224,13.097136181401131,0.8974823540129253,266835,136,807,11326,0.0142310173881108,3.416142751278471
bitcoin,2011-11-01,True,False,percentage,0.5,False,False,18.333319240929963,13.135835156321251,0.8988658205769939,273134,143,841,11001,0.0138784255234538,3.4126506933271843
bitcoin,2011-12-01,True,False,percentage,0.5,False,False,45.5522723703095,13.040346399883802,0.9018826246652504,276612,156,917,9748,0.0586038521299358,3.4914917406091006
bitcoin,2012-01-01,True,False,percentage,0.5,False,False,11.438465293074412,13.64004788052006,0.898790320668206,283981,287,1652,10471,0.0131914091495012,3.102101882396552
bitcoin,2012-02-01,True,False,percentage,0.5,False,False,11.939151102818512,13.62124261958592,0.900016942451296,290116,273,1627,10026,0.0128116459780242,3.136510204488114
bitcoin,2012-03-01,True,False,percentage,0.5,False,False,13.256090904662509,13.674264099765445,0.9001690053337371,298810,298,1749,10293,0.0176179189690105,3.1292855919070104
bitcoin,2012-04-01,True,False,percentage,0.5,False,False,15.890971260208753,13.700638370478243,0.9001072570369745,310736,307,1821,10858,0.0251997399327218,3.1501400977478378
bitcoin,2012-05-01,True,False,percentage,0.5,False,False,20.939157659085943,13.579411936591026,0.9055676264573934,321538,274,1537,9804,0.034715394830745,3.2683399141300944
bitcoin,2012-06-01,True,False,percentage,0.5,False,False,31.190221962023735,13.354737339059604,0.914721048995038,335222,227,1216,8125,0.047559261637653,3.465749744256857
bitcoin,2012-07-01,True,False,percentage,0.5,False,False,33.45718809813318,13.361876380661874,0.920769045243766,358790,243,1245,7734,0.050365793016994,3.528745597878549
bitcoin,2012-08-01,True,False,percentage,0.5,False,False,31.68894816573377,13.354851839220704,0.9275508426307686,383493,254,1220,7057,0.0486957526010429,3.600198747536651
bitcoin,2012-09-01,True,False,percentage,0.5,False,False,11.961120161382407,13.73538209889974,0.9279633075316068,414147,348,1759,8249,0.0160047159023297,3.4133348865015103
bitcoin,2012-10-01,True,False,percentage,0.5,False,False,7.052937128478343,14.035176440075803,0.9286764183376172,451195,454,2277,9638,0.010492405587836,3.2912119194569245
bitcoin,2012-11-01,True,False,percentage,0.5,False,False,7.23362586331361,13.94850968884376,0.9337240442461394,476475,401,2015,9126,0.0102576033309026,3.405800370959926
bitcoin,2012-12-01,True,False,percentage,0.5,False,False,7.544190481375224,13.977017560339531,0.935220980492434,508986,402,2056,9565,0.0105732644721538,3.4520454756393337
bitcoin,2013-01-01,True,False,percentage,0.5,False,False,7.194178069125513,13.96795060915862,0.9419813457163472,540057,426,2089,8487,0.0104683432162134,3.517584385593273
bitcoin,2013-02-01,True,False,percentage,0.5,False,False,6.99312994778167,13.966113612538736,0.9457319302594022,580629,419,1992,8424,0.0103599176909562,3.5912950037504237
bitcoin,2013-03-01,True,False,percentage,0.5,False,False,6.889529446573169,13.949302146018097,0.9505165752336996,625823,424,1944,8008,0.0102486403859421,3.677903409219287
bitcoin,2013-04-01,True,False,percentage,0.5,False,False,7.328806387650955,13.949774701422276,0.9516294271623502,669505,400,1878,8370,0.0101239098486623,3.7450469085720206
bitcoin,2013-05-01,True,False,percentage,0.5,False,False,7.777659426798039,14.03553581167846,0.9550364418548826,796256,405,1978,9487,0.0100106465130548,3.858983945638792
bitcoin,2013-06-01,True,False,percentage,0.5,False,False,7.714544155810478,14.005130321987576,0.9581589807241352,850331,398,1868,8578,0.0098996749708165,3.94576436834998
bitcoin,2013-07-01,True,False,percentage,0.5,False,False,7.854572283209773,13.974382682435431,0.9600458995177136,875083,396,1833,8189,0.0097861535198633,3.9957700615787015
bitcoin,2013-08-01,True,False,percentage,0.5,False,False,7.955655698271089,13.95884128526161,0.9606444530461934,901116,385,1825,7915,0.0096719016225466,4.0358577933713615
bitcoin,2013-09-01,True,False,percentage,0.5,False,False,7.344052259562756,14.016805980515056,0.9622716137504778,949549,417,1915,8007,0.0095505880236538,4.048032868143081
bitcoin,2013-10-01,True,False,percentage,0.5,False,False,7.151451111058895,14.09239669219144,0.9614426571358748,974747,441,2026,8610,0.0094364913960929,4.021828194642779
bitcoin,2013-11-01,True,False,percentage,0.5,False,False,8.748053466682382,14.031441545472148,0.9626303988569056,1019158,403,1968,8883,0.0120990259975579,4.108633207688938
bitcoin,2013-12-01,True,False,percentage,0.5,False,False,9.04204578783784,14.086310874162905,0.9627983245178804,1101647,388,2092,9633,0.0119673292928872,4.148430223753022
bitcoin,2014-01-01,True,False,percentage,0.5,False,False,8.545711711038521,14.116876028442409,0.964354340557092,1191346,386,2117,9731,0.0118315327214354,4.205521500973578
bitcoin,2014-02-01,True,False,percentage,0.5,False,False,8.562363920019315,14.141354048991758,0.9654418388889708,1294390,379,2098,10084,0.0117021824615471,4.271510411342613
bitcoin,2014-03-01,True,False,percentage,0.5,False,False,8.537719995013315,14.198060955879305,0.9643126865733012,1322106,386,2179,10678,0.0115872940077166,4.253390556719653
bitcoin,2014-04-01,True,False,percentage,0.5,False,False,7.42058043020634,14.397715308062388,0.9637885308672112,1395458,513,2572,12502,0.0114696269155436,4.168997462496254
bitcoin,2014-05-01,True,False,percentage,0.5,False,False,7.290620924415741,14.424260572685384,0.963871787827978,1441458,517,2570,12756,0.0113565995325263,4.1830301117141335
bitcoin,2014-06-01,True,False,percentage,0.5,False,False,8.902899727509894,14.401062311882038,0.9640733604709126,1484880,504,2575,13057,0.0140619433346274,4.228788780365538
bitcoin,2014-07-01,True,False,percentage,0.5,False,False,8.253515214218464,14.438782619643902,0.9646212066633748,1536851,515,2623,13287,0.0119175581669344,4.2370446121396
bitcoin,2014-08-01,True,False,percentage,0.5,False,False,8.10778540996956,14.455837818784874,0.9657719154905766,1610867,518,2651,13383,0.0115804771189459,4.272259874660349
bitcoin,2014-09-01,True,False,percentage,0.5,False,False,8.748338895586217,14.429283365054864,0.9670641209385398,1684817,509,2660,13209,0.0112410532969393,4.335550428513027
